#{"t_start": 1776173585.0064635, "env_id": "None"}
r,l,t
-1534.2327,145,207.316118
-1791.2924,82,208.006001
-3226.852,327,208.307567
-2470.876,311,208.67647
-2817.5999,236,209.311421
-2346.8838,245,210.404665
-2417.2212,308,211.659999
-1783.8323,215,212.37301
-2379.2622,337,212.749419
-1963.4307,145,212.885252
-1655.5967,144,214.018014
-2371.9102,260,214.164599
-2515.2515,296,215.60055
-1000.0,1,215.623024
-3261.09,362,217.599081
-2910.2412,263,218.013144
-2207.2935,277,218.626803
-1901.7068,74,219.150648
-2285.2632,296,219.23831
-2589.7822,319,219.486275
-2044.9487,268,219.535475
-1343.2908,306,220.102936
-2234.5608,311,236.215875
-2507.3599,304,237.170805
-2721.8682,257,237.449437
-2806.054,217,237.709667
-2242.7163,261,237.948233
-2440.7793,320,238.756163
-2382.9653,313,239.388097
-3633.7056,417,240.101408
-2901.1748,228,240.267586
-2215.0186,343,240.550632
-2899.9614,242,240.794503
-2248.0522,243,241.090015
-685.378,312,241.248576
-812.62286,305,243.070783
-949.8558,293,243.807321
-2229.684,256,244.303024
-2378.1687,248,245.143822
-1026.343,299,245.220624
-2930.7676,333,245.293211
-2781.5093,275,245.378783
-2911.56,302,245.495791
-1524.3992,87,246.457618
-2139.986,251,246.919434
-2335.9536,254,247.613595
-2360.668,245,247.888777
-1758.242,227,248.744825
-2216.022,282,249.239096
-2495.3423,277,249.325793
-2261.8862,284,249.340853
-1531.5596,145,249.616282
-573.2381,307,251.171313
-2557.5637,346,251.247394
-1614.2429,73,252.131566
-514.0759,277,252.58602
-2512.9749,351,252.7495
-1765.4143,57,252.93937
-2355.8079,265,252.979429
-3734.1694,299,253.395438
-699.04877,313,253.491654
-1917.4232,68,253.613048
-885.7613,300,253.674221
-1739.0552,237,254.519184
-1789.1565,84,254.624461
-2497.4639,286,256.692764
-2326.7686,309,257.544255
-604.22015,278,257.717725
-3008.3152,343,258.049707
-2822.2502,330,258.610896
-2405.145,329,258.653019
-2895.0706,321,259.499727
-3484.6575,364,260.014595
-588.6773,299,261.191638
-2477.9226,247,261.354657
-515.87225,289,261.846221
-1000.0,1,261.862814
-1736.2708,87,262.516152
-2537.3037,303,262.547357
-1000.0,1,262.562964
-1726.7878,171,262.578559
-1771.064,89,262.727229
-2516.9568,284,262.846741
-2412.7922,302,263.164797
-2137.5862,290,264.700482
-1634.2644,100,267.448229
-1914.1924,220,272.048094
-1712.3379,124,275.388376
-2718.8152,315,275.776844
-2484.5903,272,275.911867
-2549.3994,285,276.842151
-1255.8385,286,278.422975
-1159.8951,314,279.655082
-1646.2917,192,285.839091
-2785.8062,352,287.44855
-1707.2163,170,287.699551
-1799.4531,252,292.927148
-2905.3188,313,294.5897
-1000.0,1,294.63643
-2253.1465,278,294.798699
-2906.435,262,294.936966
-3582.1213,344,296.253781
-2211.1401,250,299.406178
-2529.7214,295,301.483326
-2688.2014,331,301.694641
-2475.2212,245,303.708595
-2832.8726,338,309.444683
-2655.3062,341,309.921117
-3879.5244,359,310.544022
-1231.3851,287,312.106263
-3329.6416,375,312.857167
-1808.5852,245,314.712838
-3160.4336,338,316.750502
-3203.049,349,317.535153
-576.40924,269,321.858238
-1366.9143,304,322.69386
-2580.6094,278,322.694857
-2308.8533,237,323.026501
-2443.064,262,323.270664
-1729.4235,243,324.409234
-1953.7654,104,326.526259
-2394.0447,296,327.446224
-1817.2041,217,328.655251
-1608.3242,223,329.429115
-2644.5645,364,329.635708
-2245.6665,241,329.791631
-2179.1758,297,331.265068
-3008.434,342,333.318784
-1615.0453,311,334.66487
-3277.9915,343,334.704112
-2356.4363,239,334.705113
-1443.4362,286,335.093389
-698.4383,254,335.254725
-2819.4248,336,337.121311
-1309.7994,298,337.636033
-913.52094,269,338.831388
-2898.3857,234,339.530382
-2297.8267,263,340.060805
-1889.4675,249,340.330857
-2358.809,308,341.509837
-2674.014,357,342.154439
-2530.19,304,344.233006
-2738.3264,338,344.411336
-2284.4612,285,345.134958
-2287.594,291,346.007989
-3231.155,277,346.257111
-2151.0332,272,346.415422
-1726.1462,119,348.898442
-3149.221,340,348.920584
-2655.4067,347,349.725126
-2228.73,239,350.16182
-2421.4336,333,365.549575
-1710.4336,249,365.57089
-3230.606,351,365.778339
-2311.341,285,366.133998
-2111.48,176,367.970851
-2893.7725,286,369.849444
-2199.0635,251,370.56078
-2524.1677,315,370.713915
-2121.895,279,372.704247
-1398.4427,300,373.258822
-2201.5317,293,373.321485
-1568.4893,144,373.491771
-2475.005,287,373.56123
-497.9171,276,374.934153
-2250.7627,237,376.560881
-3252.7063,245,376.616246
-2809.7666,306,381.424236
-3197.3508,340,381.486723
-653.9695,320,381.543748
-2535.0488,312,381.543748
-2364.558,320,381.594248
-1573.571,69,383.310956
-2165.1284,264,383.64303
-2915.2756,329,383.667924
-2602.3574,291,384.304177
-1846.4175,139,385.287836
-1560.5522,178,387.739531
-2068.5962,262,388.218035
-2147.497,272,388.405634
-2523.5942,297,389.065885
-1292.3206,296,390.875944
-1623.5135,85,391.208592
-2513.7046,285,391.38749
-2701.4722,312,391.468595
-1667.4631,160,392.335171
-2733.829,309,393.107747
-2154.0278,255,394.295497
-2758.7612,292,395.753857
-2032.5315,80,396.135954
-2336.2002,240,397.297977
-2583.4868,278,398.377868
-2579.0088,336,399.540271
-2802.8374,363,400.76068
