policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,,goal,False,False,66,73.59881244598344,-31.494447686350266,11,0,8,0,9,4.469421766337884,0.0,0.864852707818157,0.0,1.3905200432960818,0.6071627240947723,0.8432726537758031,1.5789184325777263,0,,False,head_on,29,0.0,False,0.0,development,0
model,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,,goal,False,False,63,98.85665186297877,-6.7047341675741485,10,0,0,0,1,1.3469429794908834,0.0,0.0,0.0,0.008303648687616941,0.6180103311602461,0.8681150425703891,2.7272668646240423,0,,False,head_on,28,0.0,False,0.0,development,1
model,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,,collision:target,True,True,35,-330.3472657427322,-11.522513173670971,3,0,16,0,4,0.08220986081556607,0.0,2.664573006254623,0.0,0.3384692311371718,0.47734607655483013,0.6784908143935734,1.0722058551234779,1,"8(e) in extremis: head_on, compliant alteration inadmissible (DCPA 0.70 m, TCPA 3.2 s)",True,head_on,29,0.0,False,0.0,development,2
model,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,,goal,False,False,63,96.55094494566663,-15.657937255293877,3,0,7,0,4,1.2243790924257385,0.0,1.2727702221874424,0.0,1.1145084328692614,0.6357877475640646,0.8764556764970487,1.1665052930287712,0,,False,head_on,22,0.0,False,0.0,development,3
model,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,,goal,False,False,63,105.86265207664431,-9.620548107201023,11,0,0,0,3,1.8223172747677894,0.0,0.0,0.0,0.13335057713343706,0.6221183657575033,0.8788271063404411,2.136050826415449,0,,False,head_on,29,0.0,False,0.0,development,4
model,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,,goal,False,False,66,72.80012713709016,-24.11218189911841,8,0,11,0,2,3.0472695418828724,0.0,2.3462305366298817,0.0,0.12928171887347098,0.6144227764080933,0.8964131685616518,1.2042643096990324,0,,False,head_on,28,0.0,False,0.0,development,5
model,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,,collision:target,True,True,25,-297.00222489660234,-7.740939017978188,0,0,10,0,3,0.0,0.0,1.3740295209152085,0.0,0.6209850539296526,0.514192314745678,0.6096548550637264,1.7611343375537147,0,,False,head_on,11,0.0,False,0.0,development,6
model,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,,goal,False,False,61,125.9636685889096,-0.9802759840504955,2,0,0,0,0,0.1980355523334334,0.0,0.0,0.0,0.0,0.6365760022512815,0.8340112671699758,3.23272740337826,0,,False,crossing,13,1.0,True,0.0,development,7
model,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,,goal,False,False,65,100.28304100446185,-34.657094502191256,4,0,26,0,0,0.3697350405092069,0.0,9.118585014352966,0.0,0.0,0.5908443853082114,0.7491095277238526,1.5420823691636973,0,,False,head_on,26,0.0,False,0.0,development,8
model,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,,goal,False,False,59,95.02023131491394,-15.683711494085946,11,0,0,0,0,3.168426564461807,0.0,0.0,0.0,0.0,0.6690081026707199,0.8891161532606442,3.0806145286382627,0,,False,head_on,21,0.0,False,0.0,development,9
model,head_on,7.643066319700785,1.7056406923796066,175.83686086831378,,,,goal,False,False,67,63.97863298582366,-40.30543153987949,12,0,32,0,4,1.250165718458191,0.0,9.295049468431001,0.0,0.14554069936885386,0.5831360547888376,0.8727281928915599,1.1909749044397233,0,,False,head_on,33,0.0,False,0.0,development,10
model,head_on,7.958885684444756,0.5220743990799206,173.00682712496027,,,,goal,False,False,64,94.73243665511026,-23.046809429393456,10,0,2,0,4,3.860726003590571,0.0,0.053318779099632535,0.0,0.8320595793025448,0.6206360126286302,0.8508017769928307,1.586637592534926,0,,False,head_on,26,0.0,False,0.0,development,11
model,head_on,8.919597231476935,0.015575077797397752,189.9520951299898,,,,goal,False,False,63,81.3144193482004,-20.58301734190249,14,0,4,0,7,3.072641894125806,0.0,0.439775612534006,0.0,0.8422772801905183,0.6157395346741199,0.847850007478861,1.8331106870927758,0,,False,head_on,32,0.0,False,0.0,development,12
model,head_on,6.8745535936065325,1.611600490742285,187.4718115037299,,,,goal,False,False,60,111.5233032459581,-4.358710460407108,8,0,0,0,2,0.5763106195866841,0.0,0.0,0.0,0.33466064298956044,0.6546899007291149,0.9068965803297293,3.354057780946909,0,,False,head_on,21,0.0,False,0.0,development,13
model,head_on,7.392424952880393,1.4530951074163598,170.337965767494,,,,collision:target,True,True,30,-327.30207260842934,-24.351993191144494,4,0,22,0,6,0.32235897375298267,0.0,5.792913994620769,0.0,0.4226279756516582,0.4481572136576728,0.6066722663503383,1.7058079226416307,0,,False,head_on,25,0.0,False,0.0,development,14
