MASS,straight_rpm,turn_rpm,turn_rudder_deg,THRUST_COEF,DRAG_COEF,LINEAR_SURGE_DAMP,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,surge_score,turn_score,joint_score,surge_err_peak_u_body_mps,surge_err_initial_accel_0_2_after_motion_mps2,surge_err_initial_accel_0_5_after_motion_mps2,surge_err_distance_at_10s_after_motion_m,surge_err_time_to_50pct_peak_u_after_motion_s,surge_err_time_to_90pct_peak_u_after_motion_s,turn_err_peak_abs_yaw_rate_degps,turn_err_time_to_90deg_after_turn_s,turn_err_time_to_180deg_after_turn_s,turn_err_radius_first_90deg_m,turn_err_radius_first_180deg_m,turn_err_u_body_10s_after_turn_mps,surge_rpm_start_idx,surge_rpm_start_t_sec,surge_motion_start_idx,surge_motion_start_t_sec,surge_motion_lag_s,surge_u_body_at_2s_after_motion_mps,surge_u_body_at_5s_after_motion_mps,surge_u_body_at_10s_after_motion_mps,surge_distance_at_5s_after_motion_m,surge_distance_at_10s_after_motion_m,surge_initial_accel_0_2_after_motion_mps2,surge_initial_accel_0_5_after_motion_mps2,surge_peak_u_body_mps,surge_time_to_50pct_peak_u_after_motion_s,surge_time_to_90pct_peak_u_after_motion_s,surge_u_body_at_2s_after_rpm_mps,surge_u_body_at_5s_after_rpm_mps,surge_u_body_at_10s_after_rpm_mps,surge_distance_at_5s_after_rpm_m,surge_distance_at_10s_after_rpm_m,turn_rudder_start_idx,turn_rudder_start_t_sec,turn_turn_start_idx,turn_turn_start_t_sec,turn_turn_lag_s,turn_yaw_rate_at_2s_after_rudder_degps,turn_yaw_rate_at_5s_after_rudder_degps,turn_yaw_rate_at_10s_after_rudder_degps,turn_u_body_2s_after_rudder_mps,turn_u_body_5s_after_rudder_mps,turn_u_body_10s_after_rudder_mps,turn_time_to_30deg_after_rudder_s,turn_time_to_60deg_after_rudder_s,turn_time_to_90deg_after_rudder_s,turn_time_to_180deg_after_rudder_s,turn_peak_abs_yaw_rate_degps,turn_yaw_rate_at_2s_after_turn_degps,turn_yaw_rate_at_5s_after_turn_degps,turn_yaw_rate_at_10s_after_turn_degps,turn_u_body_2s_after_turn_mps,turn_u_body_5s_after_turn_mps,turn_u_body_10s_after_turn_mps,turn_time_to_30deg_after_turn_s,turn_time_to_60deg_after_turn_s,turn_time_to_90deg_after_turn_s,turn_time_to_180deg_after_turn_s,turn_radius_first_90deg_m,turn_radius_first_180deg_m,turn_diameter_first_90deg_m,turn_diameter_first_180deg_m
64.55,14.0,20.0,25.0,0.07,1.5,2.0,5.0,0.1,4.0,8.00749119738738,2.318371663330698,10.325862860718077,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5003041341819406,0.05186753332327326,0.24929962080798085,0.3450150330445025,0.0006956264940444343,0.32186072104750024,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,14,1.4000000000000001,1.4000000000000001,2.5619474794710366,16.226693964296725,11.032035569314584,0.6596678642906347,1.005258044316999,0.8778309579179533,5.1000000000000005,7.2,10.200000000000001,18.0,16.437527858554873,8.541509092845141,13.253692463540212,12.537173040331353,1.011797892670561,0.7091141037891037,0.8688078500456621,3.7,5.8,8.9,16.6,4.430352869361136,4.200826294812034,8.860705738722272,8.401652589624067
64.55,14.0,20.0,25.0,0.07,1.5,2.0,4.0,0.1,4.0,8.00749119738738,2.324316869549184,10.331808066936564,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.49243205522469513,0.019908011974619475,0.3095068314493294,0.34459726537510715,0.0020618617189252534,0.31641872819497435,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,15,1.5,1.5,2.2866444203280003,16.110946008870663,9.19873389683256,0.6605542600515272,1.0313986091860867,0.8222862913925751,5.2,7.300000000000001,10.700000000000001,18.8,16.696480405525875,8.404011723890738,13.508559990814119,11.829299535822836,1.040444712022191,0.6240158640151255,0.8757799371329491,3.7,5.800000000000001,9.200000000000001,17.400000000000002,4.433178671915712,4.189250618166717,8.866357343831424,8.378501236333435
64.55,14.0,20.0,30.0,0.07,1.5,2.0,4.0,0.1,4.0,8.00749119738738,2.3922331876766023,10.399724385063982,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5018670495175528,0.019908011974619475,0.3019809301191607,0.3556166826844163,0.01990542397904594,0.34238122150784656,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,14,1.4000000000000001,1.4000000000000001,2.5833092605019403,16.189592865438453,9.809771549607916,0.6595103029901678,0.973393658011247,0.8169582880775772,5.1000000000000005,7.2,10.5,18.6,16.38611565740002,8.636388877144213,13.14290134101816,11.89088362892653,1.008557376080825,0.6274090849795017,0.8425177169710031,3.7,5.9,9.200000000000001,17.3,4.358642751920616,4.114345018950654,8.717285503841232,8.228690037901307
64.55,14.0,20.0,30.0,0.06,1.5,2.0,5.0,0.1,4.0,7.822892197543069,2.5810127201820148,10.403904917725084,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0.5687725971765272,0.02270468315691865,0.3546622394303408,0.31417520046543435,0.03639703725817367,0.35840496241328695,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335,0,0.0,14,1.4000000000000001,1.4000000000000001,2.249426683427679,13.384340351626152,9.765762961904048,0.5651333817515141,0.9703793302690237,0.7940815386513814,5.5,7.9,11.0,19.400000000000002,14.185253335403766,6.982033270643542,13.160766512229868,10.878071543100058,0.8746660453924101,0.7786730859554811,0.8219886718060503,4.1,6.5,9.6,18.000000000000004,4.638955123840932,4.350697465554811,9.277910247681865,8.701394931109622
64.55,14.0,20.0,25.0,0.06,1.5,2.0,5.0,0.1,4.0,7.822892197543069,2.5831391219177315,10.406031319460801,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0.5612429459087062,0.03335785693980337,0.3621881407605092,0.3012513551929828,0.06056640463803004,0.33821186765244426,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335,0,0.0,15,1.5,1.5,1.9910939097047606,13.073502914408715,9.398003538467051,0.5660975261762606,1.012628156698892,0.8035045476573125,5.6000000000000005,8.0,11.100000000000001,19.5,14.4329417013609,6.756187966136472,13.5026348747787,10.80390943582657,0.9025489031694786,0.7956055172930527,0.847859344379442,4.1000000000000005,6.5,9.700000000000001,18.1,4.7263726950443266,4.452158200797544,9.452745390088653,8.904316401595088
64.55,14.0,20.0,30.0,0.07,1.5,2.0,5.0,0.1,4.0,8.00749119738738,2.4008058078693497,10.40829700525673,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.509685390207635,0.06252070710615779,0.24177371947781218,0.3536803599068787,0.019176406970684737,0.3440360871940437,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,13,1.3,1.3,2.8910341129589505,16.099720700530934,11.408730907469696,0.6583437273564147,0.95235462198842,0.8565414013285192,5.0,7.1000000000000005,10.100000000000001,17.8,16.1289308342066,8.75461212244599,12.974845611864012,12.394843077188,0.9795648880450017,0.708713416038159,0.8403975620949131,3.7,5.9,8.8,16.5,4.371740141336053,4.117405363911707,8.743480282672106,8.234810727823414
64.55,14.0,20.0,25.0,0.07,1.5,2.0,5.0,0.15,6.0,8.00749119738738,2.475832589171377,10.483323786558756,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5408638790027397,0.019908011974619663,0.3095068314493291,0.324848707432602,0.032883842778452355,0.36987165611530953,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,13,1.3,1.3,3.0425779263785833,15.043530127931662,11.085939140593222,0.6572454635423244,0.8979872136390892,0.8307870363488333,4.9,7.5,10.4,18.7,15.103312426661528,9.012888216328781,11.193492552302757,11.35907522830005,0.9670798372198017,0.7045005867611124,0.8072979529351793,3.7,6.2,9.2,17.4,4.566758959648128,4.3359494049473035,9.133517919296256,8.671898809894607
64.55,14.0,20.0,25.0,0.07,1.5,2.0,5.0,0.1,5.0,8.00749119738738,2.483842850458686,10.491334047846065,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5689086642653358,0.022704683156918842,0.35466223943034053,0.19363720662073738,0.22760321379876333,0.2505637727387963,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,15,1.5,1.5,2.197028299459,13.524911011706774,9.895804436266355,0.6599652384317988,1.1339481220407253,0.9393105590234676,5.5,7.9,11.0,19.5,14.180777399707837,7.397740432414062,12.57548633903293,10.936246529582435,1.0442372285321502,0.894997545725852,0.9601509565393365,4.0,6.5,9.600000000000001,18.0,5.454280473030469,5.153363044254591,10.908560946060938,10.306726088509182
64.55,14.0,20.0,30.0,0.07,1.5,2.0,5.0,0.1,5.0,8.00749119738738,2.493287197164353,10.500778394551732,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5759378539600211,0.012051509374034122,0.3546622394303408,0.209149377142617,0.1987945171586962,0.2727965284781094,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,14,1.4000000000000001,1.4000000000000001,2.4813058053971058,13.656952710248607,10.167978701575546,0.6587195310133519,1.0840234039387264,0.9212043196923501,5.300000000000001,7.9,10.9,19.400000000000002,13.949551749601046,7.621274111337975,12.30312170360983,10.915536115298732,1.0113880404200009,0.8791260231240834,0.9316671430898342,4.0,6.5,9.5,18.000000000000004,5.349355333296234,5.032426840317282,10.698710666592468,10.064853680634563
64.55,14.0,20.0,25.0,0.07,1.5,2.0,3.0,0.1,4.0,8.00749119738738,2.4960358117649317,10.503527009152311,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.48553327357783355,0.04401103072268791,0.39229174608118333,0.34023495240901896,0.013297611043928093,0.32485954438465714,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,16,1.6,1.6,1.9334759322505393,15.456629609391726,6.648043627538077,0.6614528242755261,1.0886629212975607,0.6747318899851503,5.4,7.4,11.4,20.1,16.923416274456326,7.8984867423538585,14.399864860848718,9.530119811866783,1.0736366586007646,0.5315018503031786,0.8649658645758829,3.8000000000000003,5.800000000000001,9.8,18.5,4.46268558694644,4.14208399731143,8.92537117389288,8.28416799462286
