episode_id,obstacle_count,group,seed,success,obstacle_collision,border_collision,timeout,term_reason,rms_cte,mean_cte,mean_signed_cte,max_cte,std_cte,min_obstacle_clearance,min_border_clearance,min_lateral_border_clearance,min_front_clearance,path_completion_steps,path_completion_time_s,mean_speed,mean_rpm,control_effort,control_effort_deg2s,mean_abs_rudder_rate,mean_abs_rudder_rate_achieved,mean_abs_rudder_deg,rudder_saturation_fraction,mean_abs_course_error,ep_reward,reference_path_length,actual_path_length,path_efficiency,d_end
4103000,3,obs_3,10030002,1,0,0,0,goal,1.118907556884827,0.7709864978636948,0.6795513899705838,2.0852928161621094,0.8889117106006759,0.4327836534817547,0.9883410820671683,2.5130183082186646,5.331664562225342,224,22.400000000000002,0.8796807465715025,10.872216029890946,9.386119309427775,15017.790895084438,61.025610739874736,11.596500428409579,22.709318133337156,0.0,7.292685110994062,87.21387174806374,20.0,19.704848723201657,0.9852424361600829,1.7040875123631465
4103001,3,obs_3,10030004,1,0,0,0,goal,1.4424548752410744,1.1018885633758535,1.0810221076660258,2.435166120529175,0.9550221305519819,0.08101407340227194,0.9884669121656505,2.3769362668231677,4.647527503967285,224,22.400000000000002,0.861368753022268,11.704949329740234,6.64887799365294,10638.204789844705,53.618797806880934,11.412593596841491,17.500398233532906,0.026785714285714284,9.965957253500347,85.80572294798418,20.0,19.294660067698803,0.9647330033849402,1.512713320518687
4103002,3,obs_3,10030027,1,0,0,0,goal,1.0965020973994484,0.818395768167058,-0.818395768167058,1.9834187030792236,0.7297569569710458,0.5058182781027329,0.988732624383411,3.3391418280259018,6.322286224365234,199,19.900000000000002,0.958429355261871,12.898841587442849,7.015215161114995,11224.344257783992,70.84135383066504,12.180077016228596,20.1125450230124,0.0,7.379584196908211,92.7392633105072,20.0,19.072744169711235,0.9536372084855618,1.6719474211894714
4103003,3,obs_3,10030051,1,0,0,0,goal,1.614377514021786,1.268084321445493,1.268084321445493,2.643456220626831,0.9990880399060365,0.240316971560559,0.9894122768024217,2.729239496721042,6.414727306365966,207,20.700000000000003,0.9657550536296291,12.378885422063911,10.194808433680826,16311.69349388932,69.51756569945697,11.358530992896496,25.142114358247767,0.12560386473429952,10.968098950933289,83.29943008920138,20.0,19.991129610133328,0.9995564805066663,1.6813363495631253
4103004,3,obs_3,10030052,1,0,0,0,goal,1.2735022117933017,0.9745657270130537,-0.9745657270130537,2.221681833267212,0.8197740708109457,0.7115706250977636,0.9887032553692627,3.3186148834382747,6.840503692626953,204,20.400000000000002,0.9464290942583435,13.2643541413195,8.38488993576493,13415.823897223885,91.88339839427928,16.09960495865178,22.845913522383746,0.0196078431372549,9.986609365116648,86.5847151709626,20.0,19.30715352287021,0.9653576761435104,1.324760753593718
4103005,3,obs_3,10030096,1,0,0,0,goal,1.3408091245673426,0.9621867782513921,-0.7075034687838827,2.5253965854644775,1.138950372132964,0.08272463212114232,0.5635714807304453,0.5635714807304453,2.841765022277832,240,24.0,0.855287113031251,14.05930141955614,14.1313872983519,22610.219677363042,69.35711116471549,11.881506115100938,28.01748338341713,0.1,13.730459683272999,90.2461769878607,20.0,20.526890712750028,1.0263445356375014,1.64272274018874
4103006,3,obs_3,10030102,1,0,0,0,goal,1.451663988285422,1.1138879883667239,1.1138879883667239,2.423144817352295,0.9309037996791458,0.34099369109313094,0.9893224488711267,3.17429101404995,6.066633081436157,208,20.8,0.9572564732497314,12.222951175215153,10.686244148772529,17097.990638036044,65.22357820888648,11.730725455474849,25.82800389482425,0.12980769230769232,9.778425572989175,83.50425224184353,20.0,19.910934643594416,0.9955467321797208,1.6679584075429363
4103007,3,obs_3,10030105,0,0,1,0,border,0.894106919546967,0.5613075152613483,0.5055473271248385,2.0276360511779785,0.7374612421128979,0.17678488706460135,-0.012692266943496955,-0.012692266943496955,4.4289774894714355,172,17.2,1.0156009014807312,11.834418214684309,7.481880815753121,11971.009305204992,88.55937321980794,14.636810506720265,23.394894211791282,0.05813953488372093,6.008301902065075,-964.9193454855541,20.00805653305213,17.468335505468573,0.873065081389185,3.4271204468509615
4103008,3,obs_3,10030135,1,0,0,0,goal,1.242083186070959,0.8339629548952633,-0.8130522461084446,2.3422491550445557,0.9389977029887759,0.4048423572497442,0.9888328883534558,3.10616411454787,4.565212249755859,221,22.1,0.9181917936918713,13.278181013478413,10.457381138998379,16731.809822397405,67.49272758310491,12.308406922117927,24.306731741892268,0.013574660633484163,8.498023818268544,94.34217096119221,20.0,20.292038640590356,1.0146019320295179,1.6097110060340465
4103009,3,obs_3,10030143,1,0,0,0,goal,1.55693052084932,1.0716625589154294,-1.0405519615046668,2.8801345825195312,1.1581382741973971,0.10537947623475487,0.9890219245447046,2.4906109273217485,2.408378028869629,251,25.1,0.8561768663271798,13.560394517454018,15.11000450777969,24176.00721244751,59.69281845092773,12.268554890571734,28.738497585889352,0.0,13.248984923578911,90.28921058270555,20.0,21.490039344812217,1.0745019672406109,1.5696046449610248
