scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
20,0.0,0.0,0,none,,0,,7.067607875983484,18.927162352881112,0
20,0.5,-0.07878981220528658,0,none,,0,,6.7305445188514055,17.908051459713704,0
20,1.0,-0.47737760471,0,none,,0,,6.402628934998018,17.085879902735655,0
20,1.5,-1.2336880579105696,0,none,,0,,6.082596040128058,16.496312932320393,0
20,2.0,-2.3415846631544355,1,engaged,crossing,1,7.186036885421656,5.771429956265816,16.123877029095013,0
20,2.5,-3.587366639999857,1,engaged,crossing,1,6.6470285939310845,5.469926178727794,15.739798345688655,0
20,3.0,-4.74476115710678,1,engaged,crossing,1,6.130165495531314,5.1821234070656965,15.086922266147155,0
20,3.5,-4.916352062191152,1,engaged,crossing,1,5.747178297581288,4.909133583381199,13.219539387851398,0
20,4.0,-3.838241256150809,1,engaged,crossing,1,5.874961303518257,4.650987588635106,9.819390825975916,0
20,4.5,-1.9657418715605104,0,none,,0,,4.4093939857338595,5.298768445868973,0
20,5.0,0.2991672483082084,0,none,,0,,4.186523713372023,0.026983070584037705,0
20,5.5,2.786742765042277,0,none,,0,,3.9846041815450004,-5.850988898507751,0
20,6.0,4.916780090772363,0,none,,0,,3.8060350613031444,-11.75138816343349,0
20,6.5,6.344027698653122,0,none,,0,,3.652877854429496,-17.301608831475733,0
20,7.0,7.658302123112264,1,idle,none,0,3.0377056740581554,3.526091389464067,-23.079488117300855,0
20,7.5,9.518099474566839,1,idle,none,0,1.2296947605433597,3.4082685058771833,-29.910184953940586,0
20,8.0,12.487658854201356,1,idle,none,0,1.894638551319356,3.2868789171024875,-38.70311789740879,0
20,8.5,16.92375964684362,1,idle,none,0,1.7254491384145365,3.1793606184343304,-50.05826359063951,0
20,9.0,22.52547750128315,1,idle,none,0,1.144256373052574,3.1207188195867595,-63.544292019476785,0
20,9.5,27.037695084350105,1,idle,none,0,0.10160229796387743,3.132809842492276,-76.53639356152212,0
20,10.0,28.546740898629253,1,idle,none,0,0.006518214863376744,3.2220289288194124,-86.41661280126358,0
20,10.5,27.001760212047884,1,idle,none,0,-1.4801698656511961,3.3775727851551056,-92.45863695610761,0
20,11.0,22.51460560497287,1,idle,none,0,-1.3268478747029209,3.579089708942666,-94.70650786019402,0
20,11.5,16.110383002289495,1,idle,none,0,-1.903943681130198,3.8099636235490073,-94.25102950770389,0
20,12.0,9.196685263891993,1,idle,none,0,-2.0447088260891353,4.059265951046985,-92.57422382457565,0
20,12.5,3.1420097038372887,1,idle,none,0,-2.4287235134157816,4.3212263813468095,-91.116900216369,0
20,13.0,-1.3489698509274604,1,idle,none,0,-3.1148610824989844,4.592856954695297,-90.6944946413845,0
20,13.5,-4.346907002786224,1,idle,none,0,-4.28837254186297,4.872259628299105,-91.34663639162306,0
20,14.0,-6.262779704001616,1,idle,none,0,-4.549354093691632,5.15846708858276,-92.77076268844917,0
20,14.5,-7.7527024686672235,1,idle,none,0,-4.366813137838487,5.450630724931612,-94.37199256141764,0
20,15.0,-9.15833549331802,1,idle,none,0,-5.491901581171561,5.746902677768364,-95.7642360407184,0
20,15.5,-10.141101187727713,1,idle,none,0,-6.047065233680792,6.046710690961567,-97.30925359670175,0
20,16.0,-10.141020980759947,1,idle,none,0,-5.221855394234146,6.352217451931204,-99.63007155006596,0
20,16.5,-9.241933669178195,1,idle,none,0,-6.053433073854336,6.6650062394026595,-102.63633727567333,0
20,17.0,-7.900850079453619,1,idle,none,0,-5.92064937641115,6.98589407492447,-105.88900806270351,0
