policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,collision:target,True,True,29,-352.28959963783734,-32.9417696235377,14,0,17,0,5,4.19955341291176,0.0,2.655701187565063,0.0,0.5763235454200586,0.4353501070557981,0.6549400064161148,1.8196157321700834,0.8231905444557049,0,,False,head_on,26,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,60,94.02134768396682,-29.48389119763058,9,0,4,0,10,3.814109100815777,0.0,0.5382008013628483,0.0,1.9258951697080513,0.6550193319782076,0.9175068521223675,1.5490677972508504,0.6645206432892757,0,,False,head_on,26,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,62,73.2297975868377,-44.71332857765926,26,0,28,0,3,4.048599033974152,0.0,6.57074026921073,0.0,0.22624408673968666,0.641866001510164,0.8462656258955643,3.343829415089322,1.517377251966123,0,,False,head_on,29,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,60,130.04092438354894,-8.599580705438406,6,0,3,0,3,1.1696215723612127,0.0,0.17297124589288848,0.0,0.486057208230223,0.6405569819716088,0.8725959987661543,2.3931718548712784,0.3871140577166514,0,,False,head_on,24,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,63,37.60764912147534,-90.3681569727158,14,0,19,0,18,8.244465535257502,0.0,3.6341032349583684,0.0,8.105617983853561,0.6220182857413732,0.7136406979593566,1.2991586453904203,1.4083951496922056,0,,False,head_on,19,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,61,72.9410161092356,-49.103939885715725,15,0,25,0,5,3.316508657415002,0.0,8.634843380567435,0.0,0.35595241365970676,0.6313918290341001,0.8499937178195968,2.310139108690424,0.8318365022509219,0,,False,head_on,25,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,62,108.76215440170387,-3.0342804196756124,0,7,0,0,2,0.0,0.292396062931286,0.0,0.0,0.35264886848127697,0.6452438453194579,0.8649169937343028,1.815447579506262,1.575520285439524,0,,False,crossing,10,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,63,44.236090900867524,-37.430522400554125,6,0,10,0,10,1.3996208641688541,0.0,2.515712238539631,0.0,4.765741125372362,0.6460905353569453,0.8099851135604543,1.4296086603751326,2.319950165371854,0,,False,head_on,10,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,59,124.97159763262258,-12.578620378976677,6,0,1,0,4,1.812008960616998,0.0,0.027119778094940414,0.0,0.7803432939512774,0.6472255194768881,0.8404823396601167,2.3210238394387614,0.35070795862804516,0,,False,head_on,20,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,64,52.448721743704795,-10.494182089667655,7,0,2,0,4,1.5234081930449264,0.0,0.06040346317290046,0.0,0.6079686814828504,0.6264818531863343,0.8559051219811019,2.168654035102185,1.650596242726839,0,,False,head_on,22,0.0,False,0.0,development,9
model,head_on,9.33910709037673,1.3293144757328503,188.10570753975367,,,,goal,False,False,57,111.38724857944327,-1.6656348780267272,5,0,0,0,1,0.2335878953605159,0.0,0.0,0.0,0.11319439910937185,0.6836344785834638,0.9088775030433748,3.15272149398322,1.058294033391193,0,,False,crossing,17,0.0,False,0.0,development,10
model,head_on,9.201918994820689,1.3472959214865994,177.51607921353337,,,,goal,False,False,61,106.46498155311296,-22.69003066373807,13,0,1,0,8,3.430524899337743,0.0,0.14373514132088133,0.0,1.153663534058015,0.6266184436041321,0.9005792292218937,2.3096779223472774,0.49697512287860157,0,,False,head_on,24,0.0,False,0.0,development,11
model,head_on,7.0168699613170915,0.015575077797397752,189.9520951299898,,,,goal,False,False,84,-80.14368514855454,-64.15426577588823,19,0,28,0,7,6.314646658952159,0.0,7.652707830035752,0.0,1.188225916876964,0.46559687089873447,0.7036778284061461,1.419226951851219,1.2929338034915223,0,,False,head_on,29,0.0,False,0.0,development,12
model,head_on,9.201228208159643,1.773234588430947,186.26632667244348,,,,goal,False,False,64,123.0118848114048,-7.992503888736555,9,0,1,0,3,1.0490441203982286,0.0,0.08759436034635987,0.0,0.5520879545596507,0.5978769402650798,0.8570837468444357,2.7626210507454947,0.5545733651565682,0,,False,head_on,26,0.0,False,0.0,development,13
model,head_on,9.304144726251463,0.6644683462769254,189.27794679609093,,,,goal,False,False,59,67.63388884573082,-61.0172058891104,21,0,21,0,19,4.604149865780658,0.0,7.289465072395348,0.0,2.6632421761939744,0.6571659234083382,0.8490044475989511,2.3854681364589845,0.9042493256909329,0,,False,head_on,21,0.0,False,0.0,development,14
