episode,class,step,u_own,dcpa,tcpa,dcpa_if_slowed,dcpa_if_stopped,slowdown_clears,stop_clears,already_clear
0,head_on,29,0.9684120260903449,1.142413213122188,0.06437055608407641,1.1427070003619164,1.1427070003619164,False,False,False
1,head_on,5,0.6733978417748685,0.43244474866222393,11.086037468071684,0.12292013896572293,0.11383789942262451,False,False,False
1,head_on,6,0.522871063005624,0.7539287429910465,10.46781626315205,0.49407710794715004,0.38038098697039213,False,False,False
2,head_on,17,0.4712024056657021,0.19055591839775254,7.994041290177138,0.12876655997478162,0.37063204859213794,False,False,False
2,head_on,18,0.46529497089538413,0.007159108562295895,7.7261206145778,0.07021325818114577,0.016355852614604816,False,False,False
2,head_on,19,0.4229982256135409,0.09457407199100301,7.316870534356529,0.04919772175426329,0.20867462175560325,False,False,False
2,head_on,20,0.5289497020285613,0.15537341855884096,6.850821154932026,0.10103203905085252,0.34057904510361314,False,False,False
2,head_on,21,0.4183208068883171,0.3642646514797299,6.233723437021051,0.36299494440768626,0.7388542264814325,False,False,False
2,head_on,22,0.4495395033200126,0.325751475031179,5.503251459484335,0.3073040743046207,0.663105127843547,False,False,False
2,head_on,23,0.5662147425089351,0.3108814050381456,4.878727208494587,0.24795495607221563,0.6301595185455485,False,False,False
2,head_on,24,0.506377887393989,0.0754729184769081,4.3108981674718505,0.025758620138019748,0.2399125938535089,False,False,False
2,head_on,25,0.598202081327511,0.04997122591513916,3.8544400026699757,0.022914993791541837,0.24744107310300176,False,False,False
2,head_on,26,0.6246742913444536,0.10142204103314259,2.8509649353103095,0.05648862116129834,0.3644806085793543,False,False,False
2,head_on,27,0.6652804994003447,0.0350213044688876,2.2322390842724054,0.024915799758889683,0.28390617361898873,False,False,False
2,head_on,28,0.6875725238259287,0.1333427785628651,1.6949223633882404,0.18817086955707976,0.032050955673041004,False,False,False
2,head_on,29,0.755184053301558,0.21369739614626299,1.1397685108145532,0.281296087274433,0.155005186377167,False,False,False
6,head_on,18,0.6604046798080451,0.6092511774028828,2.9973826699864743,0.5055068239612835,0.08518383808981343,False,False,False
6,head_on,19,0.8036277898544884,0.42139127628235384,2.318095517488203,0.3634275902649556,0.11658409524198085,False,False,False
6,head_on,20,0.9054052227679267,0.5574768246038418,1.8374322015606264,0.5600301925357059,0.2059200707713117,False,False,False
6,head_on,21,0.8451545248775459,0.5711006389038586,1.641777821304863,0.6097173613483698,0.16834408022474753,False,False,False
6,head_on,22,0.7993392691756619,0.7913546861998748,1.977001495200996,0.8713877911174917,1.22245050529579,False,False,False
6,head_on,23,0.8015157665693409,0.9924607481450022,1.3141234695116,1.111151588458203,1.0482873417728644,False,False,False
6,head_on,24,0.9279800835442584,0.929449037237906,0.38658376088607027,0.9755959065402221,0.9724202166228196,False,False,False
12,head_on,30,0.7137367389392059,1.2682741549965713,1.0170896199072261,1.187244232188428,1.1978528994679492,False,False,False
12,head_on,31,0.7880475298949827,1.2264685755872382,0.6300767864797365,1.1666361133159424,1.1676985407328548,False,False,False
12,head_on,32,0.7813161543636452,1.24169945717046,0.20977568737871985,1.2178020058677748,1.218871439976705,False,False,False
16,head_on,3,0.6512114959650803,0.45060686214101997,9.922032136838862,0.517080944673433,0.9139952994103088,False,False,False
16,head_on,4,0.7303898686558006,0.2087045609891419,9.608156479577021,0.14261159869745121,0.6381319659253203,False,False,False
16,head_on,5,0.6355138849496221,0.651821564194931,9.75897750447881,0.9315277123813338,0.8216966649936523,False,False,False
16,head_on,6,0.5893603053448375,0.2320237029439175,10.034614788543514,0.12744365534717886,0.9859351683502805,False,False,False
16,head_on,7,0.5868516905749984,0.14980698303860343,9.25116632482388,0.008190605671903108,0.7639447626321887,False,False,False
