tag,width,outcome,stbd_admissible,peak_stbd,peak_port,first_turn_t,first_turn_dir,min_range,speed_at_min
run8,5,goal,True,34.237669136569906,17.15807698572462,8.0,port,2.028808168471755,0.9484598199053049
run8,5,goal,False,24.713918882227205,24.37457872670393,7.5,stbd,1.9559456921897043,0.8243306179997432
run8,5,goal,True,34.588585193026546,22.31121150600461,3.0,port,2.0742937259996115,0.8399714417684132
run8,5,goal,False,36.28869772471569,30.251961675739835,9.5,port,1.844236012081601,0.726304485890367
run8,5,goal,False,18.661761523067497,29.613398350850673,7.0,stbd,1.3796431645908016,1.0479350941486687
run8,5,goal,True,31.949525949486883,12.53977593151535,15.0,stbd,2.1757152519987653,0.9883976487376017
run8,5,goal,False,36.61046642555635,32.8249814882725,7.0,port,1.8232138451453124,0.6917082181470068
run8,5,goal,True,16.189790413357287,32.1452046260614,6.5,stbd,2.822392815593492,0.8439828963117758
run8,5,goal,False,25.564174292928328,20.843119754498048,3.0,port,1.3525082095300576,0.9537285390092975
run8,5,goal,False,24.16295711367593,26.104815103720398,6.5,stbd,1.625268410680066,0.8727662305334584
run8,5,goal,False,29.008207515614657,13.841834224175955,8.0,port,2.607331957313844,0.8954283962568959
run8,5,goal,False,35.794299861617674,34.39537387628269,8.0,port,1.8650618279174362,0.6472272440893858
run8,5,collision:target,False,3.3381546853109967,36.989512321587426,12.5,port,1.041998074199869,0.4243789643985938
run8,5,goal,True,26.843257965584968,21.71684218351038,6.0,stbd,2.4488274370249314,0.7948862219455192
run8,5,goal,True,30.383891586039965,19.434780584489545,3.5,port,2.6137835220877585,0.8879116888105866
run8,5,goal,False,32.043981959068844,27.542499444117993,2.5,port,2.110847669716919,0.8601491098174888
run8,5,goal,False,32.808111134191876,28.22852143441918,8.0,port,1.7349586188688557,0.8462513651062611
run8,5,goal,True,32.937349438409996,19.124181080952894,3.0,port,2.5334943499400278,0.9412080685087305
run8,5,goal,False,35.405586184157954,20.041312844281038,2.5,port,1.9871882345311167,0.8884177977130814
run8,5,goal,False,21.935388265782166,28.444414444724373,2.5,port,1.3551354920727519,0.9838572227718987
run8,6,goal,True,32.87169366616598,14.92397705600024,3.5,port,2.0743664578886025,0.9465702629311121
run8,6,goal,True,21.0146450941142,21.352588602321475,6.5,stbd,2.0538568223529645,0.7930051926903541
run8,6,goal,True,33.280523892719856,16.66961363047176,3.0,port,2.0192619821276807,0.9712774420086313
run8,6,goal,True,31.589823173596216,27.28148774515489,9.5,port,1.8877805590302628,0.8134980214906194
run8,5,goal,False,20.064742368842445,32.71096752395903,7.0,stbd,1.4122831932980757,1.0345537090234804
run8,6,goal,True,30.378854361422384,13.261604136372284,8.5,port,2.1226797976301346,0.976027836040479
run8,6,goal,False,36.219884814349996,40.71383261650573,9.5,port,1.5072396121818992,0.7721925190972734
run8,6,goal,False,16.018649758444212,31.977105819430506,7.0,stbd,2.748758900511626,0.8448489779156073
run8,6,goal,True,27.871147452339812,24.402961745661628,2.5,port,1.624294130062391,0.9419812878957954
run8,6,goal,True,24.27507463550947,35.741188788376064,6.5,stbd,1.621212406508226,0.7953174289613009
run8,6,goal,True,28.232942380922225,17.303500492517855,3.0,port,2.8156393695268185,0.9275244077967624
run8,6,goal,True,31.608292455796715,31.127464569922893,7.5,port,1.859294324331277,0.7994636547117192
run8,5,goal,False,33.416869309078976,24.520966710209905,3.0,port,1.6196190708131704,0.914074952451806
run8,6,goal,True,23.689893628498282,23.15762986546497,6.0,stbd,2.4915109999263834,0.7275164505642959
run8,6,goal,True,44.99505569064948,23.822908902766812,3.0,port,2.4651513548715953,0.9039236877069006
run8,6,goal,False,28.902860481279703,28.014366496850016,3.0,port,2.2967754290135236,0.8203576632816215
run8,6,goal,True,36.296601187638316,23.375443193428282,3.0,port,1.9260673579128669,0.8223320230164287
