#{"t_start": 1781347671.704863, "env_id": "None"}
r,l,t
-985.84796,142,621.107927
-988.5151,164,621.387736
-1004.68353,111,624.282376
-964.78143,183,625.69668
-1016.7453,186,630.623368
-994.96326,75,631.32631
-971.60345,215,637.273319
-954.33655,193,638.60165
-1000.4531,127,641.551776
-1010.4212,160,641.964401
-992.674,126,642.814147
-984.4989,107,645.250228
-1002.7194,189,646.636958
-993.05414,114,646.908809
-995.3426,70,647.838189
-989.1359,75,656.691235
-988.73755,163,658.852278
-1002.8768,149,661.544829
-1006.0824,127,661.962872
-970.5177,153,662.846699
-1022.359,164,663.127761
-979.94977,150,667.306571
-969.3711,178,669.721769
-999.13806,150,676.918648
-997.9376,102,677.114208
-977.8839,146,681.60694
-993.2027,153,683.231032
-1016.7477,154,684.40061
-996.82983,187,684.724753
-996.13855,102,684.724753
-1002.07666,183,695.228461
-1018.0021,161,702.654391
-1008.79,180,705.547701
-1010.20874,163,709.154821
-968.8417,181,713.533378
-996.98676,184,713.707751
-991.0539,204,714.05423
-975.631,189,714.824653
-995.8971,102,720.882197
-1008.9148,132,722.313704
-967.56476,182,722.914029
-984.4536,112,725.834557
-1001.04956,99,727.889866
-984.37573,109,729.380757
-1006.43054,156,737.674549
-1004.0601,135,740.702376
-971.1787,183,741.01703
-996.3698,158,745.572336
-975.37964,166,747.354959
-1004.7124,129,748.858373
-1005.94617,169,750.91885
-1023.4601,165,752.49428
-991.55,90,754.204268
-974.1062,114,754.534295
-982.82666,108,756.478956
-977.4253,123,764.717192
-994.57404,159,768.258682
-997.35583,115,770.767709
-993.3181,140,772.200582
-1000.4738,137,773.429668
-1018.62933,178,774.067262
-972.1484,186,777.204045
-984.58093,145,785.467427
-968.27563,211,786.28435
-988.58167,110,789.813313
-978.4019,136,791.700194
-1018.6601,168,792.350141
-967.1863,166,794.632602
-1000.174,159,800.637618
-1000.01056,107,801.555871
-990.4234,80,802.026079
-976.9384,196,802.3333
-982.80884,98,807.245613
-996.517,112,808.75568
-988.57477,77,812.227811
-982.08105,199,816.562211
-997.2393,180,822.437967
-996.0144,99,824.353399
-1012.0505,168,827.572038
-982.13367,169,828.516961
-979.12103,146,830.20596
-993.5475,192,831.933725
-1000.4775,108,833.640939
-1014.0132,147,835.495875
-999.34576,94,837.20884
-985.56854,117,845.428602
-1002.2107,101,845.428602
-984.71,108,848.041504
-979.1571,166,849.499869
-1005.8461,123,853.584368
-990.2355,179,855.346257
-1005.25494,176,859.649039
-997.5748,173,862.65007
-1005.3324,127,864.180444
-1005.75085,165,869.698616
-990.2815,166,992.506842
-1021.4756,167,994.087127
-1006.5713,133,994.900062
-1006.4696,172,998.548426
-979.2797,136,999.305074
-996.88715,108,999.671071
-1004.8095,127,1001.024801
-998.3935,101,1007.014027
-999.77167,95,1008.577845
-994.34186,133,1013.306458
-974.3791,205,1019.291003
-1006.93207,138,1019.450676
-1011.82446,144,1019.601142
-988.663,145,1020.78768
-1002.5155,116,1025.041772
-986.1905,180,1026.61026
-1009.7832,171,1030.710063
-985.4216,140,1038.241393
103.19656,184,1038.242382
-994.309,102,1038.549781
-1010.43665,143,1038.549781
-995.64075,149,1039.313591
-967.6866,155,1041.455954
