#{"t_start": 1776222200.6349409, "env_id": "None"}
r,l,t
-2376.558,168,140.38198
-1792.5107,146,141.123667
-2255.8975,176,141.71022
-1000.0,1,141.748612
-2301.5308,183,142.819987
-2158.6316,101,144.077115
-2554.2031,160,144.596467
-393.25815,149,144.850093
-2449.1763,192,144.988437
-1698.724,35,146.192298
-2510.3926,189,148.437217
-3554.6667,176,148.831513
-1706.0415,75,148.909733
-278.75165,151,149.51421
-2325.5134,185,149.690452
-1832.3556,39,150.178892
-399.58887,157,150.954298
-2033.1533,112,151.174441
-2208.8784,176,152.428001
-281.25897,148,153.317958
-2366.088,109,154.407219
-2409.1929,179,154.576991
-1963.7961,127,154.731776
-1906.3501,176,155.1667
-2066.954,187,155.351993
-1967.3417,178,155.642841
-1423.4451,51,156.292674
-253.4213,144,156.860387
-336.741,140,158.47409
-277.6553,135,159.58464
-360.98215,146,160.53271
-531.9384,148,160.74164
-2569.1914,184,160.951846
-2623.1094,177,161.780152
-2190.2964,167,162.085057
-2734.996,172,162.59301
-2012.8986,175,163.400261
-273.61514,146,164.497391
-2012.2762,190,164.645487
-697.32184,151,164.802795
-1664.6376,120,165.186052
-2788.2065,165,165.320288
-2711.2612,171,166.158148
-279.16257,142,166.816013
-3441.8909,172,166.838398
-1515.7003,34,167.562408
-780.3319,153,168.476761
-1709.4263,24,168.738372
-319.50537,154,169.310742
-2382.982,163,169.40237
-2889.7664,165,170.566062
-2318.6497,177,171.090149
-1711.3306,76,172.073818
-872.8154,157,172.52767
-2145.4019,194,172.748762
-1364.8677,82,173.146073
-657.14435,132,173.551845
-491.57272,159,174.116668
-1479.2181,128,174.849145
-2073.5562,178,174.944202
-1667.052,111,175.265884
-1821.6494,104,175.589164
-1801.198,136,176.347218
-1896.1279,40,176.726026
-2369.4773,140,177.849707
-2140.6958,176,177.875945
-2054.1177,181,178.358411
-1000.0,1,178.390116
-2077.3945,136,178.722473
-1648.7363,36,179.203824
-2025.1593,147,179.203824
-342.82578,150,180.35829
-2211.0564,173,182.363711
-619.7168,159,182.392902
-1918.2153,30,183.269793
-374.83292,150,183.441745
-1857.5684,124,183.670285
-2211.256,175,184.551576
-2109.9663,174,184.953873
-1985.1929,189,185.135713
-1000.0,1,185.165599
-2067.1768,169,185.256584
-1988.7075,100,185.786822
-2056.5698,120,186.457129
-1796.407,49,186.480507
-2060.5325,181,187.163239
-894.06067,168,188.059106
-1497.652,61,188.186688
-1895.9655,171,189.413372
-2674.2249,192,189.57274
-2458.2048,190,191.024554
-1740.3477,141,191.214378
-1560.6528,33,191.330506
-2343.366,174,191.613882
-449.14307,154,192.768045
-2365.1387,138,193.314656
-1000.0,1,193.341248
-2129.7085,158,193.715683
-1750.2065,97,194.219993
-2035.1573,143,194.77134
-1645.6952,152,195.552736
-1805.3162,150,195.664489
-2026.0294,143,196.205023
-2563.2852,194,196.518357
-2338.289,174,197.374051
-2160.645,123,197.528917
-1932.327,181,197.829212
-1491.8358,112,198.02538
-1989.9556,115,198.206709
-3618.5486,186,198.370163
-2266.9,131,199.532742
-2094.2825,172,200.169193
-2527.1,131,200.470016
-2107.8335,124,200.980038
-259.98523,141,201.130507
-1745.5466,139,202.081549
-588.853,146,203.019784
-2165.6301,178,203.637736
-1588.8826,119,204.362213
-1947.0243,164,204.51423
-2202.6907,140,204.586209
-2117.3096,121,204.805015
-296.52078,141,205.778484
-1975.9667,165,205.778484
-1840.9163,51,205.809163
-1748.9175,145,206.408195
-1481.5337,112,207.158852
-557.9462,158,207.284532
-589.34155,159,208.03938
-2060.0293,132,215.846861
-2370.213,183,216.114419
-2008.7793,154,216.429215
-1976.6978,108,216.739963
-2432.122,177,216.968232
-404.93665,148,217.670028
-2026.4141,185,217.670028
-2276.6729,92,218.166843
-464.91702,147,218.451532
-1902.5728,126,218.733188
-409.63028,140,219.975042
-396.1918,144,220.362592
-2811.4482,178,220.605821
-415.30878,150,221.384265
-2178.669,161,221.642579
-2225.8066,117,221.689269
-316.91632,153,221.97433
-1989.7856,163,222.499716
-276.49243,141,224.139257
-2046.6261,138,224.710383
-296.1109,138,225.022651
-2492.0088,119,225.543627
-367.71683,153,226.04821
-2046.6847,162,226.502698
-1758.3188,139,226.729676
-1992.0083,185,227.260009
-333.0859,154,227.904347
-328.01517,139,228.063596
-2435.0215,179,228.776036
-395.66394,158,229.012844
-1775.5544,60,229.293519
-2055.7441,134,229.484557
-2114.569,186,230.11237
-1947.937,167,230.402496
-586.0958,149,230.528333
-1579.7721,50,231.679129
-1948.094,136,231.759437
-1481.2938,108,231.845593
-2331.627,186,232.19674
-1690.0316,150,232.306439
-2503.4268,157,232.743558
-2069.8816,129,233.290072
-2297.999,173,234.164128
-1565.246,43,234.695596
-1618.5215,115,235.634174
-393.27948,144,235.778395
-1939.0447,101,235.940413
-490.46686,157,236.293942
-306.2447,150,236.716419
-2725.6975,179,236.896606
-1589.6826,104,238.120476
-1727.515,137,238.891367
-2785.8306,173,238.952781
-2771.3452,197,239.18349
-1717.0725,65,239.443259
-746.42786,138,239.670296
-2739.1902,187,239.691942
-2081.5923,171,239.809865
-1750.5378,67,240.226952
-2323.5962,178,240.299077
-1654.8655,142,242.574676
-2020.9802,144,242.632687
-2405.768,183,242.672776
-2233.751,170,242.88912
-2001.5071,192,243.063391
-1954.7454,168,243.268979
-1761.135,35,243.413563
-2161.005,181,244.008883
-3180.2576,178,244.033765
-1503.668,57,244.30606
-2427.0,139,246.804722
-1798.2634,129,247.012769
-2086.7837,166,247.12825
-406.26047,145,247.579852
-2549.8386,183,247.601476
-1693.0242,24,247.687593
-2129.3022,146,248.229479
-2358.0889,151,248.666146
-1990.4722,177,248.922742
-1920.3955,94,249.040087
-1563.5872,35,249.47851
-627.9821,151,250.397283
-262.10373,140,250.643517
-1688.3035,71,250.890612
-2052.8877,98,250.957138
-1803.2778,167,251.142765
-2072.8875,176,251.48691
-2252.6406,158,251.611481
-333.07944,143,251.964782
-1481.1793,128,253.079196
-2337.421,102,253.321362
-1000.0,1,253.340443
-251.05626,134,253.457344
-1902.4624,174,253.649424
-322.28577,148,253.890255
-1808.859,77,254.535914
-2040.6837,192,254.535914
-310.45462,146,254.681773
-2149.7783,183,255.043191
-1596.178,33,255.244238
-2158.765,83,255.373327
-2032.7247,141,256.829068
-335.62863,150,258.503973
-2156.2578,191,258.931653
-280.31937,144,259.123417
-1774.6519,122,259.170188
-1732.9961,36,259.817376
-646.9789,149,260.057255
-1660.9321,147,260.164783
-2395.1504,182,260.231366
-1828.2327,112,261.10326
-2011.8335,186,261.754653
-326.2311,154,283.110541
-2116.5454,118,283.153804
-2020.9187,138,283.296947
-2583.8594,171,283.393868
-2049.1086,150,283.651372
-1000.0,1,283.665447
-1856.772,52,283.993204
-2745.3433,179,284.069783
-427.87335,139,284.098485
-316.68262,147,284.859093
-468.6297,148,285.609793
-1680.8958,123,285.938397
-1936.0281,172,286.196061
-2187.9307,125,286.53594
-2728.728,135,286.856593
-1955.4333,188,286.891805
-455.8588,143,287.037099
-2034.3015,78,288.093564
-2088.505,175,288.48133
-2040.9392,97,288.962314
-1000.0,1,288.995577
-615.3991,151,289.416517
-2176.4155,181,289.569753
-1988.7634,173,289.777801
-1862.0477,175,291.131523
-2244.4531,193,291.481686
-3500.2712,163,292.399731
-2032.8318,188,292.451676
-256.20486,141,292.8306
-1603.2874,35,293.031688
-2188.1338,183,293.189759
-617.2482,167,293.189759
-2303.9502,184,293.441444
-695.6555,144,293.763584
-2075.399,157,294.280292
-430.52005,157,295.359591
-1877.9629,132,295.72831
-656.8576,142,295.747379
-2060.4521,179,296.266918
-2385.4814,186,296.779943
-2279.8203,179,296.894335
-1627.8552,69,297.060785
-609.2323,150,297.203725
-2031.3529,186,297.326921
-1822.1381,25,297.791742
-498.42776,148,298.187516
-1000.0,1,298.203516
-2083.3804,142,298.374598
-1530.7649,62,299.24659
-2014.1621,175,299.36179
-1705.7534,159,299.553923
-759.2893,145,299.572996
-905.5152,141,299.657873
-2143.0947,173,299.985779
-1803.5557,38,299.985779
-2125.1128,190,302.1169
-2370.1475,166,302.422768
-1508.456,94,302.479134
-402.9484,141,303.249123
-2400.165,128,303.363312
-1929.3574,178,303.723209
-2527.6758,172,303.816099
-1792.5972,82,303.933226
-1726.992,37,303.952518
-1506.5165,101,304.33723
-2050.7344,182,304.371771
-1891.6592,28,304.858214
-929.47205,148,304.973357
-1851.8191,131,305.832943
-2137.0908,138,306.311393
-571.52856,135,306.448107
-1961.7821,142,306.465861
-1799.9719,87,306.48452
-2057.2632,137,306.900344
-2235.5054,180,307.264358
-299.1742,140,307.523324
-1834.0316,142,308.413595
-453.98538,142,309.046047
-361.12296,151,309.066032
-1531.613,46,309.287502
-1430.9814,111,309.345893
-1814.6301,27,309.574243
-2417.4253,173,309.675611
-1967.5759,191,310.070614
-1778.2415,36,310.426168
-1918.4609,168,310.826456
-2666.6035,215,311.262872
-1520.1028,127,312.389798
-1962.6277,60,313.019119
-1935.145,139,313.130537
-815.933,158,313.843467
-1762.2766,40,313.951421
-390.14594,161,314.333027
-2271.6162,201,314.412477
-621.6758,148,314.412477
-1000.0,1,314.432645
-1688.2266,130,314.660458
-1612.2367,57,315.019783
-1605.7734,32,315.038984
-1690.7295,89,315.557161
-352.7679,149,315.61616
-407.05447,155,316.158275
-2224.4448,128,317.022744
-1846.8977,112,317.3661
-573.93335,151,317.408884
-1307.5192,150,318.104476
-2208.2114,177,318.25445
-1936.3099,144,318.550174
-2186.0674,176,319.110253
-2164.4673,106,319.491389
-1673.6177,112,319.574462
-1783.7885,178,319.704334
-602.8181,155,320.065339
-1702.3494,54,320.812019
-2417.7598,187,322.043107
-1659.0183,88,322.105651
-2068.5203,188,322.343209
-524.3289,136,322.753479
-2220.6108,185,322.788959
-540.76355,159,323.791816
-2582.2861,204,324.480345
-1503.8977,76,324.841453
-488.10754,166,325.48353
-485.24503,142,326.125951
-751.5079,146,326.170106
-2186.0818,136,326.384406
-638.70435,143,326.552042
-1356.9373,86,326.705016
-1608.3816,83,327.269343
-2113.7986,155,327.800203
-1790.9653,82,327.840103
-1924.0824,180,327.860595
-1653.6613,114,328.704846
-286.0909,147,329.153321
-1746.4214,24,329.172976
-1000.0,1,329.192634
-1786.3645,81,329.427499
-553.9957,147,329.504468
-1751.6204,26,329.663424
-2271.1846,183,330.381658
-409.93893,139,330.561619
-1830.3684,172,330.71002
-1502.2772,51,330.71002
-2027.1777,181,331.601562
-1924.1482,79,332.569249
-524.47327,145,332.638048
-2033.3239,160,333.219287
-2291.765,178,333.295028
-2051.6187,126,334.021822
-1811.4497,53,334.559486
-2277.62,165,335.212543
-1678.4019,47,335.99467
