#{"t_start": 1787204402.5790324, "env_id": "None"}
r,l,t
105.35982,183,101.236429
-991.231,70,101.333785
-977.27545,105,101.419457
-970.78876,176,101.585399
-965.2296,134,101.709704
-980.047,99,101.717705
-978.63104,100,101.828956
-982.47107,91,102.050025
-983.94556,125,102.210264
-982.93304,211,102.642143
-969.51294,129,102.712632
-990.1049,199,102.952884
-992.9846,197,103.093234
-980.90594,118,103.103013
95.70436,184,103.118192
-969.87744,163,103.290855
-975.92847,213,103.461201
-992.72797,66,103.617845
-990.33215,156,103.839994
92.60886,185,104.115597
-969.91437,132,104.123567
-980.57654,159,104.297266
103.87256,183,104.327685
-979.2625,153,104.426719
-979.9847,155,104.596859
-984.2418,88,104.760919
-986.8098,106,104.913246
-974.26086,218,105.25555
-954.93506,214,105.469891
-989.1938,76,105.532238
-979.2326,102,105.592798
-986.92267,150,105.627904
-974.83923,141,105.767067
-967.12085,183,105.780293
103.43344,182,105.815358
-992.6752,66,106.220984
-983.0069,118,106.56617
-976.004,110,106.89763
-982.5552,98,107.084251
-979.60187,126,107.193524
-972.279,117,107.355609
-982.1704,192,108.069527
-989.3937,74,108.120275
-978.6126,191,108.235279
-979.3022,105,108.399155
-973.1588,213,108.946686
-974.0975,204,109.187974
-968.72986,149,109.280393
-992.72955,66,109.28141
-984.7084,94,109.321311
-964.32806,191,109.376097
-975.869,112,109.631755
-987.08984,80,110.379842
-979.3238,99,110.73581
-983.96155,190,110.91103
-985.1362,142,111.102835
-990.56287,122,111.142856
-971.78436,131,111.560989
-964.1538,158,111.666015
-981.15344,94,112.156644
-972.8303,125,112.403102
-961.12964,239,112.603738
98.44572,184,112.810706
-992.1965,154,113.044819
-997.54486,174,113.257687
-986.2573,159,113.515128
-974.8926,110,113.745514
-983.8851,93,113.96431
-979.50665,213,114.262135
-1002.7726,231,114.943257
-980.02094,206,115.084966
-980.3648,96,115.432968
-985.88525,157,115.668632
-959.3562,209,115.810856
-963.19336,233,115.909142
98.47339,197,115.942266
-983.0885,91,116.163058
-979.26025,99,116.418076
-983.41345,216,116.699005
-989.5068,76,116.961453
-979.05457,99,117.002019
-990.59705,157,117.482661
-968.90466,124,117.750285
-980.8637,197,118.353797
-985.2919,201,118.503477
-966.9416,128,118.606114
-971.31726,180,118.711848
-972.2364,162,118.750438
-979.13776,120,119.03736
-976.9229,178,119.249564
-972.9612,123,119.364062
-983.02795,93,119.600574
-981.7109,143,120.407312
-969.60693,132,120.471256
-977.87915,131,120.501029
-978.84436,100,120.918559
-965.0272,133,121.107019
-997.5531,162,121.172086
-973.7245,210,121.365434
-989.5754,74,121.43417
-982.2944,91,121.55248
-965.2297,211,121.927198
-995.72473,122,121.973929
-985.75446,89,122.449438
-984.4106,113,122.813884
-972.8692,114,122.980953
-976.5124,154,123.055502
-979.9852,98,123.249968
94.63485,187,123.323988
-980.4688,182,123.563919
-973.63605,120,123.643757
-991.0577,70,124.042165
-982.1916,93,124.196354
-991.7848,68,124.228988
-979.28375,102,145.725442
-984.5609,87,145.789323
-978.7026,166,145.982809
-973.15674,119,146.352163
-986.6613,155,146.936611
-966.43536,146,177.255137
-978.5476,179,177.463252
106.75671,187,177.652458
-976.4502,189,177.933313
-983.33496,185,177.963161
-969.3655,148,178.117472
-985.0982,86,178.286889
-990.5347,196,178.354897
-982.4702,91,178.634972
-983.2028,150,178.686569
-979.35803,103,179.354157
-987.8975,81,179.44856
-984.5902,87,179.466559
-979.50946,98,180.227675
-991.7319,68,180.518343
-984.0964,188,180.930268
-991.08984,203,180.973375
-982.82623,240,181.204217
-986.22534,164,182.04897
-993.0782,230,182.13238
-978.41003,103,182.47827
96.21492,194,182.528997
-982.81647,179,183.27845
-957.03516,207,183.403572
-988.1034,168,183.756841
-961.506,202,184.020199
-986.1571,83,184.443087
98.65358,185,184.905096
-976.42096,122,185.111274
-974.8071,214,185.206049
-967.2701,192,185.272471
-966.38617,221,185.6895
-982.4603,93,185.717522
-989.3786,77,185.953281
-991.3423,70,186.261884
-984.04425,87,186.42929
