policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,collision:boundary,True,False,29,-363.89861136124523,-18.518922333426207,5,0,2,0,7,2.0755504478664277,0.0,0.3708800371402542,0.0,1.535506551729439,0.572126044477294,0.7354733410222096,2.644539426351826,0,,False,head_on,24,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,63,96.01787111603392,-17.131053539134317,14,0,0,0,6,2.8346430180507065,0.0,0.0,0.0,0.688793466618515,0.6257873515276119,0.8865948009749096,2.4216995009871916,0,,False,head_on,28,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,66,70.62010490084909,-47.10435714585267,13,0,9,0,9,6.12516307770452,0.0,1.9290581696405993,0.0,2.186709000113139,0.6040299559705871,0.828659689768534,1.1515567115542231,0,,False,head_on,32,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,62,122.07259003425132,-9.0291404278082,9,0,0,0,4,1.303687841622909,0.0,0.0,0.0,0.5724190248388445,0.6231053007603584,0.6918066580614918,3.3747326617468443,0,,False,head_on,26,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,59,102.67317990796651,-32.1198487264264,9,0,0,0,7,3.9304818437475957,0.0,0.0,0.0,2.814214133305734,0.6570887292168098,0.7893738021746564,2.0509058702057317,0,,False,head_on,19,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,60,79.56737319782056,-15.212225019674436,4,0,5,0,10,1.2087754046336376,0.0,0.8091957998671824,0.0,1.4034848638257937,0.675316986738152,0.8577241376406389,1.682797464370966,0,,False,head_on,26,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,69,101.17340861643936,-16.24930354010818,11,0,0,0,8,2.122190376939151,0.0,0.0,0.0,1.2765469276131953,0.5781802675437446,0.7606568858580157,2.379258384371738,0,,False,head_on,28,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,61,38.991060043049046,-44.16261478509335,7,0,15,0,11,2.8763087943216927,0.0,3.127026026475,0.0,4.148353901753549,0.6596271889102696,0.8983426721457511,0.9100871510724144,0,,False,head_on,15,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,57,112.29869826448197,-8.181674075985638,7,0,0,0,2,1.466957832415072,0.0,0.0,0.0,0.20449617900689585,0.6720807709763685,0.8141102248274296,2.845701978004582,0,,False,head_on,20,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,63,66.42106441212236,-4.473803001025637,8,0,0,0,1,0.7992616747848778,0.0,0.0,0.0,0.1149906024089981,0.6600497351213312,0.9102443423362462,3.3473332248087213,0,,False,head_on,23,0.0,False,0.0,development,9
model,head_on,9.33910709037673,1.3293144757328503,188.10570753975367,,,,goal,False,False,57,111.55154717085446,-15.214613073589332,5,1,0,0,6,2.1729131473201297,0.00012089976281060283,0.0,0.0,0.9906876756730616,0.6801323388059051,0.8274034385237684,2.333182572552726,0,,False,crossing,9,0.0,False,0.0,development,10
model,head_on,9.201918994820689,1.3472959214865994,177.51607921353337,,,,goal,False,False,64,110.48419451310988,-11.137219682768757,8,0,0,0,3,1.9222840249644675,0.0,0.0,0.0,0.360425279821032,0.5966563963429792,0.7879502052749378,2.592167506561056,0,,False,head_on,25,0.0,False,0.0,development,11
model,head_on,7.0168699613170915,0.015575077797397752,189.9520951299898,,,,goal,False,False,58,53.46573152089686,-24.00151265229665,16,0,2,0,10,3.542873516074211,0.0,0.35575223713249204,0.0,1.151906820900517,0.6768822144168819,0.8480062620030544,2.428098822673922,0,,False,head_on,31,0.0,False,0.0,development,12
model,head_on,9.201228208159643,1.773234588430947,186.26632667244348,,,,goal,False,False,61,116.58530865778494,-4.766570600083192,9,0,0,0,0,0.962943555572362,0.0,0.0,0.0,0.0,0.6281219962310118,0.7816259028097577,3.373513210283445,0,,False,head_on,25,0.0,False,0.0,development,13
model,head_on,9.304144726251463,0.6644683462769254,189.27794679609093,,,,goal,False,False,62,80.62629026524297,-31.111739155043857,9,0,0,0,9,4.307456025473563,0.0,0.0,0.0,2.1755181842110476,0.648421593103876,0.8444439416919514,1.814344579277596,0,,False,head_on,21,0.0,False,0.0,development,14
model,head_on,9.20575260113067,0.849192777252975,173.08181901960162,,,,goal,False,False,60,48.33706259679643,-5.460935931442977,2,2,0,0,2,0.4732867269506602,0.22738794735958612,0.0,0.0,0.44279917635716814,0.6744528504706345,0.9811481376141225,2.5126588674096086,0,,False,crossing,9,1.0,True,0.0,development,15
model,head_on,9.426345612222729,1.6398199049458149,185.8333102281301,,,,collision:target,True,True,29,-312.5579456939766,-24.605675608269642,4,0,12,0,2,3.168389260359685,0.0,0.916332126040755,0.0,1.2496340257205518,0.6166243907664396,0.8042756183850499,1.8657111039022942,0,,False,head_on,12,0.0,False,0.0,development,16
model,head_on,9.209226660497963,0.05633275187814779,184.51465458980437,,,,goal,False,False,62,92.26017244307853,-10.294293290963989,8,0,0,0,2,1.7404703894767048,0.0,0.0,0.0,0.37310330290095534,0.6514455073989054,0.870506724118413,2.798416753169197,0,,False,head_on,23,0.0,False,0.0,development,17
model,head_on,9.20543525150859,1.0728865077879095,174.193266873849,,,,goal,False,False,59,73.24379276496656,-4.742922007528879,7,0,0,0,0,0.9581660621270461,0.0,0.0,0.0,0.0,0.6904519325326277,0.9302002784128741,3.4479433387915566,0,,False,head_on,21,0.0,False,0.0,development,18
model,head_on,4.159052935705747,0.14137351270705856,170.32558044002377,,,,collision:boundary,True,False,36,-468.82380904733606,-21.541126466738582,8,0,1,0,2,3.913801990270873,0.0,0.10613117840859301,0.0,0.39682986058373876,0.6343137071606679,0.8607278909774999,1.334227861899948,0,,False,head_on,23,0.0,False,0.0,development,19
model,crossing,9.325072549897683,2.455380360551736,268.8460486216667,starboard,,True,goal,False,False,69,86.84321122419483,-11.482251887574185,5,0,0,0,5,1.8289264918054433,0.0,0.0,0.0,0.5397923895860536,0.5770457190520514,0.8147762608926513,2.511430255427196,0,,False,crossing,10,0.0,False,0.0,development,20
model,crossing,9.20032035773287,0.3757033796243289,250.8363733912049,starboard,,True,collision:target,True,True,17,-335.4422667468302,-46.94672377740547,9,5,0,0,11,1.7924937215456482,2.1781678048694064,0.0,0.0,6.064877604811321,0.5780855256674694,0.7245239617850007,1.27490183847182,0,,False,crossing,11,0.0,False,0.0,development,21
model,crossing,9.40498678456392,1.4601377428364724,82.39726623201037,port,,True,collision:target,True,True,15,-339.7859884980075,-42.13774962466365,7,3,0,0,8,2.9005446713627245,1.8585548434224666,0.0,0.0,4.128934894772655,0.6374156148433013,0.8433012347603597,1.4532504410850697,0,,False,crossing,13,1.0,True,0.0,development,22
model,crossing,9.201731668071005,0.8128280920360667,70.71932239246014,port,,True,collision:target,True,True,20,-294.3062122101397,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6353633870268671,0.7539922326522477,1.135159039777557,0,,False,never,0,0.0,False,0.0,development,23
model,crossing,4.213321680937903,2.4658059993829493,249.48839528708197,starboard,,True,collision:target,True,True,18,-300.01016595865184,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6150811097420393,0.8251935545516064,1.6520797580942654,0,,False,never,0,0.0,False,0.0,development,24
model,crossing,9.22607796058857,0.011672841727625172,217.56740935493644,starboard,,True,goal,False,False,59,65.43581094427462,-49.78541515837513,9,14,0,0,14,3.851913053604565,1.5870365558132657,0.0,0.0,5.080581020390413,0.6685890514497658,0.9222050376743565,1.9523284015300022,0,,False,crossing,14,0.0,False,0.0,development,25
model,crossing,9.200341390483517,2.4529873854013067,93.3183488559975,port,,True,goal,False,False,57,61.81825313642973,-26.330977207338478,6,12,0,0,5,2.571369646670842,1.764110071121368,0.0,0.0,1.0823005787260094,0.6910047799710651,0.8964097816987338,2.1589940603282196,0,,False,crossing,12,1.0,True,0.0,development,26
model,crossing,7.422111459538887,0.17000430075675282,79.82436139105627,port,,True,collision:target,True,True,25,-359.73640053529186,-65.60597992931385,13,20,0,0,19,2.6407515549819647,6.122702263892728,0.0,0.0,4.939307450196467,0.5931923340575447,0.6785572442305904,1.556027549500228,0,,False,crossing,20,1.0,True,0.0,development,27
model,crossing,9.256154925577007,0.23622966892240083,151.61089879673176,port,,True,collision:target,True,True,17,-376.71049115006525,-84.72695786601432,10,9,0,0,15,6.175064715796676,2.4384148166316635,0.0,0.0,9.353385373443118,0.5750385976129353,0.8002632199804443,1.109821450257875,0,,False,crossing,15,1.0,True,0.0,development,28
model,crossing,9.217198206135693,1.5379687920128267,257.9345989647785,starboard,,True,collision:boundary,True,False,46,-417.0525135384717,-10.766008863042268,8,0,0,0,1,1.9971511774957964,0.0,0.0,0.0,0.19558011876401699,0.44368208884999133,0.7193143963175012,2.1185524189141303,0,,False,crossing,22,0.0,False,0.0,development,29
model,crossing,9.202204024537645,2.226126868249491,165.26412353887025,port,,True,collision:target,True,True,18,-301.1393837190993,-0.3369715811545585,0,0,0,0,1,0.0,0.0,0.0,0.0,0.07488257358990189,0.4804153736801415,0.5494589681135277,1.7565074581301867,0,,False,crossing,16,1.0,True,0.0,development,30
model,crossing,9.205552454429636,0.23366396928340888,123.49873427544586,port,,True,collision:target,True,True,22,-357.62891794081656,-67.45161097564187,10,17,0,0,13,6.122709832464761,3.748518863354108,0.0,0.0,4.143338273720442,0.5706362622562922,0.7204674890802577,1.3746815753213926,0,,False,crossing,17,1.0,True,0.0,development,31
model,crossing,9.200142654891936,1.624241388782099,169.30086923475568,port,,True,goal,False,False,58,127.59529402528622,-11.783851115920712,5,4,0,0,4,1.9233300628821024,0.024578435055800568,0.0,0.0,0.47593423358402015,0.6665825935762971,0.8601345664223674,2.499719883599115,0,,False,crossing,13,1.0,True,0.0,development,32
model,crossing,9.24656234395405,1.4394070464462696,116.28327931154196,port,,True,collision:target,True,True,20,-332.73433965757386,-37.8448630240209,9,7,0,0,7,4.05288043998289,1.7409249849262542,0.0,0.0,2.036783593493473,0.5382116568733615,0.598286571314017,1.4386876783671718,0,,False,crossing,16,1.0,True,0.0,development,33
