scenario,file,class,mode,slant_deg,width_m,w_eff_at_cpa_m,start,goal,panels,crossing_side,dcpa_m,tcpa_s,speed_ratio,ct_deg,spawn_range_m,dcpa_below_floor,crossing_escapable,run8_final,run8_best,run7,reference
58,scenarios/058_overtaking_basin.png,overtaking,basin,-1.97,9.21,9.21,"[3.56, 2.0]","[2.88, 22.0]",0,,1.07,21.85,0.5,-5.8,6.24,,,goal,goal,goal,goal
59,scenarios/059_overtaking_channel.png,overtaking,channel,,4.16,3.9,"[4.8, 1.45]","[4.8, 21.4]",0,,0.14,25.64,0.41,-9.7,8.65,,,goal,collision:target,goal,collision:target
60,scenarios/060_being_overtaken_basin.png,being_overtaken,basin,8.05,9.29,9.29,"[4.25, 8.83]","[6.11, 22.0]",0,,1.75,12.88,1.56,-9.4,4.63,False,,goal,goal,goal,goal
61,scenarios/061_being_overtaken_basin.png,being_overtaken,basin,6.33,9.26,9.26,"[3.47, 8.87]","[4.93, 22.0]",0,,2.05,14.06,1.57,-9.0,5.19,False,,goal,goal,goal,goal
62,scenarios/062_being_overtaken_basin.png,being_overtaken,basin,6.72,9.26,9.26,"[5.87, 8.85]","[7.42, 22.0]",0,,1.72,15.33,1.63,-7.3,5.82,False,,goal,goal,goal,goal
63,scenarios/063_being_overtaken_basin.png,being_overtaken,basin,-1.09,9.2,9.2,"[5.66, 8.9]","[5.41, 22.0]",2,,1.34,9.96,1.7,1.0,4.09,False,,collision:boundary,collision:target,collision:target,goal
64,scenarios/064_being_overtaken_basin.png,being_overtaken,basin,-12.4,9.42,9.42,"[6.01, 8.73]","[3.09, 22.0]",0,,1.36,11.74,1.71,-3.6,4.88,False,,goal,goal,goal,goal
65,scenarios/065_being_overtaken_basin.png,being_overtaken,basin,0.98,9.2,9.2,"[4.97, 8.9]","[5.2, 22.0]",0,,1.27,12.39,1.72,3.1,5.16,False,,goal,goal,goal,goal
66,scenarios/066_being_overtaken_basin.png,being_overtaken,basin,10.36,9.35,9.35,"[4.88, 8.78]","[7.29, 22.0]",0,,1.86,11.19,1.74,-9.5,5.17,False,,goal,goal,goal,goal
67,scenarios/067_being_overtaken_basin.png,being_overtaken,basin,-4.32,9.23,9.23,"[6.51, 8.88]","[5.52, 22.0]",0,,1.18,15.73,1.65,-1.7,5.85,False,,goal,goal,goal,goal
68,scenarios/068_being_overtaken_basin.png,being_overtaken,basin,4.47,9.23,9.23,"[5.53, 8.88]","[6.55, 22.0]",0,,1.2,11.71,1.81,-2.6,5.43,False,,goal,goal,goal,goal
69,scenarios/069_being_overtaken_basin.png,being_overtaken,basin,0.37,9.2,9.2,"[4.05, 8.9]","[4.14, 22.0]",0,,0.19,11.34,1.76,1.2,4.82,True,,collision:target,collision:target,goal,collision:target
70,scenarios/070_being_overtaken_basin.png,being_overtaken,basin,9.9,9.34,9.34,"[4.28, 8.8]","[6.59, 22.0]",0,,1.5,10.26,1.8,8.1,4.95,False,,goal,goal,goal,goal
71,scenarios/071_being_overtaken_basin.png,being_overtaken,basin,-1.17,9.2,9.2,"[5.77, 8.9]","[5.51, 22.0]",0,,1.4,13.84,1.68,-3.9,5.5,False,,goal,goal,goal,goal
72,scenarios/072_being_overtaken_basin.png,being_overtaken,basin,-4.06,9.22,9.22,"[4.72, 8.88]","[3.79, 22.0]",0,,0.32,12.92,1.74,-1.2,5.37,True,,goal,collision:target,goal,goal
73,scenarios/073_being_overtaken_basin.png,being_overtaken,basin,0.94,9.2,9.2,"[4.34, 8.9]","[4.55, 22.0]",0,,0.08,15.64,1.61,-2.0,5.32,True,,goal,goal,goal,goal
74,scenarios/074_being_overtaken_basin.png,being_overtaken,basin,8.58,9.3,9.3,"[4.01, 8.81]","[6.0, 22.0]",0,,1.91,12.59,1.63,-9.7,5.02,False,,goal,goal,goal,goal
75,scenarios/075_being_overtaken_basin.png,being_overtaken,basin,-2.03,9.21,9.21,"[5.19, 8.9]","[4.73, 22.0]",0,,1.78,10.03,1.88,-6.9,5.33,False,,goal,goal,goal,goal
76,scenarios/076_being_overtaken_basin.png,being_overtaken,basin,12.58,9.43,9.43,"[4.48, 8.73]","[7.44, 22.0]",0,,1.58,15.26,1.62,-4.2,5.56,False,,goal,goal,goal,goal
77,scenarios/077_being_overtaken_basin.png,being_overtaken,basin,2.56,9.21,9.21,"[3.03, 8.9]","[3.62, 22.0]",0,,1.74,9.99,1.67,-9.1,4.28,False,,goal,goal,goal,goal
78,scenarios/078_being_overtaken_basin.png,being_overtaken,basin,-1.97,9.21,9.21,"[3.33, 8.9]","[2.88, 22.0]",0,,1.46,9.9,1.74,-2.1,4.37,False,,goal,goal,goal,goal
79,scenarios/079_being_overtaken_basin.png,being_overtaken,basin,9.94,9.34,9.34,"[4.2, 8.8]","[6.51, 22.0]",1,,1.87,10.27,1.85,-9.2,5.38,False,,goal,goal,collision:target,goal
80,scenarios/080_null_basin.png,null,basin,8.05,9.29,9.29,"[3.28, 2.0]","[6.11, 22.0]",3,,5.76,117.05,0.92,-7.3,11.02,,,collision:obstacle,goal,goal,goal
81,scenarios/081_null_basin.png,null,basin,6.33,9.26,9.26,"[2.71, 2.0]","[4.93, 22.0]",0,,8.66,-71.6,1.11,-3.6,10.01,,,goal,goal,goal,goal
82,scenarios/082_null_basin.png,null,basin,6.72,9.26,9.26,"[5.07, 2.0]","[7.42, 22.0]",3,,2.91,-196.68,1.08,-3.4,11.35,,,collision:obstacle,collision:obstacle,goal,goal
83,scenarios/083_null_basin.png,null,basin,-1.09,9.2,9.2,"[5.79, 2.0]","[5.41, 22.0]",3,,8.14,-23.87,0.99,3.3,8.18,,,goal,goal,goal,goal
84,scenarios/084_null_basin.png,null,basin,-12.4,9.42,9.42,"[7.49, 2.0]","[3.09, 22.0]",3,,0.9,-105.28,1.13,2.0,8.12,,,goal,goal,goal,goal
85,scenarios/085_null_basin.png,null,basin,0.98,9.2,9.2,"[4.85, 2.0]","[5.2, 22.0]",2,,9.6,48.81,0.96,-3.9,9.83,,,goal,goal,goal,goal
86,scenarios/086_null_basin.png,null,basin,10.36,9.35,9.35,"[3.64, 2.0]","[7.29, 22.0]",1,,9.22,52.87,0.87,-7.3,10.58,,,goal,goal,goal,goal
87,scenarios/087_null_basin.png,null,basin,-4.32,9.23,9.23,"[7.03, 2.0]","[5.52, 22.0]",3,,5.0,-83.32,1.14,0.3,8.14,,,goal,goal,goal,goal
88,scenarios/088_null_basin.png,null,basin,4.47,9.23,9.23,"[4.99, 2.0]","[6.55, 22.0]",3,,5.44,-99.42,1.12,1.8,9.0,,,goal,goal,goal,goal
89,scenarios/089_null_basin.png,null,basin,0.37,9.2,9.2,"[4.01, 2.0]","[4.14, 22.0]",2,,4.18,-165.66,1.07,0.7,8.11,,,goal,goal,goal,goal
90,scenarios/090_null_basin.png,null,basin,9.9,9.34,9.34,"[3.1, 2.0]","[6.59, 22.0]",2,,6.33,140.07,0.95,5.3,10.23,,,goal,goal,goal,goal
91,scenarios/091_null_basin.png,null,basin,-1.17,9.2,9.2,"[5.92, 2.0]","[5.51, 22.0]",1,,7.85,61.99,0.92,-4.2,8.7,,,goal,goal,goal,goal
92,scenarios/092_null_basin.png,null,basin,-4.06,9.22,9.22,"[5.21, 2.0]","[3.79, 22.0]",1,,2.43,127.62,0.92,-4.4,8.25,,,goal,goal,goal,goal
93,scenarios/093_null_basin.png,null,basin,0.94,9.2,9.2,"[4.23, 2.0]","[4.55, 22.0]",2,,12.74,-29.32,1.11,-7.6,13.07,,,goal,goal,goal,goal
94,scenarios/094_null_basin.png,null,basin,8.58,9.3,9.3,"[2.99, 2.0]","[6.0, 22.0]",1,,9.73,41.02,1.02,-9.8,10.51,,,goal,goal,goal,goal
95,scenarios/095_null_basin.png,null,basin,-2.03,9.21,9.21,"[5.44, 2.0]","[4.73, 22.0]",0,,1.18,155.44,0.91,2.4,8.23,,,goal,goal,goal,goal
96,scenarios/096_null_basin.png,null,basin,12.58,9.43,9.43,"[2.98, 2.0]","[7.44, 22.0]",0,,3.47,135.95,0.91,5.4,10.33,,,goal,goal,goal,goal
97,scenarios/097_null_basin.png,null,basin,2.56,9.21,9.21,"[2.72, 2.0]","[3.62, 22.0]",0,,5.13,180.58,0.96,-4.3,9.68,,,goal,goal,goal,goal
98,scenarios/098_null_basin.png,null,basin,-1.97,9.21,9.21,"[3.56, 2.0]","[2.88, 22.0]",3,,0.6,-140.03,1.1,1.9,8.16,,,goal,goal,goal,goal
99,scenarios/099_null_basin.png,null,basin,9.94,9.34,9.34,"[3.01, 2.0]","[6.51, 22.0]",0,,10.55,32.99,1.02,3.0,10.6,,,goal,goal,goal,goal
100,scenarios/100_no_target_basin.png,no_target,basin,8.05,9.29,9.29,"[3.28, 2.0]","[6.11, 22.0]",2,,,,,,,,,goal,goal,goal,goal
101,scenarios/101_no_target_basin.png,no_target,basin,6.33,9.26,9.26,"[2.71, 2.0]","[4.93, 22.0]",1,,,,,,,,,goal,goal,goal,goal
102,scenarios/102_no_target_basin.png,no_target,basin,6.72,9.26,9.26,"[5.07, 2.0]","[7.42, 22.0]",0,,,,,,,,,goal,goal,goal,goal
103,scenarios/103_no_target_basin.png,no_target,basin,-1.09,9.2,9.2,"[5.79, 2.0]","[5.41, 22.0]",3,,,,,,,,,goal,goal,goal,goal
