label,score,goal,collision,target_coll,goal_being_overtaken,goal_crossing,goal_head_on,goal_no_target,goal_null,goal_overtaking,CLASSICAL_KVO_TAU_S,CLASSICAL_KVO_HARD_GAP_M,CLASSICAL_KVO_SIDE_FREE_DCPA_M,CLASSICAL_KVO_STAND_ON_RELEASE_S,CLASSICAL_KVO_W_CHANGE
defaults (120 episodes),0.525,0.842,0.158,0.108,0.95,0.4,1.0,0.95,0.95,0.8,20.0,0.2,2.5,12.0,0.3
tuned (120 episodes),0.575,0.858,0.142,0.108,0.95,0.4,1.0,1.0,0.95,0.85,20.0,0.2,2.5,12.0,0.8
