idx,policy,side,width,dcpa,tcpa,k,ct,range0,hit,label_escapable,kind,min_range
0,follower,starboard,4.667290875464451,1.7227470900651785,9.121835818741072,0.9707307221009465,236.13301209616918,9.02070214925684,False,True,,1.7523196933777152
0,stop,starboard,4.667290875464451,1.7227470900651785,9.121835818741072,0.9707307221009465,236.13301209616918,9.02070214925684,False,True,,2.65338060133804
0,slow,starboard,4.667290875464451,1.7227470900651785,9.121835818741072,0.9707307221009465,236.13301209616918,9.02070214925684,False,True,,2.364330455644143
0,turn30,starboard,4.667290875464451,1.7227470900651785,9.121835818741072,0.9707307221009465,236.13301209616918,9.02070214925684,False,True,boundary,3.045641460976415
0,turn60,starboard,4.667290875464451,1.7227470900651785,9.121835818741072,0.9707307221009465,236.13301209616918,9.02070214925684,False,True,boundary,3.4636464643595337
1,follower,starboard,3.7739332766476075,1.173528774453069,11.284643498697545,0.8405594049692439,270.329950237396,8.288777125654697,True,True,target,1.354126164454928
1,stop,starboard,3.7739332766476075,1.173528774453069,11.284643498697545,0.8405594049692439,270.329950237396,8.288777125654697,False,True,,3.0044573270794217
1,slow,starboard,3.7739332766476075,1.173528774453069,11.284643498697545,0.8405594049692439,270.329950237396,8.288777125654697,False,True,,2.4489110051608343
1,turn30,starboard,3.7739332766476075,1.173528774453069,11.284643498697545,0.8405594049692439,270.329950237396,8.288777125654697,False,True,boundary,2.726202019755969
1,turn60,starboard,3.7739332766476075,1.173528774453069,11.284643498697545,0.8405594049692439,270.329950237396,8.288777125654697,False,True,boundary,3.486407728823004
2,follower,port,6.835819471068554,1.5587616535741629,11.975255248969773,0.7813639522810637,95.48905312983425,9.003949677606732,True,True,target,1.6550259832910288
2,stop,port,6.835819471068554,1.5587616535741629,11.975255248969773,0.7813639522810637,95.48905312983425,9.003949677606732,False,True,,3.469650523266089
2,slow,port,6.835819471068554,1.5587616535741629,11.975255248969773,0.7813639522810637,95.48905312983425,9.003949677606732,False,True,,2.876622028618134
2,turn30,port,6.835819471068554,1.5587616535741629,11.975255248969773,0.7813639522810637,95.48905312983425,9.003949677606732,False,True,,3.3145463911062656
