idx,policy,side,width,dcpa,tcpa,k,ct,range0,hit,kind,min_range
0,follower,starboard,9.556232149411287,0.23519249649824908,10.519763287472685,0.7612611574878048,258.40989345087365,8.066329557100255,True,target,1.6742849731898195
0,stop,starboard,9.556232149411287,0.23519249649824908,10.519763287472685,0.7612611574878048,258.40989345087365,8.066329557100255,True,target,1.342949597480475
0,slow,starboard,9.556232149411287,0.23519249649824908,10.519763287472685,0.7612611574878048,258.40989345087365,8.066329557100255,True,target,1.3416321284150312
0,turn30,starboard,9.556232149411287,0.23519249649824908,10.519763287472685,0.7612611574878048,258.40989345087365,8.066329557100255,True,target,1.3528552928379733
0,turn60,starboard,9.556232149411287,0.23519249649824908,10.519763287472685,0.7612611574878048,258.40989345087365,8.066329557100255,False,boundary,2.0217553492651743
1,follower,port,5.7479461611789,1.333675450454277,9.879377383027538,0.8953194603597838,114.37929260507168,8.890653527585068,True,target,1.40802968886557
1,stop,port,5.7479461611789,1.333675450454277,9.879377383027538,0.8953194603597838,114.37929260507168,8.890653527585068,False,,2.517570928806456
1,slow,port,5.7479461611789,1.333675450454277,9.879377383027538,0.8953194603597838,114.37929260507168,8.890653527585068,False,,2.148076182400621
1,turn30,port,5.7479461611789,1.333675450454277,9.879377383027538,0.8953194603597838,114.37929260507168,8.890653527585068,False,boundary,2.7726232338841896
1,turn60,port,5.7479461611789,1.333675450454277,9.879377383027538,0.8953194603597838,114.37929260507168,8.890653527585068,False,boundary,3.267292664580483
2,follower,starboard,7.111260720178818,1.9159006827859524,8.31365087617268,1.021768265514712,210.17026842970967,9.259338696053915,False,,1.898307418928029
2,stop,starboard,7.111260720178818,1.9159006827859524,8.31365087617268,1.021768265514712,210.17026842970967,9.259338696053915,False,,1.4469375249029153
2,slow,starboard,7.111260720178818,1.9159006827859524,8.31365087617268,1.021768265514712,210.17026842970967,9.259338696053915,False,,1.5923072506647873
2,turn30,starboard,7.111260720178818,1.9159006827859524,8.31365087617268,1.021768265514712,210.17026842970967,9.259338696053915,True,target,1.1684494801179364
2,turn60,starboard,7.111260720178818,1.9159006827859524,8.31365087617268,1.021768265514712,210.17026842970967,9.259338696053915,True,target,1.7774426697985743
3,follower,port,7.777153961253272,0.2905126269988878,13.32724589421877,0.6700194771986667,94.18057896264564,9.256106517690501,True,target,1.5956996726624102
3,stop,port,7.777153961253272,0.2905126269988878,13.32724589421877,0.6700194771986667,94.18057896264564,9.256106517690501,False,,1.981180317530164
3,slow,port,7.777153961253272,0.2905126269988878,13.32724589421877,0.6700194771986667,94.18057896264564,9.256106517690501,True,target,1.3093924601132625
3,turn30,port,7.777153961253272,0.2905126269988878,13.32724589421877,0.6700194771986667,94.18057896264564,9.256106517690501,False,,1.8633512386482787
3,turn60,port,7.777153961253272,0.2905126269988878,13.32724589421877,0.6700194771986667,94.18057896264564,9.256106517690501,False,boundary,2.90106782257025
4,follower,port,9.472351939506785,0.02908361676498966,13.53005959615351,0.6072866788078217,91.03611382454581,8.906578021226222,True,target,1.4270412141800333
