#{"t_start": 1776079631.6391613, "env_id": "None"}
r,l,t
-1365.2971,148,3.048226
487.73096,161,3.215189
-1401.7666,109,4.350322
-1369.0358,146,5.011285
-1291.5706,185,6.731894
-1292.1959,178,7.49238
480.89014,155,9.017686
-1284.6423,193,10.048244
-1393.2861,95,10.21116
-1400.5015,111,11.53678
483.84814,163,12.271976
-1404.8315,110,13.035861
-1496.7019,60,13.314848
-1398.9141,109,14.774679
487.09488,161,17.707674
-1406.8408,104,18.215489
-1278.9019,183,20.273449
-1278.8627,184,20.765363
-1401.4618,115,22.261125
-1405.4966,101,22.809682
-1497.6168,63,23.94325
-1457.8872,58,24.992708
-1277.2854,188,25.606796
-1431.0381,87,26.806702
-1333.2299,184,27.446288
-1492.9412,65,27.643859
-1287.7528,180,30.240174
486.64908,170,30.262039
-1297.1859,176,33.663381
-1301.0917,181,33.701818
-1509.0013,69,34.793216
480.27106,161,35.990239
-1398.4215,114,36.272745
-1399.4669,111,37.469788
-1283.5901,175,38.535824
-1402.7509,113,38.905872
-1502.0585,62,45.578219
-1395.8398,111,45.923414
-1423.1641,110,47.125416
-1429.9209,102,47.415509
-1433.8777,93,48.760753
492.97644,171,49.437935
484.43848,162,50.756257
489.33054,160,51.59275
488.74396,164,52.687358
-1501.6637,60,55.346555
-1285.1821,183,55.562118
-1418.8171,94,56.511547
-1336.8591,162,57.742864
-1425.8555,89,57.825756
-1507.7556,62,58.682227
474.85504,151,60.024312
-1283.2507,187,61.499809
-1290.2227,168,62.645333
482.64825,158,64.065804
-1290.1633,179,65.253953
-1431.128,89,66.503885
-1286.8477,184,66.523053
-1388.898,126,68.3002
-1325.4199,180,69.02272
-1424.8562,97,70.64571
-1415.5171,97,71.510993
490.47382,183,73.467676
491.172,167,73.8996
-1408.4149,97,74.680811
-1404.0118,106,75.381109
-1287.7245,171,76.875723
477.66522,149,77.148526
-1334.973,154,78.887226
-1281.786,182,78.979521
-1420.3512,95,80.552962
-1392.713,115,80.773644
-1417.9586,99,82.487818
-1391.8689,129,82.698367
-1403.0844,109,89.602448
