episode_id,obstacle_count,group,seed,success,obstacle_collision,border_collision,timeout,term_reason,rms_cte,mean_cte,mean_signed_cte,max_cte,std_cte,min_obstacle_clearance,min_border_clearance,min_lateral_border_clearance,min_front_clearance,path_completion_steps,path_completion_time_s,mean_speed,mean_rpm,control_effort,control_effort_deg2s,mean_abs_rudder_rate,mean_abs_rudder_rate_achieved,mean_abs_rudder_deg,rudder_saturation_fraction,mean_abs_course_error,ep_reward,reference_path_length,actual_path_length,path_efficiency,d_end
0,0,obs_0,675974,1,0,0,0,goal,1.309081795669458,1.1298910869721404,1.1298910869721404,2.0469613075256348,0.6610909765940601,nan,0.9887805929084705,2.2369043844020533,16.0,235,23.5,0.8168522467393504,11.920072468116562,7.071303444955468,11314.085511928752,10.010756488539213,7.845227235416579,19.130914779419594,0.13191489361702127,10.081363395987307,93.48595508094772,20.00204771143656,19.196027798374736,0.9597031301649697,1.941107124065467
1,0,obs_0,675975,1,0,0,0,goal,0.8118198164460002,0.7123208093400033,0.7123208093400033,1.223315715789795,0.3894232645279685,nan,0.9887942713553931,3.0379298049829933,16.0,221,22.1,0.8595959556301983,11.625641619264067,5.309160798140285,8494.657277024455,8.444448601115834,6.957467232195447,16.886280733266027,0.09954751131221719,7.20176114049034,101.83204162535205,20.0,18.997070619427383,0.9498535309713692,1.361492729505041
2,0,obs_0,675976,1,0,0,0,goal,0.8415918553256474,0.737885037261934,0.737885037261934,1.268662691116333,0.40472524351147143,nan,0.9887943347714807,2.982512343191658,16.0,222,22.200000000000003,0.8563633117343659,11.62196505468691,5.7141584677995985,9142.653548479357,8.727389870725606,7.096834326340515,17.51775478994524,0.1036036036036036,7.3112816386667125,101.38786402811002,20.0,19.011265520502924,0.9505632760251462,1.3937388229532925
3,0,obs_0,675977,1,0,0,0,goal,0.11059922279594642,0.09932339602395718,-0.08001269568536092,0.1805347353219986,0.07635546222916355,nan,0.9888041354721289,4.186625327814763,16.0,181,18.1,1.0350731295881672,12.013495139489516,0.049612729981827905,79.38036797092464,1.3080498741732705,0.7323628418625835,1.199952978126252,0.0,0.4470968601754803,105.2751122865102,20.0,18.734823645545827,0.9367411822772913,1.2747136601243425
4,0,obs_0,675978,1,0,0,0,goal,0.690055078080479,0.5906207805636239,-0.5906207805636239,1.0656760931015015,0.35685165594553653,nan,0.9889166774240792,3.0332212716937472,16.0,177,17.7,1.0630343656670667,12.429221655036939,0.6942851717787172,1110.8562748459474,5.030959675257856,2.89594157338984,5.079519913694953,0.0,3.8098791421596316,95.43848802656552,20.041642581602023,18.815708272307077,0.9388306470238952,1.639247315347232
5,0,obs_0,675979,1,0,0,0,goal,0.41040551991459484,0.3465454688753178,0.3447890202319947,0.6924932599067688,0.22260553071258146,nan,0.9887934190508496,3.8246760503229806,16.0,227,22.700000000000003,0.8326439721986778,11.615281188282049,5.033028734145654,8052.845974633047,12.190359883603795,8.464841037107076,16.67526135229329,0.0,6.722046528070582,112.25439439967775,20.0,18.901018168909985,0.9450509084454992,1.2892479659284466
6,0,obs_0,675980,1,0,0,0,goal,0.5471649947405577,0.479091760748747,-0.479091760748747,0.701715886592865,0.26431158932612064,nan,0.9888088093034701,3.154978360004875,16.0,186,18.6,1.013185533131226,12.166489714245882,1.9043838247396239,3047.0141195833976,6.47120872059384,4.995717272792458,9.090877250638059,0.0,2.802657536857916,98.64569330266735,20.0,18.845250916240808,0.9422625458120404,1.3619931180776996
7,0,obs_0,675981,1,0,0,0,goal,0.6709474404408375,0.5859642760284866,-0.5859642760284866,0.8554990291595459,0.32682768403628665,nan,0.9888102624538837,2.8024613017586932,16.0,189,18.900000000000002,0.9995351791348562,12.199420011986698,2.9931597988191383,4789.055678110621,8.069980620069707,5.995974049641235,11.138135413959544,0.0,3.52838602263615,97.02638535472678,20.0,18.891214885648782,0.9445607442824391,1.4112446899842204
8,0,obs_0,675982,1,0,0,0,goal,0.8088544784269452,0.7128904894860979,0.7128904894860979,1.1598109006881714,0.38214227359924136,nan,0.9887804564178151,3.1654956976587867,16.0,216,21.6,0.8794577236636555,11.652805524140907,4.757206063133863,7611.52970101418,9.012859505276346,7.0955642597010105,15.703510553748519,0.09259259259259259,6.777987858596237,100.64617136039502,20.001936554058293,18.99628683113496,0.9497223821200806,1.344934144807717
9,0,obs_0,675983,1,0,0,0,goal,1.0252093306429573,0.8848281590282127,-0.8848281590282127,1.4098490476608276,0.5178158945302131,nan,0.988819908898257,1.989013006198321,16.0,198,19.8,0.9540429122800348,12.270304073382055,5.016411773757768,8026.258838012428,9.589386530939091,7.199911102025172,14.81148457888401,0.1414141414141414,5.754838987716399,92.52881381432698,20.0,18.890049663144687,0.9445024831572344,1.71732512692239
10,0,obs_0,675984,1,0,0,0,goal,0.27266798338737785,0.2150316905835873,0.11305108593015248,0.7168876528739929,0.24812755013208962,nan,0.9886583628098558,3.6223397129509416,16.0,203,20.3,0.9342552634367741,11.549768787015028,2.834151416210102,4534.642265936162,8.288667579688648,6.4550879284111895,12.476368311590749,0.014778325123152709,4.477821643996867,105.3265250236126,20.09726849216328,18.965381847766515,0.9436795779069115,1.402200294314319
11,0,obs_0,675985,1,0,0,0,goal,0.6509941548076542,0.568371474819687,-0.5577214869502347,0.8662343621253967,0.33576797433309696,nan,0.988790957055925,2.77261280263733,16.0,191,19.1,0.9851459266927258,12.143779321203096,3.418198447802454,5469.117516483925,8.415517524669044,6.351143266489922,11.899287093684311,0.0,3.726536265028738,97.41874478439794,20.001228572786435,18.816287199831063,0.9407565705954885,1.4492795214464445
12,0,obs_0,675986,1,0,0,0,goal,1.2556905372924687,1.0791317801110587,1.0791317801110587,2.003610372543335,0.6420539904090516,nan,0.9887924047021784,2.2195880891015056,16.0,238,23.8,0.8059163575889368,11.880173622290096,7.619802700683429,12191.684321093484,10.397691062734097,8.116325764494267,19.867031005751183,0.14285714285714285,10.10486927119301,94.95627931153929,20.0,19.1808093106167,0.9590404655308349,1.8768255127809297
