rpm,rudder_deg,MASS,THRUST_COEF,DRAG_COEF,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,score_total,err_peak_abs_yaw_rate_degps,err_time_to_90deg_after_turn_s,err_time_to_180deg_after_turn_s,err_radius_first_90deg_m,err_radius_first_180deg_m,err_u_body_10s_after_turn_mps,motion_rpm_start_idx,motion_rpm_start_t_sec,motion_motion_start_idx,motion_motion_start_t_sec,motion_motion_lag_s,motion_u_body_at_2s_after_motion_mps,motion_u_body_at_5s_after_motion_mps,motion_u_body_at_10s_after_motion_mps,motion_distance_at_5s_after_motion_m,motion_distance_at_10s_after_motion_m,motion_initial_accel_0_2_after_motion_mps2,motion_initial_accel_0_5_after_motion_mps2,motion_peak_u_body_mps,motion_time_to_50pct_peak_u_after_motion_s,motion_time_to_90pct_peak_u_after_motion_s,motion_u_body_at_2s_after_rpm_mps,motion_u_body_at_5s_after_rpm_mps,motion_u_body_at_10s_after_rpm_mps,motion_distance_at_5s_after_rpm_m,motion_distance_at_10s_after_rpm_m,rudder_start_idx,rudder_start_t_sec,turn_start_idx,turn_start_t_sec,turn_lag_s,yaw_rate_at_2s_after_rudder_degps,yaw_rate_at_5s_after_rudder_degps,yaw_rate_at_10s_after_rudder_degps,u_body_2s_after_rudder_mps,u_body_5s_after_rudder_mps,u_body_10s_after_rudder_mps,time_to_30deg_after_rudder_s,time_to_60deg_after_rudder_s,time_to_90deg_after_rudder_s,time_to_180deg_after_rudder_s,peak_abs_yaw_rate_degps,yaw_rate_at_2s_after_turn_degps,yaw_rate_at_5s_after_turn_degps,yaw_rate_at_10s_after_turn_degps,u_body_2s_after_turn_mps,u_body_5s_after_turn_mps,u_body_10s_after_turn_mps,time_to_30deg_after_turn_s,time_to_60deg_after_turn_s,time_to_90deg_after_turn_s,time_to_180deg_after_turn_s,radius_first_90deg_m,radius_first_180deg_m,diameter_first_90deg_m,diameter_first_180deg_m
18.0,25.0,64.55,0.07,0.75,3.0,0.1,5.0,2.0506140770502013,0.4806202376015811,0.041214359540388726,0.3245586341096664,0.011337384563553356,0.11766869583472303,0.38543215892170907,0,0.0,1,0.1,0.1,0.5744427167947433,1.1994270911512601,0.6123723704609251,3.4002820523336093,8.089851727541614,0.26054655418312694,0.23839063567867189,1.2284203681721562,2.2,4.4,0.5491382373757379,1.1887821253450161,0.6068624231967518,3.2842489628686,8.028828435929537,0,0.0,19,1.9000000000000001,1.9000000000000001,1.207163970440153,9.974825350838865,8.716568107037906,0.5491382373757379,1.1887821253450161,0.6068624231967518,6.2,8.1,10.8,19.400000000000002,17.08503091098633,5.59827411887517,16.978796160508765,7.734242379590238,1.0015355740510048,1.0639837936668888,0.7873623918956536,4.4,6.199999999999999,9.0,17.6,6.687366086413631,4.69186825848361,13.374732172827262,9.38373651696722
18.0,25.0,64.55,0.07,0.75,5.0,0.1,5.0,2.0791988376805066,0.507754374170467,0.06252070710615779,0.21919601548730672,0.16250479498068227,0.13705012192673618,0.22904733749853753,0,0.0,1,0.1,0.1,0.5733572838825381,1.167101597141999,0.9083986272597352,3.365724020875838,8.524759447186934,0.2600706786366214,0.23311458485702902,1.188732438989862,2.1,4.300000000000001,0.5482283765523706,1.1583393414900953,0.9037526642138086,3.252824391325687,8.43643403785994,0,0.0,17,1.7000000000000002,1.7000000000000002,1.5265515367459228,11.078847501408559,10.647554078650103,0.5482283765523706,1.1583393414900953,0.9037526642138086,6.0,7.9,10.4,17.900000000000002,16.192451731771566,5.819162237839755,16.1723622030476,11.297425446474222,0.9488129058211318,1.1036591406266598,0.9877170457217997,4.3,6.3,8.8,16.200000000000003,5.664861747713406,4.773229665691448,11.329723495426812,9.546459331382897
18.0,25.0,64.55,0.07,0.75,4.0,0.1,5.0,2.096276895354196,0.4955305398394728,0.05186753332327326,0.2643514234683179,0.12877517119502377,0.1309371670502042,0.2808536899834871,0,0.0,1,0.1,0.1,0.5738967688314722,1.1798510087994571,0.7974444099172913,3.380950633228922,8.318067789159626,0.26030799728665277,0.23536871285994382,1.2024879737677645,2.2,4.300000000000001,0.5486815670150216,1.1705583138872113,0.7916972025974659,3.2667836793889338,8.240289196314668,0,0.0,18,1.8,1.8,1.3908640466730042,10.701116761367343,9.583492821465233,0.5486815670150216,1.1705583138872113,0.7916972025974659,6.1000000000000005,8.0,10.600000000000001,18.5,16.59455555351348,5.815226550167,16.57094504605826,9.881227446942564,0.9744011771282433,1.0777187742150947,0.9213445952265535,4.300000000000001,6.2,8.9,16.8,5.89301070236173,4.747568055003388,11.78602140472346,9.495136110006776
18.0,30.0,64.55,0.07,0.75,3.0,0.1,5.0,2.1210849377261503,0.49453449502150265,0.030561185757504196,0.3245586341096664,0.0658058857357491,0.1062881483773358,0.3790586480226776,0,0.0,1,0.1,0.1,0.5739166185773695,1.173741282948046,0.6454372628594359,3.378391856981087,7.95869414723252,0.26031849073775715,0.23479418053777767,1.1903138936603384,2.1,4.300000000000001,0.548700440783824,1.165359082830665,0.6396064876338429,3.2646917099924657,7.894795466208265,0,0.0,18,1.8,1.8,1.3677586195925837,10.722592402753342,8.688052152257667,0.548700440783824,1.165359082830665,0.6396064876338429,6.1000000000000005,8.0,10.8,19.3,16.627320512288854,5.838309958547731,16.597456733272306,8.235793890554305,0.9739846030006559,1.0299765328818615,0.7955279066701163,4.300000000000001,6.2,9.1,17.6,6.3189382710704525,4.644093788662208,12.637876542140905,9.288187577324416
18.0,30.0,64.55,0.07,0.75,5.0,0.1,5.0,2.134655419968902,0.5214250131907429,0.06252070710615779,0.21919601548730644,0.18284743426973946,0.11907423236116675,0.2446245723783651,0,0.0,1,0.1,0.1,0.5724651622938876,1.1371008686416346,0.9086057547374018,3.3358834761515967,8.380812611687471,0.25968307323970774,0.2284271658041852,1.1494304530206567,2.1,4.2,0.54748458385064,1.1303862130477642,0.9046291889056214,3.2257845082421253,8.292466806697393,0,0.0,16,1.6,1.6,1.7270404815084792,11.687022731793444,10.876755040353592,0.54748458385064,1.1303862130477642,0.9046291889056214,5.9,7.800000000000001,10.4,17.8,15.742755176103344,6.038935803463231,15.742755176103344,11.516808999038837,0.9203179406367575,1.071128844631095,0.9677600481467525,4.300000000000001,6.300000000000001,8.8,16.2,5.527263062412929,4.697768568869986,11.054526124825857,9.395537137739971
18.0,30.0,64.55,0.07,0.75,4.0,0.1,5.0,2.1538637980052004,0.5093363221026882,0.05186753332327307,0.2643514234683179,0.15369300233699953,0.11497842877924414,0.2894110196660574,0,0.0,1,0.1,0.1,0.5731865275321332,1.15141722803045,0.8118014248845286,3.3546166963276423,8.187002183571868,0.2599999342494739,0.2311421167507603,1.1638117324198691,2.1,4.2,0.5480901477804543,1.1443150710813406,0.8064769424503837,3.2430713694551505,8.107882906254542,0,0.0,17,1.7000000000000002,1.7000000000000002,1.5747507991887413,11.381651982449387,9.77334398137413,0.5480901477804543,1.1443150710813406,0.8064769424503837,5.9,7.9,10.5,18.400000000000002,16.140413452119002,6.047084202881031,16.140413452119002,10.26367780594883,0.9462961347065785,1.0459554921101932,0.9103812497392814,4.3,6.2,8.900000000000002,16.8,5.724465178009857,4.680574769946724,11.448930356019714,9.361149539893448
18.0,30.0,64.55,0.07,0.75,3.0,0.2,5.0,2.1723896089070274,0.2801407886987625,0.24362466141519548,0.08372979154427247,0.08657719128896246,0.42450446595466035,0.44489376847459844,0,0.0,1,0.1,0.1,0.5708073542643984,0.7162174045695726,0.5838060344937197,3.0564058000657894,5.134615222348217,0.2590504198902224,0.17653601907654276,0.9036927618752253,1.6,3.2,0.5462070528865224,0.7508165459199185,0.5685933466500246,2.982791305442724,5.079820493750297,0,0.0,13,1.3,1.3,2.934298976238401,22.877012063115654,7.847171981727261,0.5462070528865224,0.7508165459199185,0.5685933466500246,4.7,6.0,8.3,15.700000000000001,23.67981536255045,9.78642152807476,19.09768198491519,12.694541403065678,0.8304858157181486,0.2693227516402163,0.7111822991635247,3.4000000000000004,4.7,7.1000000000000005,14.4,6.178440064545495,2.415876224456493,12.35688012909099,4.831752448912986
18.0,35.0,64.55,0.07,0.75,3.0,0.1,5.0,2.177412373298133,0.5102373129077081,0.019908011974619663,0.33208453543983507,0.08592278107536652,0.11459332368189905,0.37551742507877633,0,0.0,1,0.1,0.1,0.573419456936534,1.1547392609322673,0.6763774994733885,3.3601106602954043,7.928948909409543,0.2601076811959573,0.23187705300706016,1.1659628347849793,2.1,4.2,0.5482906800124856,1.1477051190802643,0.6710234848587329,3.2481687679317406,7.862136072440038,0,0.0,17,1.7000000000000002,1.7000000000000002,1.4886056574317044,11.0745622701688,8.8163080696436,0.5482906800124856,1.1477051190802643,0.6710234848587329,6.0,7.9,10.8,19.3,16.110775301253835,5.8561545176806264,16.089183172807065,8.561357222363357,0.947977045732957,1.0260030380620875,0.8000647951647271,4.3,6.3,9.2,17.700000000000003,6.182866529752812,4.678958134901699,12.365733059505624,9.357916269803399
18.0,35.0,64.55,0.07,0.75,5.0,0.1,5.0,2.183829453994601,0.5369458426477594,0.05186753332327326,0.23424781814764378,0.18677462439718814,0.12183491126353371,0.25283412697175434,0,0.0,1,0.1,0.1,0.5716242498034363,1.115514042300774,0.9131429887513206,3.3110900044171827,8.322008221681376,0.2593256663788505,0.22466649444181916,1.1245085305280822,2.0,4.1000000000000005,0.5467901196119992,1.1098407723988934,0.9099501890598252,3.203051101276797,8.233175853743536,0,0.0,15,1.5,1.5,1.87801748570059,11.872241405424873,11.039332804689074,0.5467901196119992,1.1098407723988934,0.9099501890598252,5.800000000000001,7.800000000000001,10.4,17.900000000000002,15.232196486229215,6.031845080917404,15.232196486229215,11.536363317937328,0.8935261509512622,1.0616278112975792,0.9572422596960786,4.300000000000001,6.4,8.9,16.400000000000002,5.500699341217094,4.70935763972985,11.001398682434187,9.4187152794597
18.0,35.0,64.55,0.07,0.75,4.0,0.1,5.0,2.1959857275114656,0.5249606800628205,0.04121435954038854,0.2718773247984863,0.1610985684784829,0.11965009122559549,0.29452171716399794,0,0.0,1,0.1,0.1,0.5725165248589612,1.1308120173078378,0.8268823501454569,3.332751271347668,8.146019541664693,0.2597156439551232,0.2277460308174324,1.1393286443729176,2.0,4.1000000000000005,0.5475375241109087,1.124901813300132,0.8223471557043722,3.223146001579559,8.065391383457586,0,0.0,16,1.6,1.6,1.7132636093877025,11.644361362959303,9.97844086770229,0.5475375241109087,1.124901813300132,0.8223471557043722,5.9,7.9,10.600000000000001,18.400000000000002,15.626449185431998,6.050500140597635,15.626449185431998,10.422967971301006,0.9198655547679705,1.0401814912697311,0.9038336064405801,4.300000000000001,6.300000000000001,9.000000000000002,16.9,5.67437353795792,4.700185970321282,11.34874707591584,9.400371940642565
18.0,40.0,64.55,0.07,0.75,5.0,0.1,5.0,2.230303549482863,0.5544710149367575,0.041214359540388726,0.24929962080798085,0.18062940870763403,0.1425555183664133,0.25148373788873457,0,0.0,1,0.1,0.1,0.5709004439766863,1.1023624428238925,0.9244103861173835,3.2922642293195534,8.335236713066134,0.25903102786029053,0.22194950226685223,1.11173361732564,2.0,4.1000000000000005,0.5462025199738427,1.0968834774191725,0.9220068898389417,3.1855309551035886,8.245238347280074,0,0.0,15,1.5,1.5,1.9825643662320078,11.722333261323968,11.11569930000574,0.5462025199738427,1.0968834774191725,0.9220068898389417,5.800000000000001,7.9,10.5,18.0,14.655704809127226,6.1923742367113785,14.655704809127226,11.471225119146647,0.8883888956664457,1.0594994635979398,0.9589723300110672,4.300000000000001,6.4,9.0,16.6,5.542265904324044,4.79634080309912,11.084531808648087,9.59268160619824
18.0,40.0,64.55,0.07,0.75,3.0,0.1,5.0,2.2307046560227373,0.5282687355889555,0.009254838191734944,0.33961043677000347,0.09440712990841335,0.13938869820571914,0.3652424602380122,0,0.0,1,0.1,0.1,0.5729903450523763,1.1430150254472506,0.7081729450170663,3.346337249101023,7.981864553594345,0.25993340957641553,0.2297766403700886,1.1531259996137335,2.1,4.2,0.5479430306724942,1.136456159680779,0.7037617367887902,3.2355194045356934,7.91191103399565,0,0.0,17,1.7000000000000002,1.7000000000000002,1.5718979223161162,11.088662059770748,9.005407779390728,0.5479430306724942,1.136456159680779,0.7037617367887902,6.0,8.0,10.9,19.5,15.517630484721973,6.039833585245061,15.513894102420691,8.802224662676359,0.943806360444428,1.0251005143295309,0.8132287135361688,4.3,6.3,9.3,17.8,6.125477946665372,4.783046789365301,12.250955893330744,9.566093578730602
18.0,40.0,64.55,0.07,0.75,4.0,0.1,5.0,2.236080709463899,0.5427288537768923,0.030561185757504005,0.279403226128655,0.15843550792643238,0.14174189216228794,0.2910006371501876,0,0.0,1,0.1,0.1,0.5719393564330257,1.1183264543788631,0.845778948720309,3.3162802319167914,8.180135777110111,0.2594810671401817,0.22531012732782688,1.1265425903276807,2.0,4.1000000000000005,0.5470695507178416,1.1127210909669432,0.842196314873001,3.207897510884887,8.097573016372198,0,0.0,16,1.6,1.6,1.8090374639677573,11.565155424382782,10.14453220440261,0.5470695507178416,1.1127210909669432,0.842196314873001,5.9,7.9,10.600000000000001,18.6,15.04196396071925,6.221976632956842,15.04196396071925,10.488411375630918,0.915105880380956,1.0398703443841761,0.9083446885318028,4.300000000000001,6.4,9.100000000000001,17.0,5.692386620018262,4.7929252766773525,11.384773240036523,9.585850553354705
18.0,25.0,64.55,0.07,0.75,2.0,0.3,10.0,2.258204415628593,0.4030814212905494,0.019908011974619475,0.3621881407605092,0.08805656168529158,0.21126250471930114,0.5255959907102531,0,0.0,1,0.1,0.1,0.5723008984265431,0.9035634473596452,0.4376509836794634,3.204059381817785,5.6690553014179645,0.25965769801773597,0.20241777052064197,0.9780482545023149,1.7,3.4,0.5474024574758658,0.9244739568110432,0.4236963315939469,3.1133499710760093,5.62582232706845,0,0.0,15,1.5,1.5,2.1863281030732726,17.601164009130244,5.717670878241812,0.5474024574758658,0.9244739568110432,0.4236963315939469,5.2,6.800000000000001,10.700000000000001,19.6,19.635675293735773,8.088891251520483,16.875057012083868,8.080134913613694,0.8841981365394802,0.4043759768916366,0.6077894912690015,3.7,5.300000000000001,9.200000000000001,18.1,6.168433525142477,3.31104595858755,12.336867050284955,6.6220919171751
12.7,35.0,64.55,0.07,0.75,1.0,0.3,2.0,2.2712876591098645,0.04590746206172106,0.26493100898096467,0.24740986698314413,0.057028532448876096,0.19295311787646247,1.0,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31119069053343845,0.6203389465522694,0.0,1.8192474366361728,3.727436973970339,0.12904228976993895,0.11825872435825123,0.6293299519144261,2.1000000000000005,4.300000000000001,0.2734625562654575,0.6036526290067499,0.0,1.6443931859590952,3.6807050198333555,0,0.0,23,2.3000000000000003,2.3000000000000003,0.7640695255046247,8.295378239764242,28.479635649443438,0.2734625562654575,0.6036526290067499,0.0,6.6000000000000005,8.0,9.200000000000001,12.200000000000001,34.405193681089344,5.515217178572954,21.479319193964177,31.454796615439626,0.5439076549275699,0.38671217372367783,0.0,4.300000000000001,5.699999999999999,6.9,10.0,7.149796755640122,5.007905194520472,14.299593511280245,10.015810389040944
12.7,30.0,64.55,0.07,0.75,2.0,0.2,2.0,2.2826019731024756,0.26459939183925374,0.25427783519808,0.03668462973842444,0.007404370871912495,0.18957529360751796,0.9891387245047848,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3110978965559069,0.6170731617320679,0.0,1.8157678385137626,3.621661523966222,0.12900030305984483,0.11773824985011609,0.6255704609554961,2.1000000000000005,4.300000000000001,0.2734035526951727,0.6009655841986341,0.0,1.6418704853623667,3.594346492067086,0,0.0,22,2.2,2.2,0.8608094453954548,8.796937070273414,21.33393711424593,0.2734035526951727,0.6009655841986341,0.0,6.5,7.9,9.200000000000001,14.9,24.191050618461187,5.543179407529163,21.333847482264844,14.63294841008474,0.5325222994746304,0.43421481513275745,0.013915078663969436,4.3,5.7,7.000000000000001,12.8,6.713969198504876,3.402086834841505,13.427938397009752,6.80417366968301
14.0,35.0,64.55,0.07,0.75,2.0,0.2,2.0,2.288163565800248,0.18895732245810734,0.3181968778953874,0.16462495235129002,0.011484956176782647,0.04294861223584312,0.9667416900653064,0,0.0,3,0.30000000000000004,0.30000000000000004,0.37731659143499,0.6634370590526415,0.0,2.150210072856126,3.6039312868797806,0.15644783848426996,0.13302464423746055,0.6719091715302248,1.8,3.7,0.3318356297910364,0.6719091715302248,0.0,1.9587922260699724,3.583712322559156,0,0.0,18,1.8,1.8,1.3082805818799652,13.819347463228443,20.62498436193907,0.3318356297910364,0.6719091715302248,0.0,5.7,7.0,8.200000000000001,12.9,26.67930138814846,6.721460874421673,25.707437521224474,14.568379038010548,0.5858189624722391,0.2932725502334308,0.04260936012311035,3.9000000000000004,5.2,6.400000000000001,11.1,6.841737603143961,4.378200362249833,13.683475206287921,8.756400724499667
18.0,25.0,64.55,0.07,0.75,3.0,0.2,5.0,2.3011248537436684,0.24263255595781894,0.2862373565467339,0.0686779888839354,0.1815952310417173,0.4417680798583927,0.42620711898769104,0,0.0,1,0.1,0.1,0.5720765804539455,0.7657042258257735,0.5463246360231098,3.1156451004297985,5.041283986786299,0.25958311113603466,0.18630636153251529,0.9330577778263671,1.6,3.2,0.5472432542803464,0.8007880058190406,0.5279207713810684,3.037330665922126,4.990606597834047,0,0.0,14,1.4000000000000001,1.4000000000000001,2.603090880964736,23.15600116085545,6.299080618069193,0.5472432542803464,0.8007880058190406,0.5279207713810684,4.800000000000001,6.0,8.1,15.600000000000001,24.91365110700887,9.63804482689985,20.237289896364647,11.444825498308704,0.8581737101940927,0.21335591739088108,0.7351229677977834,3.4000000000000004,4.7,6.699999999999999,14.200000000000001,7.99237247627515,2.343405193995051,15.9847449525503,4.686810387990102
18.0,35.0,64.55,0.07,0.75,3.0,0.1,2.0,2.3231007899577505,0.1555606041071957,0.3821159205926949,0.02915872840825591,0.007906345788194626,0.6094313727636472,0.5827187564996463,0,0.0,1,0.1,0.1,0.5731353390498198,0.9128221657795605,0.26279802109775763,3.221873744523881,4.878552809711999,0.26001612474441804,0.20594168687786912,0.9929658102849663,1.7,3.5,0.5480931836907945,0.9363053888743763,0.24372409085730068,3.1309397298271056,4.856002972985941,0,0.0,15,1.5,1.5,2.1404054333148594,21.717350539376433,8.96682429785432,0.5480931836907945,0.9363053888743763,0.24372409085730068,5.0,6.2,7.300000000000001,14.4,27.77788860054957,9.021320287208393,27.267566578460436,8.347500291894661,0.8913025167478518,0.2618160548862166,0.5346058417231375,3.5,4.7,5.800000000000001,12.9,6.817531693690647,1.6395704305927379,13.635063387381294,3.2791408611854758
14.0,40.0,64.55,0.07,0.75,1.0,0.3,2.0,2.329142538289088,0.040889439457696165,0.328850051678272,0.30761707762449253,0.0006998097450885291,0.12718822496278007,1.0,0,0.0,3,0.30000000000000004,0.30000000000000004,0.37761202338000976,0.6818968229967183,0.0,2.1655662604315813,3.8754814983633374,0.1565802887718593,0.13553452497551297,0.6862748499468773,1.8,3.8000000000000007,0.3320149948883097,0.6857012465800357,0.0,1.9693629107032342,3.8303650294435854,0,0.0,20,2.0,2.0,1.1214035512492764,12.50290310664715,31.64683810650303,0.3320149948883097,0.6857012465800357,0.0,5.9,7.2,8.3,11.200000000000001,34.240125502641476,6.877291988320628,25.794620943408397,33.49001132070549,0.6126052907564755,0.21189355665848572,0.0,3.9000000000000004,5.2,6.300000000000001,9.200000000000001,6.759319203657055,4.731830348070707,13.51863840731411,9.463660696141414
18.0,25.0,64.55,0.07,0.75,4.0,0.1,2.0,2.3358210664085197,0.05757620136393548,0.41407544194134865,0.07431413638926723,0.1249067756476682,0.6246905663708023,0.468995845371746,0,0.0,1,0.1,0.1,0.5735403604814369,0.88895451702241,0.3961555278465504,3.216529014968047,4.810497869076111,0.2601907041328758,0.204659359489553,0.9907463285414954,1.7,3.4,0.5484303408390894,0.9171757284547213,0.3746692276424752,3.1277328288082056,4.775539150685985,0,0.0,15,1.5,1.5,2.1880160185191224,24.25840377567798,7.432784485688022,0.5484303408390894,0.9171757284547213,0.3746692276424752,4.9,6.0,7.0,13.8,31.001091872722792,9.448248654700487,29.723567778330658,9.405263825264539,0.8931714449667356,0.18370988812916997,0.6803035781388534,3.4000000000000004,4.5,5.5,12.3,5.919176733916184,1.575513768361541,11.838353467832368,3.151027536723082
18.0,40.0,64.55,0.07,0.75,3.0,0.1,2.0,2.361669726638942,0.19607620394780953,0.37146274680981034,0.0065810244177501795,0.03978708309836,0.5891377950564057,0.5679018687931312,0,0.0,1,0.1,0.1,0.5726812872743335,0.9010156188103328,0.2802040887756031,3.204104234854452,4.905032071383612,0.25983429572274,0.20318188994212494,0.9819528682156209,1.7,3.4,0.5477288220819737,0.9238005723165068,0.26078955519841657,3.114378976812098,4.880811884169971,0,0.0,15,1.5,1.5,2.2513908062646157,21.410620711853593,8.30858964597624,0.5477288220819737,0.9238005723165068,0.26078955519841657,5.0,6.2,7.4,14.700000000000001,26.445125320637555,9.304940139711112,25.788422688284548,8.175154675542519,0.8868353376823609,0.30361084709988884,0.5535887096268371,3.5,4.7,5.9,13.200000000000001,6.494930824697611,1.724760964648598,12.989861649395221,3.449521929297196
16.0,30.0,64.55,0.07,0.75,1.0,0.3,5.0,2.364027980278465,0.24028332189029455,0.3181968778953874,0.059262333728930174,0.008399173630652167,0.1455753196677277,1.0,0,0.0,2,0.2,0.2,0.4735967816152458,0.8482638752685563,0.0,2.722120714223634,4.790442873680826,0.20521063765203307,0.1725820690766977,0.8632516166330025,1.8,3.7,0.43376721510903204,0.8610820300940975,0.0,2.556317273555491,4.75212274446534,0,0.0,18,1.8,1.8,1.352847808542439,14.557646692706047,18.151875070415517,0.43376721510903204,0.8610820300940975,0.0,5.6000000000000005,7.0,8.200000000000001,14.200000000000001,24.99092931375965,7.039711788546676,24.903812184114113,12.842419537228764,0.7659058011742506,0.22994038136966,0.0,3.9000000000000004,5.2,6.400000000000001,12.5,6.707240300165244,3.586794594727388,13.414480600330489,7.173589189454776
