config_id,is_default,episodes,success_rate,obstacle_collision_rate,border_collision_rate,timeout_rate,mean_rms_cte,mean_rms_cte_success,mean_min_obstacle_clearance,mean_min_border_clearance,mean_control_effort,mean_abs_rudder_rate,mean_completion_time_s,param_delta_lookahead,param_w_lookahead,param_max_los_deg,param_k_rep,param_c_threshold,param_rep_power,param_rep_sigma_deg,param_max_rep_deg,param_k_headon,param_headon_deg,param_side_tie,param_default_side,param_kp,param_ki,param_kd,param_integral_limit,param_throttle_base,param_k_speed_obs,param_k_speed_head,param_min_throttle,param_bearing_mode
0,1,100,0.75,0.22,0.03,0.0,0.9439044502160984,1.0369853046426976,0.2534717660867791,0.9511408201343641,2.822596865638571,7.07503307414365,21.109333333333332,6.0,0.0,75.0,25.0,0.55,2.0,55.0,70.0,45.0,25.0,0.2,1.0,0.02,0.0008,0.01,200.0,1.0,1.2,0.8,-1.0,nominal
1,0,100,0.26,0.73,0.01,0.0,0.11015452417683601,0.1142584732316584,0.033272765558690076,0.9784131673048349,0.10322320379357192,1.030171735288865,18.315384615384616,12.991556909858476,0.26584277556957864,71.77774234067708,8.960276267783945,0.3437032348101755,2.56680122742609,57.02450270640469,39.01324951740749,8.478351582293277,29.744249356752352,0.03309003009096191,1.0,0.008346305509758293,0.0013932933800144495,0.020092034986492282,124.70207207366626,0.20432996635741432,1.2407230927656532,1.8904060141468364,,actual
2,0,100,0.93,0.06,0.01,0.0,1.376490919932283,1.3520140704379406,0.812185887944873,0.9526598732019488,7.160750956731896,9.460102169797366,27.165591397849468,4.765258980510277,0.5574387227836004,82.55541269829061,30.419975422289,0.5113596586570335,1.5158547312865251,69.62520504454642,74.78825147767992,76.77855197797653,28.107976464270877,0.7735612287655091,-1.0,0.032692948981493594,3.431986496891304e-05,0.01805864180150899,292.89583689804635,0.36691308584421545,2.273234865272543,0.32189186831856365,,actual
3,0,100,0.24,0.74,0.02,0.0,0.15360357582739795,0.27173561808273866,0.015093134889926422,0.967657857539255,0.24186676890701428,1.1861877474742388,16.708333333333332,5.228546412463171,0.14062235070910092,83.31119775028691,4.70419265083444,0.43946437892330803,3.320417788371116,77.15311924220134,37.79193661923841,20.351632003766547,36.53504300585489,0.3654064387055319,1.0,0.0041935031895395745,0.002392985540113822,0.013169513930271727,213.51095034210906,0.9065021573396818,2.155749447710197,0.4657030879190682,,nominal
4,0,100,0.26,0.74,0.0,0.0,0.07889803808630697,0.12038084232610127,0.033983871508705216,0.9885762127423042,0.057746822184853365,1.358684262580268,18.442307692307693,3.7496264266126507,0.2995313266713921,84.12107530299575,68.94233900153986,0.7767370586985108,1.3239494371738536,56.78553917990264,62.37535411798642,35.23706035184081,8.456775685677169,0.15323929039882386,-1.0,0.004638864121954812,0.00027845183890709693,0.012771953088577894,223.37312263837168,0.23328044358863068,2.0908160012013663,0.3915204115071471,,actual
5,0,100,0.38,0.62,0.0,0.0,0.19027930736617268,0.3259054055294606,0.058409155476337016,0.9886387855969343,0.31253858154835235,2.509415933090395,19.46842105263158,7.682920624346615,0.28704798982042756,63.751408773942785,35.1390201111262,0.46495730012385317,2.265886128711761,36.49575007924647,60.6334211837557,21.848450460462157,22.231477770731487,0.46693456162665864,-1.0,0.013979714751286815,0.00033503687129868265,0.028450810970031597,53.31030195135211,0.20227553758431105,1.3903040344942137,1.5782182271556913,,nominal
6,0,100,0.25,0.75,0.0,0.0,0.049588409856293064,0.049108935094155495,0.03891763830436464,0.9886757577998959,0.6212776341753825,3.655877133658261,17.708,13.21950054116638,0.0035443531853727173,63.112840762795045,53.364101529122706,0.7806950132283869,3.3511704109275127,57.05808874610072,76.90969195823553,16.437349314955334,31.33312884130597,0.6333003359025269,1.0,0.028873351260252516,9.748996663866716e-05,0.03598385583255122,89.1832306818691,0.410567229229718,1.945394983739452,1.4819467099554573,,nominal
7,0,100,0.25,0.75,0.0,0.0,0.06782209287770609,0.09685886956670804,0.034852551503545375,0.9889476232399196,0.17373623752034548,2.5039775269999365,17.232,3.9212777465668993,0.20965605711936883,80.8443776883346,57.95807938820427,0.7136241101416947,2.560244489635149,48.58560975106286,87.69456363807868,23.773044338247363,15.825356629188626,0.36850826033285383,-1.0,0.007217194328741102,0.0015789663211425505,0.001974646909320574,362.3347828887071,0.31555435530393355,0.35304631062022807,0.08978163063274103,,nominal
8,0,100,0.37,0.63,0.0,0.0,0.24526282913176187,0.41016194847657667,0.0679911609085456,0.9889038242942039,1.3145338775537965,5.2302990020923765,19.04864864864865,11.658515394517336,0.33029895292144434,60.92576352922954,33.65247559387609,0.4484329134389823,3.5191799070396064,47.15787712106149,67.83240006352047,19.054047818497075,38.04345478195232,0.6278923243300985,-1.0,0.024661387785718705,0.0015196970139830725,0.011024198032561511,397.40256581778397,0.4229132726757061,0.8297168253410497,1.0979912853197986,,actual
9,0,100,0.33,0.64,0.03,0.0,0.25102325044207247,0.4414251029519082,0.051025097266986286,0.9524316136806409,1.4441289006546862,3.9216676993965507,19.827272727272728,3.5431720548544257,0.29593646273469393,86.98684146513054,37.948011313904615,0.7266482901056389,1.5679123547272653,62.73224730333769,66.5220562468995,40.8125398300087,30.69319568949673,0.14131504103523418,1.0,0.013411856415354768,0.0027305375766920725,0.03131534029227995,136.55157438175257,0.7501125166262385,2.175002449023129,1.8326098068903425,,nominal
10,0,100,0.39,0.61,0.0,0.0,0.2464208591452416,0.3673093989069767,0.05782061106218552,0.9886410112287674,1.240681137300257,4.800182955824641,20.07948717948718,13.277905246529674,0.10444546196836309,81.91930176485874,4.9532035963953644,0.6616926338852986,1.3989976430461395,58.75897017904314,64.95479737518576,17.821708164905502,32.3382207605776,0.70380931107176,1.0,0.028628395482718977,0.002219361980314649,0.01106174614926502,59.257126674421926,0.329944503728953,1.8944783099008116,0.8382518036544149,,nominal
