src,case,side,mode,response,engaged,target_hit,other_hit,goal,min_range,dcpa,tcpa,ct,k
dev,0,starboard,basin,stand_on,True,False,False,True,2.4574192601541522,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,a17_30,True,False,False,True,2.9459230219705512,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,a17_60,True,False,False,True,2.9459230219705512,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,other_30,True,False,False,True,2.1027489116013776,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,other_60,True,False,False,True,2.1027489116013776,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,slow,True,False,False,True,2.7909928750833797,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,a17_60_slow,True,False,False,True,3.161247975580145,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,0,starboard,basin,other_60_slow,True,False,False,True,2.502537757392946,2.455380360551736,9.042169361535493,268.8460486216667,0.8310649016051618
dev,1,starboard,basin,stand_on,True,True,False,False,1.4474066954307028,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,a17_30,True,False,False,True,1.3314072170240165,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,a17_60,True,False,False,True,1.4335319510600821,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,other_30,True,True,False,False,1.2969062697115843,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,other_60,True,True,False,False,1.2132389142584603,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,slow,True,True,False,False,1.338001387264221,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,a17_60_slow,True,False,False,True,1.633515325828104,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,1,starboard,basin,other_60_slow,True,True,False,False,1.4666167350463288,0.3757033796243289,9.49896904568514,250.8363733912049,0.8123768112161558
dev,2,port,basin,stand_on,True,True,False,False,1.4791883584436905,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,a17_30,True,False,False,True,1.9859580952522478,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,a17_60,True,False,False,True,2.0057686521844094,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,other_30,True,True,False,False,1.3257089406361857,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,other_60,True,True,False,False,1.2846461257416846,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,slow,True,False,False,True,2.295111676416826,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,a17_60_slow,True,False,False,True,2.4747395861574377,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,2,port,basin,other_60_slow,True,False,False,True,2.291360025475748,1.4601377428364724,8.377208724734128,82.39726623201037,1.2036935096257158
dev,3,port,basin,stand_on,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,a17_30,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,a17_60,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,other_30,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,other_60,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,slow,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,a17_60_slow,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,3,port,basin,other_60_slow,False,True,False,False,1.3923856471774323,0.8128280920360667,10.13576215092496,70.71932239246014,0.6501444478913696
dev,4,starboard,channel,stand_on,False,False,False,True,2.509249648765573,2.4658059993829493,8.556858237844443,249.48839528708197,1.3425136869067356
dev,4,starboard,channel,a17_30,False,False,False,True,2.509249648765573,2.4658059993829493,8.556858237844443,249.48839528708197,1.3425136869067356
dev,4,starboard,channel,a17_60,False,False,False,True,2.509249648765573,2.4658059993829493,8.556858237844443,249.48839528708197,1.3425136869067356
dev,4,starboard,channel,other_30,False,False,False,True,2.509249648765573,2.4658059993829493,8.556858237844443,249.48839528708197,1.3425136869067356
dev,4,starboard,channel,other_60,False,False,False,True,2.509249648765573,2.4658059993829493,8.556858237844443,249.48839528708197,1.3425136869067356
dev,4,starboard,channel,slow,False,False,False,True,2.509249648765573,2.4658059993829493,8.556858237844443,249.48839528708197,1.3425136869067356
