scenario,outcome,k,dcpa_drawn,min_range,steps,max_u,engaged_steps,engaged_u,engaged_throttle,engaged_reward,engaged_col,engaged_pf,engaged_prog,engaged_exist,engaged_over_gate,engaged_v_hold_fires,engaged_v_hold_mean,other_steps,other_u,other_throttle,other_reward,other_col,other_pf,other_prog,other_exist,other_over_gate,other_v_hold_fires,other_v_hold_mean
60,goal,1.5589974052060438,1.7522968062198747,2.0830460686585153,43,0.6271250387225606,24,0.5638076220223981,-0.02166953372458617,-0.7834876311479185,-1.6943969141282207,-0.0402530882197174,1.5,-0.25,0.0,0.5,0.4183696084267212,19,0.5821622394903736,0.1287800197146441,6.269430383302135,-0.018806090469352145,-0.03785524486581147,1.5,-0.25,0.0,0.05263157894736842,0.004643479128235098
61,goal,1.574993333289581,2.045196520946249,2.065817119498959,45,0.599512056627584,24,0.5163039416779213,-0.05735670945917567,0.1742383791976655,-0.631353266665618,-0.24137826178315056,1.5,-0.25,0.0,0.5,0.1558896954729921,21,0.5595575753412565,0.10278916217031933,5.831630895665373,-7.699166278380068e-05,-0.07006571418495494,1.5,-0.25,0.0,0.047619047619047616,1.9010287107111278e-05
62,goal,1.6287319791986683,1.7168351782568199,1.872183477770058,42,0.6449064952868713,29,0.5606195187022942,-0.034363651840851224,-0.14316928977861007,-1.1320888790157129,-0.049172790811876345,1.5,-0.25,0.0,0.4827586206896552,0.27952811827548457,13,0.600724385174729,0.18890909248819718,8.64984187844155,-0.01368603535626478,-0.05249286980349225,1.5,-0.25,0.0,0.07692307692307693,0.00337926798920118
63,collision:obstacle,1.6952223049663313,1.3384111803369196,1.5261883067700033,51,0.5435621020423416,12,0.4192122749578118,-0.7275430376951894,-0.266483439561682,-0.49268114705505556,-0.7880797201946529,1.4949750893530516,-0.25,0.0,0.16666666666666666,0.12164966593951988,39,0.323735311829417,-0.5280359815328549,-9.402813746358124,-0.03786311496172709,-1.2266834817604573,1.2693136753638858,-0.25,0.0,0.02564102564102564,0.009348917274500516
64,goal,1.7103524912203836,1.3554472627926804,1.4215644281581437,49,0.5758293078884644,18,0.47778378328919363,-0.23404137852291265,-0.571049431831379,-1.2638117192952238,-0.44846376877685706,1.5,-0.25,0.0,0.3888888888888889,0.3120522763691911,31,0.5284245560350667,0.01720413661772205,3.8964424255109034,-0.07453647341599205,-0.2321653023879727,1.5,-0.25,0.0,0.03225806451612903,0.018404067510121497
65,goal,1.7202843180687097,1.26594027665971,1.7395295700713138,43,0.643124027223735,20,0.5241121342954143,-0.1397631922736764,0.09131722027157382,-0.6346623631512447,-0.21568688064418667,1.5,-0.25,0.0,0.45,0.15670675633364065,23,0.5856456051612821,0.1930703702180282,5.165080122748229,-0.0007747730278812752,-0.19785134834065943,1.5,-0.25,0.0,0.043478260869565216,0.00019130198219290747
66,goal,1.739775414084976,1.8649907102640115,1.9211849970957608,45,0.5720552732257084,18,0.5431515619905246,-0.02301719764040576,0.09432097346931682,-0.800588866508408,-0.08578330635944731,1.5,-0.25,0.0,0.3888888888888889,0.19767626333540936,27,0.5546708736369858,-0.024760556648726815,4.698850326818572,-0.022900817456931483,-0.05384844744979045,1.5,-0.25,0.0,0.037037037037037035,0.0056545228288719706
67,goal,1.6519851812383162,1.1780699883974688,1.797393370675204,42,0.6920017618973594,28,0.5603760551675635,-0.007268233623887811,-0.165471684590472,-1.0649488479553433,-0.09490418989399739,1.5,-0.25,0.0,0.6428571428571429,0.26295033282847985,14,0.6224597153534636,0.28882880934647154,7.828275034428811,-0.0007510620916458436,-0.26204467844450885,1.5,-0.25,0.21428571428571427,0.07142857142857142,0.00018544743003601075
68,goal,1.808466731938762,1.1978143228060183,1.545063688202734,45,0.5807971586813061,19,0.5149264016634972,-0.14940113829154716,-0.3496892617067382,-1.1984248648646638,-0.25423289201608684,1.5,-0.25,0.0,0.3684210526315789,0.2959073740406577,26,0.5486026523992867,0.017385883973195,4.5880514025267525,-0.028193211456304955,-0.21222691758252848,1.5,-0.25,0.0,0.038461538461538464,0.006961286779334557
69,collision:target,1.760018034004764,0.19086248924666288,1.8541559648455908,14,0.5734528637971666,12,0.5328660464930896,-0.03028612087170283,-25.790077159466083,-1.5574655721522435,-0.1182310438237796,1.5,-0.25,0.0,0.6666666666666666,0.3845594005314181,2,0.5691652234432479,-0.013073548674583435,-0.5360669903993934,-1.2847053339442325,-0.0013616564551609533,1.5,-0.25,0.0,0.5,0.3172111935664771
70,goal,1.8009547073915488,1.4967787552906244,1.582233850212536,46,0.5940051161422779,16,0.49989945472915465,-0.20081564132124186,-0.040186228667824064,-0.8740898909225793,-0.3392137742959518,1.5,-0.25,0.0,0.375,0.2158246644253282,30,0.5532634275348808,0.05546345822513103,4.203946756853273,-0.018176137321866646,-0.1854415746335203,1.5,-0.25,0.0,0.03333333333333333,0.004487935141201642
71,goal,1.6827260396779722,1.403376455442556,1.8451623754840896,45,0.6022567141413571,22,0.5134586220622421,-0.11674545535987074,0.12072172469949528,-0.7229026949893527,-0.2608503601658134,1.5,-0.25,0.0,0.5,0.1784944925899636,23,0.5651177623193943,0.09290001816723657,5.199121215349512,-0.054015556890410654,-0.181116758525339,1.5,-0.25,0.0,0.043478260869565216,0.013337174540842139
72,collision:target,1.7435718408007386,0.3248875190088812,1.819755658296346,16,0.5553398991388043,14,0.504213892467724,-0.01583455689251423,-22.076447229137436,-1.2945532380463949,-0.25759822849206326,1.5,-0.25,0.0,0.5714285714285714,0.31964277482627035,2,0.5477387678646727,-0.3342347741127014,0.03186606882215959,-0.6207841432922923,-0.0973497878855481,1.5,-0.25,0.0,0.5,0.1532800353808129
73,collision:target,1.6080635662841791,0.0815323362712651,1.8889310014737013,18,0.5767894230254835,16,0.5118215850167632,-0.1562854410149157,-19.19031980123866,-1.1550660938686077,-0.2593476663721711,1.5,-0.25,0.0,0.625,0.2852015046589155,2,0.5730566399572237,0.14366990141570568,0.5719457203469753,-0.19571050612557092,-0.0013271151136803883,1.5,-0.25,0.0,0.5,0.04832358175940023
74,goal,1.6250940949254407,1.9081779744704535,2.468820524066977,44,0.6276289835312767,21,0.5354513730095152,-0.06454292427571047,0.1529460366575197,-0.8854685802490045,-0.1541588451356622,1.5,-0.25,0.0,0.47619047619047616,0.2186342173454332,23,0.5912297547617977,0.10765641538993172,4.9786812760492944,-0.04248266331504964,-0.3435849681828076,1.5,-0.25,0.0,0.043478260869565216,0.010489546497543122
75,goal,1.8822634959606326,1.7811026599624644,1.9171275637850254,45,0.5699413023678567,16,0.5261569626768544,-0.09166365792043507,0.534493383216817,-0.24722702598939086,-0.18211145874224838,1.5,-0.25,0.0,0.3125,0.061043710120837244,29,0.5427358201912966,-0.0014160703867673874,4.3413958241300765,-8.804288677640186e-05,-0.11541688413476076,1.5,-0.25,0.0,0.034482758620689655,2.1738984389235023e-05
76,goal,1.619021115448451,1.581172144619873,1.8476516589213645,44,0.6484221075972249,26,0.5514247182112362,-0.04493130987080244,-0.6657261139080324,-1.5836680954895566,-0.07087794818597007,1.5,-0.25,0.0,0.5769230769230769,0.39102915938013744,18,0.6044447648448835,0.19892611499461862,6.27453662197858,-0.20955425389853402,-0.10004596246582872,1.5,-0.25,0.0,0.05555555555555555,0.05174179108605778
77,goal,1.6699191028135496,1.7425760355788675,2.0930832683567915,45,0.5938195041651223,15,0.5103195669536938,-0.13068924074371654,0.7750333394847507,-0.14016379124926887,-0.28058235517452096,1.5,-0.25,0.0,0.2,0.03460834351833798,30,0.5591728094895002,0.04468432329595089,3.873512499428742,-0.006777037425458345,-0.5047562710968198,1.5,-0.25,0.0,0.03333333333333333,0.0016733425741872455
78,goal,1.7435666805502583,1.4588206169932798,1.4011756625857137,45,0.5784676498823103,16,0.5000929393380966,-0.2740316055715084,-0.03224049538478527,-0.8284610681327198,-0.3366131681372986,1.5,-0.25,0.0,0.25,0.20455828842783208,29,0.5494385813425613,0.04800312259587748,4.135384829522381,-0.12452653949112281,-0.1417796294775094,1.5,-0.25,0.0,0.034482758620689655,0.03074729370151181
79,goal,1.8514550932697031,1.8722641319819475,1.624782852354034,50,0.6022308707120697,17,0.5017975542329217,-0.1685752432574244,-0.17472968665189334,-0.9992810449560227,-0.35628419204253214,1.5,-0.25,0.0,0.35294117647058826,0.2467360604829685,33,0.498684122959859,-0.005743046488725778,2.1270374013022755,-0.10741297004745103,-0.48416070544106454,1.5,-0.25,0.0,0.030303030303030304,0.02652172099937062
