scenario,outcome,k,dcpa_drawn,min_range,steps,max_u,engaged_steps,engaged_u,engaged_throttle,engaged_reward,engaged_col,engaged_pf,engaged_prog,engaged_exist,engaged_over_gate,engaged_v_hold_fires,engaged_v_hold_mean,other_steps,other_u,other_throttle,other_reward,other_col,other_pf,other_prog,other_exist,other_over_gate,other_v_hold_fires,other_v_hold_mean
60,goal,1.5589974052060438,1.7522968062198747,2.227828867581538,41,0.6869711695120434,24,0.5837476909028202,0.07239690842106938,-0.5035309034251155,-1.5007940187179998,-0.03155413497746333,1.5,-0.25,0.0,0.5,0.37056642437481474,17,0.6186398983572489,0.21555013067143805,6.551341081476788,-0.1643454841395453,-0.05872888762383764,1.5,-0.25,0.11764705882352941,0.058823529411764705,0.04057913188630748
61,goal,1.574993333289581,2.045196520946249,2.3810421657561025,42,0.7054305770652064,24,0.5540296502151362,0.08617298755173881,0.24009921513370505,-0.7457678912689151,-0.09814262814459122,1.5,-0.25,0.0,0.5416666666666666,0.18414022006639874,18,0.6142863524332025,0.2914795530959964,6.451649521847752,-0.01450182813331347,-0.09438587533415549,1.5,-0.25,0.16666666666666666,0.05555555555555555,0.0035806983045218437
62,goal,1.6287319791986683,1.7168351782568199,1.8630160598958951,42,0.6201967159296672,29,0.5726452016571437,-0.008047524422150234,-0.040711087225595445,-1.0986980761147433,-0.021838032349353234,1.5,-0.25,0.0,0.5172413793103449,0.27128347558388727,13,0.5817279835602452,0.12852447881148413,8.684980008523453,-0.021526857852524214,-0.011839993062850183,1.5,-0.25,0.0,0.07692307692307693,0.00531527354383314
63,goal,1.6952223049663313,1.3384111803369196,1.6334720412507004,48,0.7700141416160521,14,0.45471431375827287,-0.35358294578535215,-0.1288771732419871,-0.6214243792497297,-0.5964888812048658,1.5,-0.25,0.0,0.21428571428571427,0.15343811833326657,34,0.5287797442144896,-0.11162029524498127,0.8750924805161572,-0.0710088802745841,-0.5424532558013563,1.5,-0.25,0.11764705882352941,0.029411764705882353,0.017533056857922
64,goal,1.7103524912203836,1.3554472627926804,1.7621540518173422,41,0.6624591050210897,23,0.5966458675749233,0.14870447697846786,-0.3182631515199704,-1.2947833045380464,-0.036256396681575126,1.5,-0.25,0.0,0.4782608695652174,0.31969958136741883,18,0.6177844111490078,0.11424790943662326,5.946292867698863,-0.1765446470189866,-0.3902883222337466,1.5,-0.25,0.0,0.05555555555555555,0.043591270868885576
65,goal,1.7202843180687097,1.26594027665971,1.904096276988542,40,0.8404548497690387,24,0.5861485501719922,0.05179016338661313,-0.5016668432024187,-1.2488278098503673,-0.21957529367574122,1.5,-0.25,0.08333333333333333,0.5,0.30835254564206604,16,0.6584513695047184,0.09779885434545577,6.053649624465416,-0.6142120512611678,-0.4574776310840972,1.5,-0.25,0.4375,0.125,0.15165729660769575
66,goal,1.739775414084976,1.8649907102640115,2.055774613389306,40,0.7835551352778752,19,0.5617050473602774,0.029081348819952262,0.267962551982288,-0.6977565261760608,-0.016087233563874787,1.5,-0.25,0.0,0.42105263157894735,0.1722855620187804,21,0.6564892333086243,0.2777804397046566,5.1815209908798625,-0.031420385914582356,-0.44788145121478734,1.5,-0.25,0.47619047619047616,0.047619047619047616,0.0077581199789092245
67,goal,1.6519851812383162,1.1780699883974688,1.7384144941708355,41,0.6710830040300813,30,0.5826657252552401,0.0659319526826342,-0.14954010853653235,-1.1947548124488283,-0.08369282230733663,1.5,-0.25,0.0,0.6333333333333333,0.29500118825897,11,0.6171755184887068,0.22700157507576726,9.798928476309326,-0.12477436853458368,-0.14168710527189926,1.5,-0.25,0.09090909090909091,0.09090909090909091,0.030808486057921892
68,goal,1.808466731938762,1.1978143228060183,1.8411110458771986,40,0.6975587733911017,20,0.5837662736865282,0.09332084022462368,-0.2926845248159152,-1.2306910279925631,-0.032358668918496564,1.5,-0.25,0.0,0.4,0.3038743278993983,20,0.6241596308076751,0.09793552607297898,5.574968081049052,-0.04036645678649894,-0.31561060503068783,1.5,-0.25,0.2,0.05,0.009967026367036775
69,goal,1.760018034004764,0.19086248924666288,1.0511172402038926,37,0.7496574830712285,24,0.6310089482162822,0.1588513913253943,-0.1959472840534803,-1.1811255530097036,-0.11045311379538321,1.5,-0.25,0.08333333333333333,0.4583333333333333,0.2916359390147416,13,0.6817496270931068,0.3114764518462695,7.750144913020053,-0.23625595929498616,-0.5572687850751682,1.5,-0.25,0.6153846153846154,0.07692307692307693,0.05833480476419411
70,goal,1.8009547073915488,1.4967787552906244,1.9334143234519803,41,0.7059291131002079,17,0.5866454942265427,0.11562011686756331,-0.06440050330013385,-1.1151054261805333,-0.010873155462083091,1.5,-0.25,0.0,0.47058823529411764,0.2753346731309958,24,0.6249016852665737,0.16486255809043845,4.8359787304142055,-0.03163605347643095,-0.24794983536568785,1.5,-0.25,0.3333333333333333,0.041666666666666664,0.0078113712287483815
71,goal,1.6827260396779722,1.403376455442556,1.890420885746351,41,0.6814122088909534,27,0.5825072747055965,0.07081859751983925,-0.22735212017686907,-1.2564455224372355,-0.0364913121360236,1.5,-0.25,0.0,0.5555555555555556,0.31023346233018156,14,0.6211309248190858,0.2081394191565258,7.855361123298384,-0.025071542168003298,-0.20633239728123245,1.5,-0.25,0.21428571428571427,0.07142857142857142,0.0061905042390131585
