width,bend,has_bend,dcpa_drawn,offset_frac,spawn_off_centre,outcome,collided_target,steps,min_range,lat_at_min,snaps,first_snap_step,max_jump,max_dh,coll_within_3s_of_snap,frac_not_head_on_near,clamp,policy,idx
5.044964366615236,22.396864207356074,True,1.1610102603999974,0.13992918412351865,1.8675115443117916,goal,False,95,0.9560862517926783,0.9559572043035945,202,54.0,0.32083093034319365,7.995603524884132,False,0.9523809523809523,on,follower,0
4.999999999999998,-31.14206403956255,True,1.1532522249845545,-0.015742392875975175,0.4530804999395687,goal,False,93,0.9982769194210288,-0.9975689367740527,138,65.0,0.09165056205421228,6.997346270220191,False,0.9375,on,follower,1
5.0,8.138851896814414,False,1.0548264325212529,0.3,1.9191923453505302,goal,False,91,0.7943142259727087,-0.7519752458294546,190,53.0,0.7156486080394777,7.0166407658187495,False,0.8823529411764706,on,follower,2
4.999999999999999,30.305572616163474,True,0.03670725630003924,0.2069063688023984,1.243484512023715,collision:target,True,30,1.8531680477905785,-0.09753338433620584,0,,0.0,0.0,False,0.0,on,follower,3
4.415696545423335,-19.25205912183695,False,0.7870190103627532,0.202885344932914,0.204593198287048,collision:target,True,29,1.8270923183750332,-0.603205796149903,0,,0.0,0.0,False,0.17647058823529416,on,follower,4
5.032907986875176,38.869121074676514,True,1.1594090426277182,-0.20986959781168124,1.5602484607147946,goal,False,72,1.1843034677116953,1.1660821091877207,72,57.0,0.6259325429367603,0.12937069471863083,False,0.8333333333333334,on,follower,5
4.869448784480107,44.811705350875854,True,0.4570427385228544,-0.015184296403768172,2.132333492479263,collision:target,True,23,1.7916728327114857,0.016617117113549185,2,0.0,2.0987082240393407,41.488082050303746,True,1.0,on,follower,6
5.0366771833384725,33.02159070968628,True,0.8932258039252212,0.2402799145861965,2.3311329304691903,goal,False,68,1.0943842490140756,-1.0687743998024235,31,0.0,2.308236381769067,30.02340019012084,False,1.0,on,follower,7
4.659191839445868,22.09088059648826,True,0.5419955389240594,-0.07790998302950011,1.357491189928689,collision:target,True,28,1.9103202214931054,0.36347440581104384,0,,0.0,0.0,False,0.0625,on,follower,8
4.999999999999999,-4.9761759547219375,False,0.37413948972481004,0.2614786597960627,0.27780067760778837,collision:target,True,34,1.8277052925517354,-0.07816956403384798,0,,0.0,0.0,False,0.1578947368421053,on,follower,9
5.0,27.74596505443528,True,1.3472959214865994,0.1106670748556778,1.4386908199627622,goal,False,68,1.3424792081694121,-1.3400129515502905,40,60.0,0.7725785693576812,2.2122671512393595,False,0.8666666666666667,on,follower,10
4.968751119528688,-16.78141914067757,False,0.04001909622158317,-0.10071937986940316,0.9083117904456524,collision:target,True,27,1.895991054421478,0.3708459186388859,0,,0.0,0.0,False,0.125,on,follower,11
4.914547501044645,-41.82861685752869,True,1.1675514419324189,0.019123959235535268,1.737416984116433,collision:target,True,27,1.8631207522043216,0.05097649516191505,2,0.0,1.9275410673094504,36.028473420874775,True,1.0,on,follower,12
5.005537710139628,24.46288421027566,True,1.3391572103818132,0.3,0.3525620446318018,goal,False,85,0.7757847510469468,-0.7716121497820008,96,37.0,2.3144132183917208,6.214334879054746,False,0.8,on,follower,13
4.926702222628319,-9.245457058804845,False,1.3960193236397112,0.19971112737063357,0.2010431885509626,goal,False,84,1.1291295913377948,-1.1080530755454923,157,52.0,0.06112539107322461,5.818288518028766,False,0.875,on,follower,14
5.0,27.337535062502525,True,1.8290081990792668,0.11979964498546779,2.179815200492832,goal,False,68,1.8308285067193208,1.8225188160556078,48,58.0,1.9518894668072524,1.3039126609435812,False,1.0,on,follower,15
5.081094812806886,-12.579800621547006,False,0.014278637154533813,0.2429982697362038,2.155613237001119,collision:target,True,32,1.8668939192968683,0.21726979285218734,0,,0.0,0.0,False,0.0,on,follower,16
5.0,47.818204164505005,True,1.0531590099560793,-0.1248821710963407,2.428734295492583,collision:target,True,29,1.5645212635250463,0.10039573482649622,2,0.0,2.398077345125812,40.953449856856565,True,1.0,on,follower,17
4.714898798648277,-14.079746443687108,False,0.08594449996880371,0.12672654993158367,0.8810082058900985,collision:target,True,34,1.862718140280415,0.24358833055928394,0,,0.0,0.0,False,0.11111111111111116,on,follower,18
4.688847854912078,-33.02159070968628,True,1.3885356859153797,-0.055924567955791565,1.9587026880049843,collision:target,True,36,0.9641539504256217,-0.008821757018425618,2,0.0,1.9318212066649005,30.394090351356425,True,1.0,on,follower,19
6.053957239938283,3.595296311034113,False,1.1610102603999974,0.13992918412351865,2.7731019001431094,goal,False,90,0.90150467138566,-0.900328682514071,178,0.0,2.7674713223008838,4.940786197067212,False,0.6571428571428571,on,follower,20
6.0,-31.14206403956255,True,1.1532522249845545,-0.015742392875975175,0.4461029519771688,goal,False,67,1.068022666591015,-1.0664017296416988,8,65.0,0.09938468577683601,6.997944784382696,False,0.8857142857142857,on,follower,21
5.999999999999999,8.138851896814414,False,1.0548264325212529,0.3,1.7573114153058005,collision:target,True,37,0.7274173661270636,-0.7050557056363503,0,,0.0,0.0,False,0.9,on,follower,22
5.999999999999999,21.617038249969482,True,0.03670725630003924,0.2069063688023984,1.49479252952721,collision:target,True,24,1.8426532614588578,0.19307576617459005,0,,0.0,0.0,False,0.9090909090909091,on,follower,23
5.298835854508,-18.827308416366577,False,0.7870190103627532,0.202885344932914,0.16380063609331724,collision:target,True,28,1.8684302730690479,-0.6150848226615949,0,,0.0,0.0,False,0.1875,on,follower,24
6.039489584250211,27.27047324180603,True,1.1594090426277182,-0.20986959781168124,1.052135273839015,goal,False,69,1.1837189583515944,1.1687007869714217,57,57.0,0.5364895512142391,0.04681770039798039,False,0.7857142857142857,on,follower,25
5.843338541376127,30.133899450302124,True,0.4570427385228544,-0.015184296403768172,1.742994799140435,collision:target,True,33,1.1196210357539234,0.6751548344497941,0,,0.0,0.0,False,0.2272727272727273,on,follower,26
6.044012620006167,18.827308416366577,False,0.5317459855422795,0.2402799145861965,3.140124023646266,goal,False,67,0.9798652979217629,-0.9729660702308286,43,0.0,3.1189127960343868,21.80122215799318,False,1.0,on,follower,27
5.591030207335043,22.09088059648826,True,0.011739362685243115,-0.07790998302950011,2.5774471521499973,collision:target,True,24,1.545064384481362,-0.5004696303167417,1,0.0,2.5556957793693447,26.75281554511284,False,1.0,on,follower,28
6.0,-4.9761759547219375,False,0.37413948972481004,0.2614786597960627,0.4017462815837207,collision:target,True,36,1.8542900268291989,0.04290031759350532,0,,0.0,0.0,False,0.0,on,follower,29
5.9034460921538585,33.02159070968628,True,1.4743688155362717,0.2119228017218523,2.815302681397642,collision:target,True,40,0.7486115425668105,-0.7480350620596495,1,0.0,2.794067587451283,30.9928814327115,False,0.875,on,follower,30
6.0,21.617038249969482,True,1.3472959214865994,0.1106670748556778,1.3607572129586767,goal,False,87,1.2851340429862628,-1.2841008690946085,135,60.0,0.7283192483824377,2.1572898962897114,False,0.8974358974358975,on,follower,31
5.962501343434427,-16.78141914067757,False,0.04001909622158317,-0.10071937986940316,0.8574208062921163,collision:target,True,27,1.900139987024999,0.36592129527730405,0,,0.0,0.0,False,0.06666666666666665,on,follower,32
5.897457001253573,-30.133899450302124,True,0.8918293425608059,0.019123959235535268,2.0206855300626665,goal,False,68,0.9347346055413389,0.9345825235582899,71,53.0,2.3926503225192723,9.668746820575706,False,0.5652173913043479,on,follower,33
6.006645252167553,24.46288421027566,True,1.3391572103818132,0.3,0.5054445884933985,goal,False,85,1.5564014176966732,1.5506918414926796,96,48.0,2.7872257844252264,6.171890382306742,False,0.8157894736842105,on,follower,34
5.912042667153984,-9.245457058804845,False,1.3960193236397112,0.19971112737063357,0.08799434021598847,goal,False,69,1.1209633563917665,-1.1155900937359529,82,52.0,0.06112539107322461,5.753951205304929,False,0.8064516129032258,on,follower,35
5.999999999999998,27.337535062502525,True,1.8290081990792668,0.11979964498546779,2.238790417516167,goal,False,69,1.851502917063017,1.8383291854414197,53,58.0,2.0138608530323956,1.2934021635435329,False,1.0,on,follower,36
6.004268040872987,-35.9333860874176,True,1.2199365365344372,-0.013329980841127687,3.0036426239536964,goal,False,72,1.361605984901539,1.2948153723244245,112,0.0,2.9669938895754013,34.873821569498176,False,1.0,on,follower,37
6.0973137753682645,-12.579800621547006,False,0.6135191627434522,0.2429982697362038,2.7982214948936717,collision:target,True,28,1.77260038603315,-0.6006755927180829,1,0.0,2.7901718266462017,9.484492272839134,False,1.0,on,follower,38
5.999999999999999,35.9333860874176,True,0.14137351270705856,-0.1248821710963407,2.9053761038647314,goal,False,68,1.17230428558846,-1.1650814214572165,2,0.0,2.8807726259336146,37.429144507942226,False,1.0,on,follower,39
7.06295011326133,3.595296311034113,False,1.1610102603999974,0.13992918412351865,2.851247109430124,goal,False,67,1.1878104925056887,1.1507322637657496,62,54.0,0.45349960357277835,8.070727030726914,False,0.9230769230769231,on,follower,40
6.999999999999999,-24.43147301673889,True,0.5309420280403896,-0.015742392875975175,3.223193315854829,goal,False,69,1.6197479241654928,1.614123757842659,38,0.0,3.196533446122818,28.617962663067175,False,1.0,on,follower,41
6.999999999999998,8.138851896814414,False,1.0548264325212529,0.3,1.595081330863677,goal,False,71,1.0302719853852227,-1.0280251040255939,90,53.0,0.9680290773878252,6.782554724078068,False,1.0,on,follower,42
6.999999999999999,10.60754656791687,False,0.03670725630003924,0.2069063688023984,1.7772947214704737,collision:target,True,29,1.8178466148001533,-0.019310514117882815,0,,0.0,0.0,False,0.0,on,follower,43
6.181975163592668,-5.253220796585083,False,0.7870190103627532,0.202885344932914,1.3311735029671445,collision:target,True,29,1.7281402323907964,-0.701034845016458,0,,0.0,0.0,False,0.5882352941176471,on,follower,44
7.046071181625245,13.322453498840332,False,1.1594090426277182,-0.20986959781168124,0.3619683867951746,goal,False,65,1.1871834760771383,1.16702863616525,37,57.0,0.4470611072209887,0.035623346540916145,False,0.8148148148148149,on,follower,45
6.817228298272148,18.827308416366577,False,0.4570427385228544,-0.015184296403768172,1.3934809941736856,collision:target,True,24,1.7687735862461877,0.2987093951381515,0,,0.0,0.0,False,0.23076923076923073,on,follower,46
