policy,idx,width,bend,coll,engaged_frames,first_cls,first_sense,p_head_on,p_cross_stbd,p_cross_port_sense,ever_port_sense_crossing
follower,0,5.044964366615236,22.396864207356074,False,31,head_on,1,0.41935483870967744,0.41935483870967744,0.0,False
follower,1,4.999999999999998,-31.14206403956255,False,34,head_on,1,0.38235294117647056,0.17647058823529413,0.2647058823529412,True
follower,2,5.0,8.138851896814414,False,29,head_on,1,0.4827586206896552,0.034482758620689655,0.4827586206896552,True
follower,3,4.999999999999999,30.305572616163474,True,28,head_on,1,0.9285714285714286,0.0,0.0,False
follower,4,4.415696545423335,-19.25205912183695,True,27,head_on,1,0.8888888888888888,0.0,0.0,False
follower,5,5.032907986875176,38.869121074676514,False,27,head_on,1,0.5925925925925926,0.07407407407407407,0.0,False
follower,6,4.869448784480107,44.811705350875854,True,0,never,0,0.0,0.0,0.0,False
follower,7,5.0366771833384725,33.02159070968628,False,21,crossing,1,0.0,0.3333333333333333,0.14285714285714285,True
follower,8,4.659191839445868,22.09088059648826,True,26,head_on,1,0.9615384615384616,0.0,0.0,False
follower,9,4.999999999999999,-4.9761759547219375,True,29,head_on,1,0.896551724137931,0.0,0.0,False
follower,10,5.0,27.74596505443528,False,25,head_on,1,0.56,0.0,0.0,False
follower,11,4.968751119528688,-16.78141914067757,True,24,head_on,1,0.9166666666666666,0.0,0.0,False
follower,12,4.914547501044645,-41.82861685752869,True,0,never,0,0.0,0.0,0.0,False
follower,13,5.005537710139628,24.46288421027566,False,35,head_on,1,0.6,0.0,0.0,False
follower,14,4.926702222628319,-9.245457058804845,False,29,head_on,1,0.4827586206896552,0.0,0.06896551724137931,True
follower,15,5.0,27.337535062502525,False,22,head_on,1,0.3181818181818182,0.0,0.0,False
follower,16,5.081094812806886,-12.579800621547006,True,29,head_on,1,1.0,0.0,0.0,False
follower,17,5.0,47.818204164505005,True,0,never,0,0.0,0.0,0.0,False
follower,18,4.714898798648277,-14.079746443687108,True,31,head_on,1,0.9354838709677419,0.0,0.0,False
follower,19,4.688847854912078,-33.02159070968628,True,29,crossing,-1,0.0,0.0,0.41379310344827586,True
follower,20,6.053957239938283,3.595296311034113,False,32,head_on,1,0.75,0.0,0.0625,True
follower,21,6.0,-31.14206403956255,False,26,head_on,1,0.5384615384615384,0.38461538461538464,0.0,False
follower,22,5.999999999999999,8.138851896814414,True,28,head_on,1,0.35714285714285715,0.5,0.0,False
follower,23,5.999999999999999,21.617038249969482,True,22,head_on,1,0.5454545454545454,0.0,0.0,False
follower,24,5.298835854508,-18.827308416366577,True,24,head_on,1,0.875,0.041666666666666664,0.08333333333333333,True
follower,25,6.039489584250211,27.27047324180603,False,26,head_on,1,0.6538461538461539,0.11538461538461539,0.0,False
follower,26,5.843338541376127,30.133899450302124,True,28,head_on,1,0.8214285714285714,0.0,0.0,False
follower,27,6.044012620006167,18.827308416366577,False,3,overtaking,-1,0.0,0.0,0.0,False
follower,28,5.591030207335043,22.09088059648826,True,1,overtaking,-1,0.0,0.0,0.0,False
follower,29,6.0,-4.9761759547219375,True,29,head_on,1,1.0,0.0,0.0,False
follower,30,5.9034460921538585,33.02159070968628,True,22,crossing,1,0.09090909090909091,0.36363636363636365,0.045454545454545456,True
follower,31,6.0,21.617038249969482,False,32,head_on,1,0.4375,0.0625,0.0,False
follower,32,5.962501343434427,-16.78141914067757,True,25,head_on,1,0.96,0.0,0.0,False
follower,33,5.897457001253573,-30.133899450302124,False,22,head_on,1,0.7727272727272727,0.0,0.0,False
follower,34,6.006645252167553,24.46288421027566,False,35,head_on,1,0.6,0.0,0.0,False
follower,35,5.912042667153984,-9.245457058804845,False,27,head_on,1,0.6296296296296297,0.0,0.037037037037037035,True
follower,36,5.999999999999998,27.337535062502525,False,25,head_on,1,0.36,0.0,0.0,False
follower,37,6.004268040872987,-35.9333860874176,False,21,crossing,-1,0.0,0.0,0.5714285714285714,True
follower,38,6.0973137753682645,-12.579800621547006,True,17,crossing,-1,0.0,0.0,1.0,True
follower,39,5.999999999999999,35.9333860874176,False,0,never,0,0.0,0.0,0.0,False
follower,40,7.06295011326133,3.595296311034113,False,25,head_on,1,0.52,0.48,0.0,False
follower,41,6.999999999999999,-24.43147301673889,False,0,never,0,0.0,0.0,0.0,False
follower,42,6.999999999999998,8.138851896814414,False,11,crossing,-1,0.0,0.0,1.0,True
follower,43,6.999999999999999,10.60754656791687,True,22,head_on,1,1.0,0.0,0.0,False
follower,44,6.181975163592668,-5.253220796585083,True,27,head_on,1,0.6296296296296297,0.0,0.18518518518518517,True
follower,45,7.046071181625245,13.322453498840332,False,26,head_on,1,0.6538461538461539,0.038461538461538464,0.0,False
follower,46,6.817228298272148,18.827308416366577,True,22,head_on,1,0.6818181818181818,0.0,0.0,False
follower,47,7.05134805667386,5.253220796585083,False,30,head_on,1,0.4,0.13333333333333333,0.0,False
follower,48,6.522868575224217,13.322453498840332,True,0,never,0,0.0,0.0,0.0,False
follower,49,7.0,-4.9761759547219375,True,28,head_on,1,1.0,0.0,0.0,False
follower,50,6.887353774179502,21.617038249969482,True,29,head_on,1,0.5862068965517241,0.0,0.20689655172413793,True
follower,51,6.999999999999998,7.9177772998809814,False,25,head_on,1,0.56,0.0,0.0,False
follower,52,6.956251567340164,-13.322453498840332,True,20,head_on,1,0.95,0.0,0.0,False
follower,53,6.880366501462503,-16.062408685684204,False,24,head_on,1,0.7916666666666666,0.0,0.0,False
follower,54,7.007752794195478,21.617038249969482,False,29,head_on,1,0.7241379310344828,0.0,0.0,False
follower,55,6.897383111679649,-9.245457058804845,False,26,head_on,1,0.6538461538461539,0.0,0.0,False
follower,56,6.999999999999999,21.617038249969482,False,24,head_on,1,0.20833333333333334,0.08333333333333333,0.0,False
follower,57,7.004979381018484,-24.43147301673889,True,26,head_on,1,0.8846153846153846,0.0,0.0,False
follower,58,7.113532737929641,-12.579800621547006,False,30,head_on,1,0.7333333333333333,0.0,0.0,False
follower,59,6.999999999999999,21.617038249969482,True,23,head_on,1,0.4782608695652174,0.0,0.0,False
follower,60,8.071942986584375,3.595296311034113,False,19,crossing,1,0.0,0.6842105263157895,0.0,False
follower,61,7.999999999999998,-13.322453498840332,True,25,head_on,1,0.88,0.08,0.0,False
follower,62,7.999999999999998,0.0,False,31,head_on,1,0.4838709677419355,0.06451612903225806,0.12903225806451613,True
follower,63,7.999999999999998,0.0,True,23,head_on,1,1.0,0.0,0.0,False
follower,64,7.065114472677336,0.0,True,28,head_on,1,0.5714285714285714,0.0,0.21428571428571427,True
follower,65,8.052652779000283,0.0,False,22,head_on,1,0.7272727272727273,0.0,0.0,False
follower,66,7.7911180551681705,7.9177772998809814,True,21,head_on,1,1.0,0.0,0.0,False
follower,67,8.058683493341555,0.0,False,30,head_on,1,0.4666666666666667,0.0,0.0,False
follower,68,7.45470694311339,0.0,True,23,head_on,1,0.782608695652174,0.043478260869565216,0.08695652173913043,True
follower,69,8.0,-4.9761759547219375,False,26,head_on,1,0.6538461538461539,0.0,0.0,False
follower,70,7.871261456205144,10.60754656791687,False,26,head_on,1,0.38461538461538464,0.0,0.038461538461538464,True
follower,71,7.999999999999998,0.0,False,25,head_on,1,0.52,0.0,0.0,False
follower,72,7.950001791245903,0.0,True,19,head_on,1,1.0,0.0,0.0,False
follower,73,7.863276001671432,-5.253220796585083,False,27,head_on,1,0.5185185185185185,0.0,0.0,False
follower,74,8.008860336223405,10.60754656791687,False,29,head_on,1,0.7241379310344828,0.0,0.0,False
follower,75,7.882723556205311,0.0,False,23,head_on,1,0.391304347826087,0.0,0.0,False
follower,76,7.999999999999998,10.60754656791687,False,24,head_on,1,0.375,0.0,0.0,False
follower,77,8.005690721163983,-13.322453498840332,True,26,head_on,1,1.0,0.0,0.0,False
follower,78,8.129751700491019,-7.9177772998809814,False,30,head_on,1,0.7666666666666667,0.0,0.0,False
follower,79,7.999999999999998,10.60754656791687,True,23,head_on,1,0.8695652173913043,0.0,0.0,False
follower,80,10.089928733230472,0.0,False,15,crossing,1,0.0,1.0,0.0,False
follower,81,9.999999999999996,0.0,True,23,head_on,1,0.9130434782608695,0.0,0.0,False
follower,82,10.0,0.0,False,24,head_on,1,0.5,0.0,0.20833333333333334,True
follower,83,9.999999999999998,0.0,True,23,head_on,1,1.0,0.0,0.0,False
follower,84,8.83139309084667,0.0,False,24,head_on,1,0.5416666666666666,0.041666666666666664,0.3333333333333333,True
follower,85,10.065815973750352,0.0,False,26,head_on,1,0.6538461538461539,0.0,0.0,False
follower,86,9.738897568960214,0.0,True,22,head_on,1,1.0,0.0,0.0,False
follower,87,10.073354366676945,0.0,False,29,head_on,1,0.4482758620689655,0.0,0.0,False
follower,88,9.318383678891736,0.0,True,20,head_on,1,0.7,0.0,0.0,False
follower,89,9.999999999999998,0.0,True,19,head_on,1,0.8947368421052632,0.10526315789473684,0.0,False
follower,90,9.839076820256432,0.0,False,26,head_on,1,0.5,0.0,0.0,False
follower,91,10.0,0.0,False,24,head_on,1,0.5,0.041666666666666664,0.0,False
follower,92,9.937502239057377,0.0,True,20,head_on,1,1.0,0.0,0.0,False
follower,93,9.82909500208929,0.0,False,27,head_on,1,0.5185185185185185,0.0,0.0,False
follower,94,10.011075420279257,0.0,False,26,head_on,1,0.6923076923076923,0.0,0.0,False
follower,95,9.853404445256638,0.0,False,25,head_on,1,0.44,0.0,0.0,False
follower,96,10.0,0.0,False,24,head_on,1,0.375,0.0,0.0,False
follower,97,10.007113401454978,0.0,True,24,head_on,1,0.9583333333333334,0.0,0.0,False
follower,98,10.162189625613772,0.0,True,27,head_on,1,1.0,0.0,0.0,False
follower,99,10.0,0.0,True,19,head_on,1,0.7894736842105263,0.0,0.0,False
model,0,5.044964366615236,22.396864207356074,False,26,head_on,1,0.11538461538461539,0.8846153846153846,0.0,False
model,1,4.999999999999998,-31.14206403956255,False,25,crossing,-1,0.2,0.04,0.72,True
model,2,5.0,8.138851896814414,False,20,crossing,-1,0.0,0.0,0.8,True
model,3,4.999999999999999,30.305572616163474,True,29,head_on,1,0.896551724137931,0.034482758620689655,0.06896551724137931,True
model,4,4.415696545423335,-19.25205912183695,False,26,crossing,-1,0.15384615384615385,0.038461538461538464,0.8076923076923077,True
model,5,5.032907986875176,38.869121074676514,True,30,crossing,-1,0.26666666666666666,0.5333333333333333,0.2,True
model,6,4.869448784480107,44.811705350875854,False,0,never,0,0.0,0.0,0.0,False
