idx,width,bend,ct_drawn,spawn_ct_dev,first_cls,port_frames,ever_port,p_head_on
0,5.044964366615236,22.396864207356074,187.80749831200077,7.807497721285188,head_on,0,False,0.4444444444444444
1,4.999999999999998,-31.14206403956255,173.00562703699464,-6.994373780550092,head_on,12,True,0.5
2,5.0,8.138851896814414,172.39805249288162,-7.601947568739547,head_on,10,True,0.48
3,4.999999999999999,30.305572616163474,189.0432815749665,9.043281734576766,head_on,0,False,0.9130434782608695
4,4.415696545423335,-19.25205912183695,171.75048692996666,-8.249512859342133,head_on,4,True,0.6956521739130435
5,5.032907986875176,38.869121074676514,180.5422942339529,0.5422942467358496,head_on,0,False,0.5925925925925926
6,4.869448784480107,44.811705350875854,170.45725794523702,-9.54274223364314,never,0,False,0.0
7,5.0366771833384725,33.02159070968628,187.3937206818042,7.393720244699608,crossing,0,False,0.0
8,4.659191839445868,22.09088059648826,184.201752110887,4.201752238127739,head_on,0,False,0.9047619047619048
9,4.999999999999999,-4.9761759547219375,173.56843507373713,-6.431564908842859,head_on,0,False,1.0
10,5.0,27.74596505443528,177.51607921353337,-2.4839207192858623,head_on,0,False,0.56
11,4.968751119528688,-16.78141914067757,170.17254369953372,-9.827456029299412,head_on,0,False,1.0
12,4.914547501044645,-41.82861685752869,171.17949903889178,-8.820501375319054,never,0,False,0.0
13,5.005537710139628,24.46288421027566,173.57411699786974,-6.42588293401289,head_on,0,False,0.7241379310344828
14,4.926702222628319,-9.245457058804845,173.86069888618093,-6.13930087229221,head_on,0,False,0.4583333333333333
15,5.0,27.337535062502525,181.3548002648429,1.3548004259610593,head_on,0,False,0.3181818181818182
16,5.081094812806886,-12.579800621547006,179.25750168552975,-0.7424983688469808,head_on,0,False,1.0
17,5.0,47.818204164505005,186.59811516144126,6.598115280644038,never,0,False,0.0
18,4.714898798648277,-14.079746443687108,173.15690387846038,-6.843096091069469,head_on,0,False,1.0
19,4.688847854912078,-33.02159070968628,177.15468660648406,-2.845312980529201,crossing,18,True,0.0
20,6.053957239938283,3.595296311034113,187.80749831200077,7.80749829932239,head_on,1,True,0.9230769230769231
21,6.0,-31.14206403956255,173.00562703699464,-6.994373385252231,head_on,1,True,0.5384615384615384
22,5.999999999999999,8.138851896814414,172.39805249288162,-7.601947372317738,head_on,0,False,0.45454545454545453
23,5.999999999999999,21.617038249969482,189.0432815749665,9.04328181420459,head_on,0,False,0.5454545454545454
24,5.298835854508,-18.827308416366577,171.75048692996666,-8.249513400256234,head_on,6,True,0.6666666666666666
25,6.039489584250211,27.27047324180603,180.5422942339529,0.5422940380547345,head_on,0,False,0.6538461538461539
26,5.843338541376127,30.133899450302124,170.45725794523702,-9.542742308604574,head_on,0,False,1.0
27,6.044012620006167,18.827308416366577,176.0984339572553,-3.9015654528892867,head_on,2,True,0.375
28,5.591030207335043,22.09088059648826,174.76243130037605,-5.237568542518943,overtaking,1,True,0.0
29,6.0,-4.9761759547219375,173.56843507373713,-6.4315650292188025,head_on,0,False,1.0
30,5.9034460921538585,33.02159070968628,182.29424879404294,2.2942496779869828,crossing,3,True,0.0
31,6.0,21.617038249969482,177.51607921353337,-2.4839208285103496,head_on,0,False,0.56
32,5.962501343434427,-16.78141914067757,170.17254369953372,-9.827456302908928,head_on,0,False,0.95
33,5.897457001253573,-30.133899450302124,170.37226125942007,-9.627738751531211,head_on,0,False,0.7727272727272727
34,6.006645252167553,24.46288421027566,173.57411699786974,-6.425883013692129,head_on,0,False,0.7241379310344828
35,5.912042667153984,-9.245457058804845,173.86069888618093,-6.13930128351555,head_on,1,True,0.48148148148148145
36,5.999999999999998,27.337535062502525,181.3548002648429,1.3548005248645154,head_on,0,False,0.36
37,6.004268040872987,-35.9333860874176,176.37057215326624,-3.629427506144509,crossing,15,True,0.0
38,6.0973137753682645,-12.579800621547006,176.44713421793566,-3.5528654486410574,crossing,21,True,0.0
39,5.999999999999999,35.9333860874176,170.32558044002377,-9.674419152272066,never,0,False,0.0
40,7.06295011326133,3.595296311034113,187.80749831200077,7.807498359610889,head_on,0,False,0.52
41,6.999999999999999,-24.43147301673889,184.23391913967816,4.233919281171694,never,0,False,0.0
42,6.999999999999998,8.138851896814414,172.39805249288162,-7.601947542534447,crossing,11,True,0.0
43,6.999999999999999,10.60754656791687,189.0432815749665,9.043281531752797,head_on,0,False,1.0
44,6.181975163592668,-5.253220796585083,171.75048692996666,-8.24951308227574,head_on,3,True,0.68
45,7.046071181625245,13.322453498840332,180.5422942339529,0.5422944218966279,head_on,0,False,0.6538461538461539
46,6.817228298272148,18.827308416366577,170.45725794523702,-9.54274174555394,head_on,0,False,0.6818181818181818
47,7.05134805667386,5.253220796585083,178.30197630952188,-1.6980236799383874,head_on,0,False,0.43333333333333335
48,6.522868575224217,13.322453498840332,172.44223766238824,-7.557762537603679,never,0,False,0.0
49,7.0,-4.9761759547219375,173.56843507373713,-6.431564915649801,head_on,0,False,0.9090909090909091
50,6.887353774179502,21.617038249969482,175.65520657911895,-4.3447929296822,head_on,0,False,0.6551724137931034
51,6.999999999999998,7.9177772998809814,177.51607921353337,-2.4839208042865266,head_on,0,False,0.56
52,6.956251567340164,-13.322453498840332,170.17254369953372,-9.827455963332682,head_on,0,False,1.0
53,6.880366501462503,-16.062408685684204,170.37226125942007,-9.62773891185958,head_on,0,False,0.7916666666666666
54,7.007752794195478,21.617038249969482,173.57411699786974,-6.425883247802204,head_on,0,False,0.7241379310344828
55,6.897383111679649,-9.245457058804845,173.86069888618093,-6.13930126230423,head_on,0,False,0.46153846153846156
56,6.999999999999999,21.617038249969482,181.3548002648429,1.3548002648429076,head_on,0,False,0.20833333333333334
57,7.004979381018484,-24.43147301673889,174.13679390515736,-5.863206281498719,head_on,0,False,0.8846153846153846
58,7.113532737929641,-12.579800621547006,176.44713421793566,-3.5528656454275165,head_on,3,True,0.7333333333333333
59,6.999999999999999,21.617038249969482,170.32558044002377,-9.674420033575615,head_on,0,False,0.4782608695652174
60,8.071942986584375,3.595296311034113,187.80749831200077,7.807498333011921,crossing,0,False,0.0
61,7.999999999999998,-13.322453498840332,184.23391913967816,4.233919352236597,head_on,0,False,0.88
62,7.999999999999998,0.0,172.39805249288162,-7.601947489482626,head_on,0,False,0.5555555555555556
