#{"t_start": 1776077912.8369203, "env_id": "None"}
r,l,t
-1531.8574,50,6.42798
-1311.0911,170,11.798184
-1306.8425,197,14.432849
425.3602,153,16.922044
-1309.8231,191,19.607697
-1308.2219,187,21.206225
463.85992,147,22.81741
451.74823,130,24.409874
-1302.2245,177,29.917964
-1296.4738,179,32.248546
465.02502,148,34.940134
-1304.0005,166,38.248169
-1301.5247,179,44.093513
-1578.5428,29,45.041688
-1307.045,171,46.501103
-1343.3516,130,50.535007
-1405.3821,103,64.763789
-1538.1506,44,66.881892
-1431.0942,91,68.23008
-1333.8724,145,72.96047
-1309.8229,174,75.859877
-1350.3562,143,79.101676
-1308.0712,182,82.389396
471.62738,154,84.470482
-1319.5602,138,88.685894
458.75403,144,90.181213
-1357.6393,138,92.185076
-1355.9526,149,94.417111
463.33453,141,98.49568
480.36194,162,101.803827
-1346.2908,142,103.755926
473.51874,156,108.362629
464.07486,148,110.885854
462.7606,152,139.353682
-1404.2318,121,140.175021
-1490.0945,67,142.30516
468.8982,154,145.531359
-1340.3767,151,147.165942
465.39365,146,151.451583
455.47583,134,152.555133
462.94818,151,155.70595
-1372.6177,122,155.992465
-1556.5989,21,156.800513
-1484.5094,57,159.334975
