policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,collision:boundary,True,False,43,-521.7340449668525,-18.860692853653184,7,0,3,0,5,2.379020613495917,0.0,0.4411226092300587,0.0,1.2214443163600412,0.5151175399831093,0.6059911954291916,2.238410065209371,1.0872568387812278,0,,False,head_on,24,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,62,109.10692546735159,-21.031650721336142,8,0,2,0,5,3.481510218770527,0.0,0.22121732960984022,0.0,0.667065055961467,0.6449479815899316,0.7184784632115485,2.181171623764807,1.3588600421499686,0,,False,head_on,25,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,65,54.32651877634629,-44.21564213024675,15,0,8,0,6,7.0309685023386255,0.0,2.0884147802848148,0.0,0.42090107436560753,0.6174603962335833,0.7460864975845904,1.3033268916044956,1.2977276909309632,0,,False,head_on,31,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,60,120.20605936127711,-15.65482875214529,9,0,1,0,3,2.7582759217781243,0.0,0.06994212203938541,0.0,0.38879362222261904,0.6439549028028762,0.7391075457187757,3.020645495001137,0.7249869588336898,0,,False,head_on,24,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,58,122.20369805142786,-11.485854327059098,4,0,0,0,4,1.5521790228884795,0.0,0.0,0.0,0.8450151475024719,0.6653886699701504,0.7373106051653545,2.2604673908842066,0.8185399010930713,0,,False,head_on,17,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,63,82.83465294084942,-30.47596288518905,9,0,7,0,1,5.279375745784204,0.0,1.0339450818492395,0.0,0.13796681086666032,0.6375481730532514,0.7668488163298768,1.4700407527258381,1.3970399290000957,0,,False,head_on,23,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,65,100.03296929751377,-29.762308981804356,10,0,2,0,5,5.2845114336039485,0.0,0.0726266912573024,0.0,0.7427825104307815,0.6182695440359888,0.7263690559392976,2.4581058107434752,1.1371330966430444,0,,False,head_on,25,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,collision:target,True,True,25,-291.2260465481692,-6.695255637012129,2,0,1,0,5,0.0797664429424328,0.0,0.055146820542715067,0.0,1.3559740423318472,0.619229639889951,0.8294356267327343,1.0607844378092302,0.25188975827261423,0,,False,head_on,11,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,60,116.69449061197186,-20.631519237351355,9,0,0,0,2,3.7462986735950565,0.0,0.0,0.0,0.46385351179018297,0.636738554937566,0.6721030020161325,2.802063276926448,0.5515972807615264,0,,False,head_on,20,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,63,69.17811869747514,-13.048355131185609,7,0,2,0,4,1.5326259581918196,0.0,0.06560645852734628,0.0,1.161260752763923,0.6386921383596577,0.7533579537645378,2.791671584515161,2.032506875700471,0,,False,head_on,21,0.0,False,0.0,development,9
model,head_on,9.33910709037673,1.3293144757328503,188.10570753975367,,,,goal,False,False,61,129.85330884653146,-13.50983507427392,5,0,0,0,4,2.188584644882397,0.0,0.0,0.0,0.5947424626902338,0.6367534645334927,0.7657062285506149,1.8850154339306453,0.3468264426261212,0,,False,crossing,12,0.0,False,0.0,development,10
model,head_on,9.201918994820689,1.3472959214865994,177.51607921353337,,,,goal,False,False,61,122.43668295370856,-17.680926183824592,8,0,1,0,5,2.709418563702124,0.0,0.23628002033635334,0.0,0.7597102711751573,0.6259550678179745,0.7073888458903567,2.4894523570070937,0.6671158510682977,0,,False,head_on,23,0.0,False,0.0,development,11
