#{"t_start": 1776078719.0952747, "env_id": "None"}
r,l,t
-1422.9735,41,1.410986
-1321.4114,115,3.999068
438.28143,154,5.856279
-1231.5176,172,7.586672
436.06378,144,8.554124
-1368.5863,67,11.255386
-1206.6826,172,12.955539
425.31335,134,15.685549
-1204.2422,170,18.696497
-1201.7284,177,21.730786
-1231.4817,142,24.032067
-1333.8928,92,25.894449
-1371.1892,68,27.417552
-1476.9808,35,27.693413
-1332.6614,85,31.366218
-1298.7665,128,33.609876
-1245.2518,142,39.855605
436.12036,149,41.853462
-1282.0981,116,43.926092
-1215.3185,169,46.806372
437.9186,150,49.972902
428.01794,135,55.357373
-1320.6895,88,55.719241
-1383.6263,58,60.097277
-1245.6299,161,68.462092
441.4657,150,71.294101
-1353.0869,81,73.195428
436.852,144,78.770158
-1195.793,184,78.854443
-1368.152,75,82.85957
-1275.9258,142,85.588928
-1451.9778,24,86.631429
446.12814,156,89.522844
-1342.177,95,93.42722
-1310.4346,102,97.579087
438.8142,166,98.339841
-1269.7386,132,100.209638
434.18225,141,101.640951
-1216.0095,164,105.077114
-1249.314,150,106.278851
-1451.7866,45,119.226218
444.56747,155,122.766061
-1258.6941,166,123.641348
-1450.697,34,123.991796
-1228.0778,164,129.41538
-1190.2412,191,130.287528
434.35364,143,132.656485
-1202.8674,181,134.753171
-1341.9565,85,136.170616
431.15118,148,139.572463
-1287.7258,138,139.656278
-1244.5365,188,143.721058
-1222.9556,197,143.852946
433.88535,140,146.178883
442.70813,150,146.537093
431.28357,140,149.743048
-1204.8462,202,152.159611
-1216.1415,179,156.05986
-1325.2837,108,156.357294
427.19812,149,160.924216
-1216.9464,188,162.386824
-1219.9547,167,168.293504
-1441.8424,22,169.101807
-1241.9038,186,170.251372
-1305.5133,81,172.566352
-1459.8567,29,173.575407
-1211.3374,200,174.360357
450.83972,164,176.548861
-1206.6832,215,178.643078
418.83658,133,179.391841
-1283.3845,97,180.656413
414.62396,137,182.494817
-1225.4027,161,184.368829
437.8644,162,189.158546
446.35895,157,199.942928
-1463.53,30,200.544078
