cls,width,dcpa,tcpa,clamped,clamped_before_cpa,first_clamp_s,jump_m,turn_deg,target_collision
head_on,9.556232149411287,0.7589141160070894,16.13338447008049,False,False,,0.0,0.0,False
head_on,5.7479461611789,1.2248627607666025,14.656320052735365,True,False,29.0,0.12499945215930452,2.509384418720572,False
head_on,7.111260720178818,0.8488119099963607,16.682500815796477,False,False,,0.0,0.0,False
head_on,9.924433511599638,0.5577780141895179,14.908453915779317,False,False,,0.0,0.0,True
head_on,7.777153961253272,0.23241010159911024,16.050040263340517,False,False,,0.0,0.0,True
head_on,9.472351939506785,1.2005729403251244,16.153315341766127,True,False,33.5,0.12242207193981347,5.374597934692417,False
head_on,6.791254452278463,0.4570427385228544,13.382682278629378,False,False,,0.0,0.0,True
head_on,7.618572716555467,1.9112000156973665,16.727932173729428,False,False,,0.0,0.0,False
head_on,8.61263148724731,1.840716953859967,12.945336970779497,True,False,24.0,0.11556863586603416,1.6366829336793671,False
head_on,7.715636756725871,0.7429086685850401,14.966550835668995,True,False,28.0,0.16583438296014208,4.6598700187116435,False
head_on,7.643066319700785,1.7056406923796066,15.183789833480049,True,False,31.0,0.1171174088690794,4.163139131686222,False
head_on,7.958885684444756,0.5220743990799206,13.751391597649473,False,False,,0.0,0.0,True
head_on,8.919597231476935,0.015575077797397752,16.79539936576967,False,False,,0.0,0.0,True
head_on,6.8745535936065325,1.611600490742285,12.404605392907913,True,False,25.5,0.11392791376718137,7.471811503729896,False
head_on,7.392424952880393,1.4530951074163598,14.508575896680263,True,False,34.5,0.13049324970133291,9.662034232505988,False
head_on,8.211625632198505,1.4671958493469026,12.952395061760315,True,False,24.5,0.10741073796429701,3.9601932363971173,False
head_on,6.670301727029801,0.3400603298527174,13.696563940868376,False,False,,0.0,0.0,True
head_on,5.356479981505558,1.47502256148603,15.25818995904712,True,False,21.5,0.10272726245697239,6.147495886073699,False
head_on,5.304665427323811,1.4300146119796155,13.68986724979254,True,False,31.0,0.13700034073593637,8.95564042364009,False
head_on,9.457641443617554,0.5956007947889601,15.917449383820973,False,False,,0.0,0.0,True
overtaking,9.556232149411287,0.16856401487441053,20.059315417983917,False,False,,0.0,0.0,True
overtaking,5.7479461611789,1.2248627607666025,25.55588378865609,False,False,,0.0,0.0,False
overtaking,7.111260720178818,1.545817447677813,24.035942982071546,False,False,,0.0,0.0,False
overtaking,9.924433511599638,0.5577780141895179,26.18621844626597,False,False,,0.0,0.0,True
overtaking,7.777153961253272,0.17836430215336274,28.36769923020767,False,False,,0.0,0.0,True
overtaking,9.472351939506785,0.6293837659105992,27.441525236381896,False,False,,0.0,0.0,True
overtaking,6.791254452278463,0.4570427385228544,22.371789353391122,False,False,,0.0,0.0,True
overtaking,7.618572716555467,1.9884273638462515,22.273745401614498,False,False,,0.0,0.0,False
overtaking,8.61263148724731,0.8361574141727877,21.15035795291486,False,False,,0.0,0.0,True
overtaking,7.715636756725871,0.7429086685850401,26.331460745990164,False,False,,0.0,0.0,True
overtaking,7.643066319700785,1.7056406923796066,26.874558240517796,False,False,,0.0,0.0,False
overtaking,7.958885684444756,0.5220743990799206,23.29356265094136,False,False,,0.0,0.0,True
overtaking,8.919597231476935,0.7654242004525413,23.527614563556668,False,False,,0.0,0.0,True
overtaking,6.8745535936065325,1.7843068933306978,25.594591240522846,False,False,,0.0,0.0,False
overtaking,7.392424952880393,1.4530951074163598,25.186523398518332,False,False,,0.0,0.0,False
overtaking,8.211625632198505,1.3168745938909003,21.988945899676995,False,False,,0.0,0.0,False
overtaking,6.670301727029801,0.3400603298527174,23.156493508988618,False,False,,0.0,0.0,True
overtaking,5.356479981505558,1.932059312507918,20.039554659142183,False,False,,0.0,0.0,False
overtaking,5.304665427323811,1.4300146119796155,23.13975178129903,False,False,,0.0,0.0,False
overtaking,9.457641443617554,1.0041574093420087,20.154469321448317,False,False,,0.0,0.0,False
being_overtaken,9.556232149411287,1.8516685154475563,10.374051791481897,True,False,25.0,0.1347357766699,5.89233169886927,False
being_overtaken,5.7479461611789,1.6904407083818338,12.358670251643275,True,False,27.0,0.13433558032355286,2.5233037070053683,False
being_overtaken,7.111260720178818,1.6591462177952323,11.80830437732166,True,False,26.5,0.07446270484556461,5.798605650555373,False
being_overtaken,9.924433511599638,1.8595356156267682,10.283439446708986,True,False,24.5,0.12935255703860982,5.761505074223919,False
being_overtaken,7.777153961253272,1.4989473412166083,12.051476898208836,True,False,26.0,0.11363949216766667,5.817347188610199,False
being_overtaken,9.472351939506785,1.9738570974627374,13.197173674934625,True,False,27.0,0.15932300402139,7.020402118408924,False
being_overtaken,6.791254452278463,1.5734762792775023,14.317173846263861,True,False,28.0,0.17121360230609106,4.906307916812494,False
being_overtaken,7.618572716555467,0.56048132483702,10.573430721051764,False,False,,0.0,0.0,True
being_overtaken,8.61263148724731,1.404032640487198,13.405911172981622,True,False,27.5,0.1075730813609379,3.382325262425752,False
being_overtaken,7.715636756725871,1.4454487561777294,10.600068059706025,True,False,25.0,0.1340976872033881,5.54469808204297,False
being_overtaken,7.643066319700785,1.904501364148537,10.200081222128132,True,False,24.5,0.09643070374113982,4.629622213453132,False
being_overtaken,7.958885684444756,1.982710486307465,10.803040859804177,True,False,26.0,0.1287997237756553,9.965216684395955,False
being_overtaken,8.919597231476935,1.87257929162381,12.500325346567825,True,False,27.0,0.17246850873549668,2.9939311102567956,False
being_overtaken,6.8745535936065325,1.7462657111291175,10.955948476121131,True,False,26.0,0.15588749917479738,8.885133366173022,False
being_overtaken,7.392424952880393,1.5363389434046424,13.016807000283837,True,False,27.0,0.11968116461267364,5.054266332095267,False
being_overtaken,8.211625632198505,1.875489588308004,12.210754328865116,True,False,27.0,0.13293720994993885,0.2544625081485492,False
being_overtaken,6.670301727029801,1.9755597225591721,10.359896838000969,True,False,24.5,0.1381818364219196,9.402902688460472,False
being_overtaken,5.356479981505558,1.576932168108137,14.748564107416541,True,False,28.0,0.062345922021979305,4.511814481422334,False
being_overtaken,5.304665427323811,1.89055549279566,14.407589554032512,True,False,28.0,0.14324007838492925,4.230252884692732,False
being_overtaken,9.457641443617554,1.8255296863556782,12.469471430682358,True,False,26.5,0.156872816191866,7.514933632708875,False
null,9.556232149411287,0.3549204557349615,90.49034346165834,True,True,33.0,0.14535860096545727,4.394605850196854,False
null,7.111260720178818,4.098204589788674,inf,True,True,23.0,0.13472456779960718,0.7798740741336871,False
null,9.924433511599638,6.062334617550908,92.2588266196266,True,True,21.0,0.10392787109757973,2.0365640896120567,False
null,7.777153961253272,8.559003963480428,17.201659082894157,True,False,25.5,0.12799815654481428,7.264527238106524,False
