MASS,THRUST_COEF,DRAG_COEF,TURN_COEF,score_total,speed_peak,speed_accel_0_2,speed_accel_0_5,speed_dist_10,speed_t50,speed_t90,turn_t90,turn_t180,turn_peak_yaw,turn_r90,turn_r180,turn_u10,sim3_peak_u_body_mps,sim3_initial_accel_0_2_after_motion_mps2,sim3_initial_accel_0_5_after_motion_mps2,sim3_distance_at_10s_after_motion_m,sim3_time_to_50pct_peak_u_after_motion_s,sim3_time_to_90pct_peak_u_after_motion_s,sim3_u_body_at_10s_after_motion_mps,sim4_peak_abs_yaw_rate_degps,sim4_time_to_90deg_after_turn_s,sim4_time_to_180deg_after_turn_s,sim4_radius_first_90deg_m,sim4_radius_first_180deg_m,sim4_u_body_10s_after_turn_mps
64.55,0.07,6.0,200.0,79.97416284730888,0.00017615407247137236,0.671097195424038,0.8826294190109213,0.7431964096365378,8.785292355150535,0.5037531454864268,10.0,10.0,0.9194309856439737,10.0,10.0,0.0649699334197631,2.303423122556551,0.0895466108662585,0.01226362602295079,2.604866441791875,19.350170999998227,20.551497999993444,0.23742089554640255,2.650322943627657,,,,,2.029099337400564
64.55,0.07,6.0,400.0,80.01880224531935,0.00017615407247137236,0.671097195424038,0.8826294190109213,0.7431964096365377,8.785292355150535,0.5037531454864268,10.0,10.0,0.9593221536953886,10.0,10.0,0.029826995327407832,2.303423122556551,0.0895466108662585,0.01226362602295079,2.6048664417918768,19.350170999998227,20.551497999993444,0.23742089554640255,1.338100387849754,,,,,1.8484816699225504
64.55,0.07,8.0,200.0,80.17600728614659,0.06502196538626631,0.6788237753669386,0.9028186505034125,0.7519754843882759,8.73580854372469,0.5037531454864268,10.0,10.0,0.9194309856439737,10.0,10.0,0.12770094180358604,2.1540294650742497,0.0874429831748924,0.010154126499064716,2.515816607331155,19.252317999998922,20.551497999993444,0.2217449738050498,2.650322943627657,,,,,1.6620013255377348
64.55,0.07,14.0,200.0,80.24358511722895,0.20526266644532618,0.7010857960651253,0.9560504658584198,0.7742578055182587,8.079965107019369,0.49642319421742986,10.0,10.0,0.9194309856439737,10.0,10.0,0.42017551261827263,1.8309388778085463,0.08138195700904012,0.004592127312085123,2.289797685732072,17.95540400000027,20.451321000000462,0.18494896999120042,2.650322943627657,,,,,1.1047461963333691
64.55,0.06,6.0,200.0,80.3354318250099,0.1140382640693595,0.7152031475595013,0.8916145576651455,0.776439325237728,8.785292355150535,0.5037531454864268,10.0,10.0,0.9309408448376917,10.0,10.0,0.02394098708551723,2.0411042970772475,0.07753838692346755,0.011324801495618696,2.2676696169565935,19.350170999998227,20.551497999993444,0.2098500611785485,2.271705380252277,,,,,1.8596963484301425
64.55,0.07,8.0,400.0,80.34016677576373,0.06502196538626631,0.6788237753669386,0.9028186505034125,0.7519754843882759,8.73580854372469,0.5037531454864268,10.0,10.0,0.9593221536953886,10.0,10.0,0.2120780953178852,2.1540294650742497,0.0874429831748924,0.010154126499064716,2.5158166073311556,19.252317999998922,20.551497999993444,0.2217449738050498,1.338100387849754,,,,,1.501236574426093
64.55,0.07,14.0,400.0,80.38798609962262,0.20526266644532618,0.7010857960651253,0.9560504658584198,0.7742578055182586,8.079965107019369,0.49642319421742986,10.0,10.0,0.9593221536953886,10.0,10.0,0.4847941589091302,1.8309388778085463,0.08138195700904012,0.004592127312085123,2.289797685732074,17.95540400000027,20.451321000000462,0.18494896999120042,1.338100387849754,,,,,0.9816275539586836
64.55,0.07,10.0,200.0,80.4687543568995,0.11919469828243213,0.6863945511633743,0.9217134920158142,0.7600165129536043,8.73580854372469,0.5037531454864268,10.0,10.0,0.9194309856439737,10.0,10.0,0.25655719005469146,2.029224754651137,0.08538177449935938,0.008179873086341282,2.434253084649605,19.252317999998922,20.551497999993444,0.20798080252769624,2.650322943627657,,,,,1.4164900488891536
64.55,0.06,6.0,400.0,80.55069410189378,0.1140382640693595,0.7152031475595013,0.8916145576651455,0.7764393252377281,8.785292355150535,0.5037531454864268,10.0,10.0,0.9651332745960474,10.0,10.0,0.17081840445268798,2.0411042970772475,0.07753838692346755,0.011324801495618696,2.267669616956592,19.350170999998227,20.551497999993444,0.2098500611785485,1.1469431895855033,,,,,1.5798491331178557
64.55,0.07,10.0,400.0,80.62485478968466,0.11919469828243213,0.6863945511633743,0.9217134920158142,0.7600165129536042,8.73580854372469,0.5037531454864268,10.0,10.0,0.9593221536953886,10.0,10.0,0.3328752867370165,2.029224754651137,0.08538177449935938,0.008179873086341282,2.4342530846496055,19.252317999998922,20.551497999993444,0.20798080252769624,1.338100387849754,,,,,1.2710803105010369
64.55,0.06,8.0,200.0,80.6642436281021,0.16813692006864778,0.720938241325224,0.9069555064708511,0.7831911644406948,8.785292355150535,0.5037531454864268,10.0,10.0,0.9309408448376917,10.0,10.0,0.19994610863468712,1.9164702471537916,0.07597695843281427,0.00972188143332546,2.199182882268458,19.350170999998227,20.551497999993444,0.19752340519081718,2.271705380252277,,,,,1.5243517867600047
64.55,0.07,12.0,200.0,80.69919483043195,0.16534049751918362,0.6938138377915911,0.9394245765461001,0.7674171574488255,8.73580854372469,0.49642319421742986,10.0,10.0,0.9194309856439737,10.0,10.0,0.3495298495879377,1.922912726383619,0.08336181004980504,0.0063293061443534535,2.3591852459720024,19.252317999998922,20.451321000000462,0.19580110532366957,2.650322943627657,,,,,1.2393481823112917
64.55,0.07,12.0,400.0,80.84886651084352,0.16534049751918362,0.6938138377915911,0.9394245765461001,0.7674171574488253,8.73580854372469,0.49642319421742986,10.0,10.0,0.9593221536953886,10.0,10.0,0.41941919389668075,1.922912726383619,0.08336181004980504,0.0063293061443534535,2.3591852459720033,19.252317999998922,20.451321000000462,0.19580110532366957,1.338100387849754,,,,,1.1061872190032935
64.55,0.06,8.0,400.0,80.86271635945579,0.16813692006864778,0.720938241325224,0.9069555064708511,0.7831911644406948,8.785292355150535,0.5037531454864268,10.0,10.0,0.9651332745960474,10.0,10.0,0.3300339804716651,1.9164702471537916,0.07597695843281427,0.00972188143332546,2.199182882268458,19.350170999998227,20.551497999993444,0.19752340519081718,1.1469431895855033,,,,,1.276493883672876
64.55,0.06,10.0,200.0,80.86428228124484,0.21267393631423967,0.726573623616806,0.9214378640985249,0.7894373641054084,8.73580854372469,0.5037531454864268,10.0,10.0,0.9309408448376917,10.0,10.0,0.31803094019034434,1.813864579717841,0.07444267724662162,0.008208672447055324,2.135825061327107,19.252317999998922,20.551497999993444,0.18654268483228487,2.271705380252277,,,,,1.299363412959409
64.55,0.05,6.0,200.0,80.8681960554953,0.2351081321601491,0.7602478690538068,0.9030000744211295,0.8107098549257536,8.785292355150535,0.5111219500272838,10.0,10.0,0.9424507040314097,10.0,10.0,0.12560344580643387,1.7621800298264638,0.0652745749671363,0.01013517017236215,1.9200492717720758,19.350170999998227,20.65220599999884,0.1804975573558266,1.8930878168768985,,,,,1.6659977085382907
64.55,0.07,14.0,800.0,80.94378046479031,0.20526266644532618,0.7010857960651253,0.9560504658584198,0.7742578055182587,8.079965107019369,0.49642319421742986,10.0,10.0,0.979620510936734,10.0,10.0,0.9999918095941247,1.8309388778085463,0.08138195700904012,0.004592127312085123,2.2897976857320725,17.95540400000027,20.451321000000462,0.18494896999120042,0.6703846121923308,,,,,1.5605273550849416e-05
64.55,0.07,14.0,1200.0,80.9573614878027,0.20526266644532618,0.7010857960651253,0.9560504658584198,0.7742578055182588,8.079965107019369,0.49642319421742986,10.0,10.0,0.9864110224429326,10.0,10.0,0.9999918095941247,1.8309388778085463,0.08138195700904012,0.004592127312085123,2.289797685732071,17.95540400000027,20.451321000000462,0.18494896999120042,0.44701029654886754,,,,,1.5605273550849416e-05
64.55,0.07,14.0,1600.0,80.9641455752642,0.20526266644532618,0.7010857960651253,0.9560504658584198,0.7742578055182587,8.079965107019369,0.49642319421742986,10.0,10.0,0.9898030661736773,10.0,10.0,0.9999918095941247,1.8309388778085463,0.08138195700904012,0.004592127312085123,2.289797685732073,17.95540400000027,20.451321000000462,0.18494896999120042,0.3354287984104488,,,,,1.5605273550849416e-05
64.55,0.07,14.0,2200.0,80.96969286473941,0.20526266644532618,0.7010857960651253,0.9560504658584198,0.7742578055182587,8.079965107019369,0.49642319421742986,10.0,10.0,0.9925767109112843,10.0,10.0,0.9999918095941247,1.8309388778085463,0.08138195700904012,0.004592127312085123,2.2897976857320717,17.95540400000027,20.451321000000462,0.18494896999120042,0.24418957518911527,,,,,1.5605273550849416e-05
64.55,0.07,6.0,800.0,81.02956377403456,0.00017615407247137236,0.671097195424038,0.8826294190109213,0.743196409636538,8.785292355150535,0.5037531454864268,10.0,10.0,0.979620510936734,10.0,10.0,0.9999918095599323,2.303423122556551,0.0895466108662585,0.01226362602295079,2.604866441791874,19.350170999998227,20.551497999993444,0.23742089554640255,0.6703846121923308,,,,,1.5605338698166333e-05
64.55,0.07,6.0,1200.0,81.04314479704696,0.00017615407247137236,0.671097195424038,0.8826294190109213,0.7431964096365379,8.785292355150535,0.5037531454864268,10.0,10.0,0.9864110224429326,10.0,10.0,0.9999918095599323,2.303423122556551,0.0895466108662585,0.01226362602295079,2.6048664417918745,19.350170999998227,20.551497999993444,0.23742089554640255,0.44701029654886754,,,,,1.5605338698166333e-05
64.55,0.06,10.0,400.0,81.04979491852039,0.21267393631423967,0.726573623616806,0.9214378640985249,0.7894373641054085,8.73580854372469,0.5037531454864268,10.0,10.0,0.9651332745960474,10.0,10.0,0.43515871794919775,1.813864579717841,0.07444267724662162,0.008208672447055324,2.135825061327106,19.252317999998922,20.551497999993444,0.18654268483228487,1.1469431895855033,,,,,1.0761985246526387
