method,n_runs,n_episodes_total,runs,deterministic,success__mean,success__iqm,success__stat,success__point,success__ci_lo,success__ci_hi,success__per_run,obstacle_collision__mean,obstacle_collision__iqm,obstacle_collision__stat,obstacle_collision__point,obstacle_collision__ci_lo,obstacle_collision__ci_hi,obstacle_collision__per_run,border_collision__mean,border_collision__iqm,border_collision__stat,border_collision__point,border_collision__ci_lo,border_collision__ci_hi,border_collision__per_run,timeout__mean,timeout__iqm,timeout__stat,timeout__point,timeout__ci_lo,timeout__ci_hi,timeout__per_run,rudder_saturation_fraction__mean,rudder_saturation_fraction__iqm,rudder_saturation_fraction__stat,rudder_saturation_fraction__point,rudder_saturation_fraction__ci_lo,rudder_saturation_fraction__ci_hi,rudder_saturation_fraction__per_run,rms_cte__mean,rms_cte__iqm,rms_cte__stat,rms_cte__point,rms_cte__ci_lo,rms_cte__ci_hi,rms_cte__per_run,min_obstacle_clearance__mean,min_obstacle_clearance__iqm,min_obstacle_clearance__stat,min_obstacle_clearance__point,min_obstacle_clearance__ci_lo,min_obstacle_clearance__ci_hi,min_obstacle_clearance__per_run,min_border_clearance__mean,min_border_clearance__iqm,min_border_clearance__stat,min_border_clearance__point,min_border_clearance__ci_lo,min_border_clearance__ci_hi,min_border_clearance__per_run,min_lateral_border_clearance__mean,min_lateral_border_clearance__iqm,min_lateral_border_clearance__stat,min_lateral_border_clearance__point,min_lateral_border_clearance__ci_lo,min_lateral_border_clearance__ci_hi,min_lateral_border_clearance__per_run,control_effort__mean,control_effort__iqm,control_effort__stat,control_effort__point,control_effort__ci_lo,control_effort__ci_hi,control_effort__per_run,mean_abs_rudder_rate__mean,mean_abs_rudder_rate__iqm,mean_abs_rudder_rate__stat,mean_abs_rudder_rate__point,mean_abs_rudder_rate__ci_lo,mean_abs_rudder_rate__ci_hi,mean_abs_rudder_rate__per_run,path_completion_time_s__mean,path_completion_time_s__iqm,path_completion_time_s__stat,path_completion_time_s__point,path_completion_time_s__ci_lo,path_completion_time_s__ci_hi,path_completion_time_s__per_run
SAC (deployed),1,500,sac_1M,False,0.95,1.0,rate,0.95,0.93,0.968,0.9500,0.038,0.0,rate,0.038,0.022,0.056,0.0380,0.012,0.0,rate,0.012,0.004,0.022,0.0120,0.0,0.0,rate,0.0,0.0,0.0,0.0000,0.09805462642025935,0.04206196141878729,rate,0.09805462642025935,0.08963559346206772,0.10680567522388407,0.0981,0.8309990769263309,0.9084178683460307,dist,0.9084178683460307,0.8791090101238731,0.9356777132020014,0.8310,0.24140299023832268,0.23319021609589186,dist,0.23319021609589186,0.21728354233107666,0.24861679451772725,0.2414,0.9470441141650299,0.9886466337427225,dist,0.9886466337427225,0.988599924980245,0.9886980751744066,0.9470,2.4180551678808726,2.5140162692302184,dist,2.5140162692302184,2.4331174684389683,2.5951585953123892,2.4181,9.496063456089443,9.84581693972449,dist,9.84581693972449,9.580358350482596,10.12231484042912,9.4961,70.29324464066211,74.9114095475451,dist,74.9114095475451,73.40337876141244,76.28653217312535,70.2932,20.389200000000006,20.87876447876448,dist,20.87876447876448,20.710036648771712,21.02231719038244,20.3892
"SAC (retrained, 3 seeds)",3,1500,"sac_gs4_seed0_best, sac_gs4_seed1_best, sac_gs4_seed2_best",False,0.924,1.0,rate,0.924,0.9106666666666666,0.9373333333333334,0.9400;0.9000;0.9320,0.04733333333333333,0.0,rate,0.04733333333333333,0.037333333333333336,0.058,0.0160;0.0860;0.0400,0.028666666666666667,0.0,rate,0.028666666666666667,0.020666666666666667,0.037333333333333336,0.0440;0.0140;0.0280,0.0,0.0,rate,0.0,0.0,0.0,0.0000;0.0000;0.0000,0.03239735705499453,0.011281739954834804,rate,0.03239735705499453,0.030219215074140392,0.03465396224428076,0.0244;0.0482;0.0245,1.0183061593715859,1.101426597198135,dist,1.101426597198135,1.0833521897426919,1.118869343745588,1.1354;0.9355;0.9841,0.48253423076695934,0.4402183909024668,dist,0.4402183909024668,0.42177924146343443,0.45919035497625305,0.5400;0.4264;0.4812,0.9028555355038457,0.988607497151841,dist,0.988607497151841,0.9885824923486837,0.9886314986045537,0.8737;0.9202;0.9147,2.301483431747991,2.451265858988572,dist,2.451265858988572,2.3984110970409067,2.4997164392816758,2.1873;2.3926;2.3246,8.64902616565808,8.791771039382567,dist,8.791771039382567,8.6641393809984,8.920171884682485,8.2412;8.7689;8.9370,76.48262754607345,77.29506655740802,dist,77.29506655740802,76.50257573819124,78.04911787523035,71.4335;77.6894;80.3250,19.8366,20.31259640102828,dist,20.31259640102828,20.15922815133203,20.3994925873506,20.6044;19.5856;19.3198
PPO (3 seeds),3,1500,"ppo_fx_seed0_best, ppo_fx_seed1_best, ppo_fx_seed2_best",False,0.9046666666666666,1.0,rate,0.9046666666666666,0.89,0.9186666666666666,0.8940;0.8980;0.9220,0.07866666666666666,0.0,rate,0.07866666666666666,0.066,0.09266666666666666,0.1060;0.0760;0.0540,0.016666666666666666,0.0,rate,0.016666666666666666,0.010666666666666666,0.023333333333333334,0.0000;0.0260;0.0240,0.0,0.0,rate,0.0,0.0,0.0,0.0000;0.0000;0.0000,0.1303634546077786,0.059553354724518205,rate,0.1303634546077786,0.12310890278521484,0.13757039361486556,0.0939;0.2640;0.0332,1.3483853994171064,1.2860826633358404,dist,1.2860826633358404,1.2582694399442076,1.3161887400623438,1.1745;1.7606;1.1101,0.6042459916753006,0.5283784027140788,dist,0.5283784027140788,0.4972070041360983,0.5615795431481114,0.5348;0.9179;0.3600,0.9437559903470716,0.9888003510479048,dist,0.9888003510479048,0.9887974540192442,0.9888032328446219,0.9866;0.9241;0.9206,2.4149550870815997,2.4840532990187723,dist,2.4840532990187723,2.4408713408923157,2.528472622538423,2.8416;2.1392;2.2640,6.643392974184402,5.559932268856337,dist,5.559932268856337,5.254850963173238,5.893026206696651,6.2026;10.9454;2.7822,11.617866048650768,11.325523279599613,dist,11.325523279599613,11.182906624523586,11.465235072085802,12.8811;10.1798;11.7927,21.7512,22.038095238095238,dist,22.038095238095238,21.724812815974897,22.36459563939221,21.6108;25.2664;18.3764
LOS+APF (3 searches),3,1500,"los_apf_s1, los_apf_s2, los_apf_s3",False,0.96,1.0,rate,0.96,0.95,0.9693333333333334,0.9680;0.9720;0.9400,0.03266666666666666,0.0,rate,0.03266666666666666,0.024,0.042,0.0260;0.0260;0.0460,0.007333333333333333,0.0,rate,0.007333333333333333,0.0033333333333333335,0.012,0.0060;0.0020;0.0140,0.0,0.0,rate,0.0,0.0,0.0,0.0000;0.0000;0.0000,0.09801619917733624,0.025764220274274264,rate,0.09801619917733624,0.09085420429429186,0.10541063531629685,0.1094;0.0437;0.1409,1.1657036350605794,1.3281032380645028,dist,1.3281032380645028,1.3121119139620592,1.3435120180792777,1.0428;1.1541;1.3002,0.7581061916711146,0.7682179406126026,dist,0.7682179406126026,0.7489307710621689,0.7875269167958016,0.6529;0.6720;0.9495,0.9747363193394226,0.9885341467847665,dist,0.9885341467847665,0.9885135842565017,0.9885808077163318,0.9789;0.9815;0.9638,2.549686654445483,2.5244500883807124,dist,2.5244500883807124,2.493197075010489,2.5557237881083674,2.5608;2.5960;2.4923,6.746256073360566,5.844635441076317,dist,5.844635441076317,5.632134038863558,6.061863195075634,7.3535;5.2203;7.6650,8.142737905666111,8.964047917791085,dist,8.964047917791085,8.832308088916701,9.097489114544958,7.7961;7.3956;9.2365,26.11686666666667,27.224903225806454,dist,27.224903225806454,27.018138016521796,27.38466255508199,24.8640;26.5918;26.8948
