rpm,THRUST_COEF,DRAG_COEF,TURN_COEF,MASS,score_total,err_peak_u_body_mps,err_initial_accel_0_2_after_motion_mps2,err_initial_accel_0_5_after_motion_mps2,err_distance_at_10s_after_motion_m,err_time_to_50pct_peak_u_after_motion_s,err_time_to_90pct_peak_u_after_motion_s,rpm_start_idx,rpm_start_t_sec,motion_start_idx,motion_start_t_sec,motion_lag_s,u_body_at_2s_after_motion_mps,u_body_at_5s_after_motion_mps,u_body_at_10s_after_motion_mps,distance_at_5s_after_motion_m,distance_at_10s_after_motion_m,initial_accel_0_2_after_motion_mps2,initial_accel_0_5_after_motion_mps2,peak_u_body_mps,time_to_50pct_peak_u_after_motion_s,time_to_90pct_peak_u_after_motion_s,u_body_at_2s_after_rpm_mps,u_body_at_5s_after_rpm_mps,u_body_at_10s_after_rpm_mps,distance_at_5s_after_rpm_m,distance_at_10s_after_rpm_m
15.0,0.05,1.5,1.0,64.55,7.807370413408506,0.01993924966529556,0.5405276387608533,0.12218707952501698,0.3909958131173122,4.5626493381720366,1.1585150528620223,0,0.0,3,0.30000000000000004,0.30000000000000004,0.30298312912258435,0.6380814975380841,1.1013034598644762,1.7826781152891407,6.177384697294206,0.12509529308735443,0.11725325507558577,2.3497655720568917,11.0,29.5,0.26686961885251453,0.6066286367489463,1.0765506161379892,1.6058814846398215,5.860618433998915
12.7,0.07,1.5,1.0,64.55,7.812609641980099,0.023368648361358834,0.5388827550927502,0.1261965343116826,0.38882382128514953,4.5626493381720366,1.1585150528620223,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3040678826779099,0.6403612809371344,1.1052146243253211,1.7890556021319743,6.199416120715658,0.12554312678076968,0.1176721884543357,2.3576663200588053,11.0,29.5,0.26782519821412726,0.608796620616682,1.0803755350068092,1.611627303430082,5.881524948676459
14.0,0.06,1.5,1.0,64.55,7.822892197543069,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335
16.0,0.04,1.5,1.0,64.55,7.86324361617643,0.0664889815773968,0.5826949938504765,0.014776885303081149,0.43605774288496485,4.512079798734109,1.1585150528620225,0,0.0,4,0.4,0.4,0.2866554724402151,0.5903926150474164,1.010659185310406,1.6759945021841596,5.720302658495571,0.11361486882542703,0.10603035371572202,2.150649710700938,10.9,29.500000000000004,0.24291990743484518,0.5522827026341753,0.9806175501502434,1.4618637353350543,5.336455846533303
16.0,0.05,1.5,1.0,64.55,7.948942669106663,0.15080012358158815,0.47726827078342704,0.27634319551573594,0.30750661784304567,4.512079798734109,1.151198052682829,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3447013396618598,0.7257349011691994,1.2515603907885702,2.027922654824001,7.024250594746582,0.14231819884890062,0.13336046814149632,2.6512466419918796,10.9,29.400000000000002,0.3036205796896334,0.6899865150135863,1.2235026253011307,1.8268395904083916,6.664268506265287
12.7,0.08,1.5,1.0,64.55,7.962075175294789,0.1594381066519497,0.47305681408909006,0.2866030965827974,0.3019514187607878,4.512079798734109,1.151198052682829,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3474787404917826,0.7315686932776919,1.2615520387285053,2.0442480300271266,7.080599307186178,0.14346480407251402,0.13443248796672513,2.671147077471156,10.9,29.400000000000002,0.3060673298915681,0.6955346329620514,1.2332751178206427,1.8415485780110752,6.717743513601201
18.0,0.04,1.5,1.0,64.55,7.9692953865352205,0.1641884123675782,0.47073890148335334,0.29224981054204785,0.2988940958016741,4.512079798734109,1.151198052682829,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3490073755005446,0.7347794214713357,1.2670506501162226,2.0532331455447967,7.1116110152648835,0.14409587566947257,0.13502249261415264,2.682090969306863,10.9,29.400000000000002,0.3074139827337636,0.6985881469233114,1.2386531559774567,1.8496440867900357,6.747173763217038
15.0,0.06,1.5,1.0,64.55,7.979778105752196,0.20921104575173397,0.4487031503549896,0.34592597215107623,0.26983472175615847,4.4615102592961815,1.1438810525036356,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3635397490324567,0.7652997442865634,1.3193025188015126,2.138649043676386,7.406372424805563,0.15009529800331764,0.14063091992850532,2.785815415565937,10.8,29.3,0.32021638021017396,0.7276144400371651,1.289760401567268,1.9266036242382887,7.026907026409535
14.0,0.07,1.5,1.0,64.55,8.00749119738738,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451
14.0,0.05,1.5,1.0,64.55,8.102047803974184,0.10443328691248106,0.600615586685263,0.02871867262654844,0.46019532831281035,4.5626493381720366,1.1658320530412156,0,0.0,4,0.4,0.4,0.2743446374773421,0.5650836988718657,0.9675628193135725,1.6040651482961126,5.475465013593917,0.10873583364925035,0.10148566073036308,2.0632325215288825,11.0,29.6,0.23248579943527906,0.5286001182693747,0.9387810741678657,1.3991138011153599,5.107985714301415
