#{"t_start": 1787072221.770387, "env_id": "None"}
r,l,t
-990.97864,70,120.836551
-973.0794,205,167.633333
-987.99976,78,168.000097
-972.47003,130,168.086975
-992.77325,166,168.201692
-986.83246,80,168.447776
-966.51843,219,168.707943
-980.76733,95,169.41601
-990.26575,72,169.63897
-972.2085,123,169.652715
-976.9017,179,169.862068
-977.80945,203,169.900038
-982.03644,205,169.944762
-964.4526,211,170.571451
-987.8129,179,170.609871
-977.6733,105,171.030534
-966.14075,131,171.129262
-990.53064,75,171.401515
97.05695,184,171.497874
106.18816,183,171.692662
-966.47736,130,172.091833
81.01724,199,172.165736
-962.1254,211,172.365766
-962.744,142,172.86079
-980.8733,99,172.951314
-986.73505,80,173.118903
-983.23694,173,173.131163
-971.35,132,173.157898
-982.4576,94,173.434819
97.96727,195,173.866333
-985.42694,84,174.166439
-973.4082,149,174.222124
-981.4678,94,174.269201
-990.16376,72,175.020277
-989.04535,186,175.214903
-963.0998,211,175.434341
-978.70764,100,175.481483
-976.83246,206,175.647915
-972.8816,120,175.668098
-959.31885,208,175.857751
95.01356,184,176.029714
-985.46783,106,176.306858
-978.2078,108,176.725892
-979.3407,99,176.871094
-978.00885,103,176.904356
-990.8535,70,177.143595
-977.27924,165,177.209706
-980.92236,98,177.225801
-963.2385,138,177.550276
-980.5796,97,177.92133
-960.9956,215,178.096616
-982.8296,91,178.411877
-985.53986,84,178.754054
-995.9656,139,178.792105
-994.1754,65,178.952379
-987.0319,81,179.418634
-984.0571,167,179.588676
-985.8925,191,179.588676
-977.5302,104,180.09093
-986.4409,210,180.325929
-978.26154,105,180.566816
-992.6965,66,181.275278
-974.1294,118,181.747797
-983.5505,217,181.933071
-966.8225,218,181.970031
-977.2276,180,182.106812
104.76713,182,182.131853
-962.1667,210,182.347897
-981.912,151,183.09554
-981.31287,206,183.156004
-981.56744,94,183.194799
-980.03564,146,183.677496
-983.3366,153,183.730549
-980.3252,142,183.801095
102.49098,187,183.975854
-988.6951,76,184.088261
-976.62823,107,184.495772
-972.4226,116,184.510965
-988.2756,77,184.689778
-974.1278,215,184.93311
-1001.7212,135,185.743299
-991.38477,175,185.956589
-966.0,142,186.262632
99.654785,188,186.291024
-967.52747,212,186.30822
-973.158,180,186.709166
100.33211,192,187.044963
-979.36786,101,187.197585
-980.8126,96,187.443749
-979.21655,99,187.510127
-982.5873,214,187.564379
-985.8283,83,188.282585
-962.19586,206,188.346196
-993.34174,72,188.401136
-988.0724,166,188.8374
-976.7517,105,188.875394
-997.175,164,189.140523
-966.64417,229,189.189418
-992.583,66,189.212731
-984.3431,168,189.673966
-979.1161,125,189.865737
-971.3334,118,190.270668
-978.9979,127,190.69767
-989.52795,151,190.728771
-966.1152,131,190.833435
-974.1302,213,190.923575
-978.00525,102,190.972278
-988.3723,80,191.302057
95.369774,188,191.548684
-993.5806,64,191.755327
-986.5241,81,191.875859
-974.5568,170,192.03298
