scenario,policy,outcome,mode,side,dcpa_drawn,tcpa_drawn,sense,tcpa_at_engage,tcpa_at_first_turn,first_turn_compliant,peak_dpsi_compliant,peak_dpsi_wrong,min_speed,speed_at_closest,min_range,mean_throttle_engaged
20,run11s1,goal,basin,starboard,2.455380360551736,9.042169361535493,1,7.16869674975445,7.16869674975445,False,35.5622745215403,28.52414334163302,0.3573301307965154,0.47496740190708425,2.2275206760833894,-0.5502882231684292
21,run11s1,goal,basin,starboard,0.3757033796243289,9.49896904568514,1,7.190967790381679,3.6933987408363094,True,48.2336187222017,38.87355464463269,0.2988620711658837,0.493878686314462,1.4539726008945162,-0.9579417272047563
22,run11s1,collision:target,basin,port,1.4601377428364724,8.377208724734128,-1,6.21641214561075,6.739201782453343,False,-0.0,18.999215022518683,0.5081078521269005,0.5081078521269005,1.4261634860894217,-0.2093669422543966
23,run11s1,goal,basin,port,0.8128280920360667,10.13576215092496,-1,4.97544183024778,,True,21.964011665479404,38.640018863436126,0.3062312119882384,0.3062312119882384,2.0157864128905967,-0.9742428660392761
24,run11s1,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,,,29.447767862358262,16.841063400438657,0.39866781049672123,0.5001845415416544,2.5550529503195545,
25,run11s1,collision:target,basin,starboard,0.011672841727625172,9.689499897718894,1,8.130840672934928,4.191409879170127,True,12.504584013595377,2.0193558583784466,0.3008876622781983,0.3008876622781983,1.8954702355674786,-0.8787735607475042
26,run11s1,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.809860020568116,3.1379285830307344,False,41.729041618683254,23.687051443670782,0.49159390815257015,0.5196140877156603,2.93748828375673,-0.1455082342028618
27,run11s1,goal,channel,port,0.17000430075675282,11.63413261725211,-1,9.926513486581015,9.926513486581015,False,53.844371408438235,31.429608880289408,0.5351903234158312,0.5757149095556526,2.0203148640538346,0.020894313976168633
28,run11s1,goal,basin,port,0.23622966892240083,8.507879150870341,-1,6.896925692022286,6.701019425151212,False,87.27123597652366,68.75582322493767,0.40889498731385443,0.7862965709560182,1.6542498713881988,0.49155222305229734
29,run11s1,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.6456286353520175,6.359573307707261,False,44.706487959952426,35.180588947300464,0.25399313201097495,0.2920162268728291,2.1568522897112197,-0.9140071027419147
30,run11s1,goal,basin,port,2.226126868249491,9.64953455321088,-1,7.769552459177212,6.1782007552821385,True,32.055530879492835,39.738332280766514,0.4577015746160108,0.4577015746160108,1.8649727439632218,-0.3152899100548691
31,run11s1,collision:target,basin,port,0.23366396928340888,10.766328830535238,-1,8.936591183352526,4.492388198793382,True,15.958396700851551,2.773792564861253,0.29187548811654485,0.3921307268638228,1.4891592073206485,-0.7558830003989371
32,run11s1,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.735540547644035,5.09355132668357,False,11.511961199083999,29.802793230407673,0.551224988746964,0.6152392031564106,2.549214237235163,0.216241593257739
33,run11s1,collision:target,basin,port,1.4394070464462696,10.383855597374302,-1,7.817464541080918,,False,-0.0,37.689302869120155,0.4852515804727147,0.7064908812768563,1.5518024586229218,0.35640775635838506
34,run11s1,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,20.809470487223848,-0.0,0.5473465488347364,0.7331472441446827,1.5858347189789392,
35,run11s1,collision:target,basin,starboard,1.622891763736585,9.608986499702809,1,8.59176926634604,,False,0.0,34.13089415083141,0.35732214656985994,0.4115950198053891,1.37723381021937,-0.6892629061989924
36,run11s1,collision:obstacle,basin,starboard,2.3463067862190936,8.140740085111329,1,6.297563790704367,6.6701683100405535,False,45.52322679388175,33.11931175028593,0.23988904316304624,0.3122893723147013,2.4415162461697433,-0.5667056450620294
37,run11s1,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,33.366276728490504,-0.0,0.44628487888505963,0.651089956990182,1.914687948790892,
38,run11s1,goal,basin,starboard,2.255702132700812,8.105535018521422,1,6.002230343483797,1.2069988667592315,True,46.13323916313399,37.20980351058603,0.5084579625700923,0.7781941322472244,2.1633584156960586,0.2654781314389159
39,run11s1,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.540788281219833,2.8245446675958505,False,0.810391929438083,14.97715703361959,0.339502092271401,0.44298670819681796,1.9707751676365668,-0.6627067672709624
20,reference,goal,basin,starboard,2.455380360551736,9.042169361535493,1,6.889275166733601,,True,13.859079404511078,24.877191230713436,0.3781689246716091,0.4761325497081439,2.6771492318794485,0.0
21,reference,goal,basin,starboard,0.3757033796243289,9.49896904568514,1,7.113890717132605,4.9893513039964,True,32.967597829446476,14.19307446739208,0.3062264252473632,0.31922334114159656,1.6125209733341188,-1.0
22,reference,goal,basin,port,1.4601377428364724,8.377208724734128,-1,6.038110664978421,1.9978902207646727,True,14.86937919408723,6.138597670839431,0.3554526485932747,0.38249766006034225,2.2565675256562048,-0.7321428571428571
23,reference,goal,basin,port,0.8128280920360667,10.13576215092496,0,,-7.782188705576533,,26.03297725371624,33.55626436938911,0.2738939211282775,0.2974615499043617,1.9993874936230274,
24,reference,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,3.053959934193376,,15.133115862972659,25.496803899356564,0.45680093761044194,0.5341313946463634,2.4163255001971,
25,reference,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,8.201259793526605,5.383117142335886,True,35.4457876062676,23.26791198622641,0.27145734724574755,0.27145734724574755,1.1718015251079594,-0.7205882352941176
26,reference,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.985774541281743,1.8747604055252363,True,20.58900442568813,36.90912779026968,0.2666638510452624,0.48581801859549334,2.2217259647953025,-0.06666666666666667
27,reference,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.952395145768666,4.216509097880983,True,33.04342542045697,0.18785510680356765,0.31088995447773055,0.3143877267679307,1.479824050776271,-0.631578947368421
28,reference,collision:obstacle,basin,port,0.23622966892240083,8.507879150870341,-1,6.5867915562927015,4.160340615966486,True,48.81850162396745,32.49703777026298,0.17743284883934005,0.42490262519450034,1.1797802849979195,-0.18333333333333332
29,reference,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.696675193763137,2.155379717599689,True,36.131066359957515,44.92591860499107,0.2109536014732758,0.30009451845328,2.4464205345557493,-0.7794117647058824
30,reference,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.083901776555455,-4.1577878051600825,True,36.19163202933066,27.176687857729206,0.2686616673312465,0.29205632469025705,2.065030521917643,-0.7
31,reference,goal,basin,port,0.23366396928340888,10.766328830535238,-1,8.531553971623735,4.245457030796158,True,34.47159068481375,39.20748259922942,0.3081970279500651,0.3194627432914338,1.2634646239881016,-0.7763157894736842
32,reference,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.654773527505109,,,4.5293521054240955,5.7726219427214005,0.48608552313300474,0.5448756144073621,1.6346337186459816,0.0
33,reference,collision:obstacle,basin,port,1.4394070464462696,10.383855597374302,-1,7.245092432499305,,False,23.427498341559726,13.149482617524342,0.34775204790748837,0.39656845212410086,1.9187002564163729,-0.5138888888888888
34,reference,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,28.61023866279419,1.1344052259545379,0.5114780340282551,0.5114780340282551,1.4125158834978528,
35,reference,collision:target,basin,starboard,1.622891763736585,9.608986499702809,0,,4.245382134726259,,2.488492724934247,22.065316091190482,0.4005306975110571,0.4005306975110571,1.6214568589746206,
36,reference,collision:obstacle,basin,starboard,2.3463067862190936,8.140740085111329,1,6.11858586377589,0.4385779014853533,False,16.860627174969636,14.910240864056561,0.38137515547695744,0.43453780411603626,2.733503833314234,-0.3888888888888889
37,reference,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,33.28013106108409,-0.0,0.5060980325822475,0.5060980325822475,1.4540190346416901,
38,reference,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.750396778972043,2.2495928486520076,True,31.32589258851874,37.79957089494815,0.2976749617717501,0.5096940764152985,1.8728174249589369,0.0
39,reference,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.626493887884505,7.422467030399197,False,34.19404577683184,14.160467231118787,0.29081398658753915,0.30245785494695077,1.25808616330891,-0.7941176470588235
