scenario,policy,outcome,mode,side,dcpa_drawn,tcpa_drawn,sense,tcpa_at_engage,tcpa_at_first_turn,first_turn_compliant,peak_dpsi_compliant,peak_dpsi_wrong,min_speed,speed_at_closest,min_range,mean_throttle_engaged
20,run8best,goal,basin,starboard,2.455380360551736,9.042169361535493,1,7.334697269521106,7.334697269521106,False,31.082914988759455,32.99732890852681,0.22017040958157946,0.2705514372411641,2.7515472585566827,-0.9901825955935887
21,run8best,collision:target,basin,starboard,0.3757033796243289,9.49896904568514,1,7.121637777766152,6.720624563437232,False,0.0,31.992087666676127,0.47507784315853585,0.6868107413622698,1.626740583593446,0.15496665885051092
22,run8best,collision:obstacle,basin,port,1.4601377428364724,8.377208724734128,-1,6.116328933047073,3.7500510783315657,True,48.2801408841039,0.0,0.12558590256243748,0.304809416445344,2.5295248227654743,-0.9777996838092804
23,run8best,goal,basin,port,0.8128280920360667,10.13576215092496,-1,7.334852398798736,,True,30.46610553384727,21.24245621577785,0.23336684604644337,0.2614315405044085,2.366985477426549,-1.0
24,run8best,goal,channel,starboard,2.4658059993829493,8.556858237844443,1,4.057476753550269,,False,26.858870016842133,23.271438191574703,0.302674646047059,0.3670628796446813,1.8393352543396604,-1.0
25,run8best,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,7.030136607204709,6.605192618179993,False,15.775857788972104,36.89961005882424,0.5456178128448175,0.8625699814370044,1.8931392135555702,0.3832532409578562
26,run8best,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.692592322291935,5.535101371756077,True,44.832603736799854,42.56088540566742,0.37633448013540927,0.4507108616309741,1.4022252151400918,-0.16539004147052766
27,run8best,goal,channel,port,0.17000430075675282,11.63413261725211,-1,12.133483764814502,10.908482391223433,True,44.63769357267131,44.97673684106084,0.2151092421820044,0.38002052240232453,2.6313666291541242,-0.6455104752727177
28,run8best,goal,basin,port,0.23622966892240083,8.507879150870341,-1,6.612936685194464,5.228042309312695,True,50.65043950947165,66.45155727432251,0.2669712149935642,0.6377716515902266,1.4973369609622142,-0.24829145272572836
29,run8best,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,7.268403518058885,5.539033445463395,False,52.58578734586558,37.66923718321135,0.19797443123262418,0.24924869622207518,2.5426074375275265,-1.0
30,run8best,collision:target,basin,port,2.226126868249491,9.64953455321088,-1,8.475947093106514,6.26529022404321,True,42.21802000958371,0.0,0.3025966734451802,0.3025966734451802,1.9435806763749752,-0.5575484205037355
31,run8best,goal,basin,port,0.23366396928340888,10.766328830535238,-1,10.105737987004641,4.792158772764988,True,42.16300381400629,36.90488611514235,0.23897475573782329,0.56771848238459,1.7875439604183394,-0.47743674032390115
32,run8best,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.169807115966599,1.798009557332349,True,26.375474198954862,12.18326020312307,0.5581909514189132,0.7711850567814116,1.6132514897455439,0.48268227465450764
33,run8best,goal,basin,port,1.4394070464462696,10.383855597374302,-1,7.664738432810055,,False,52.36523039737858,20.719094168256134,0.25752387524171827,0.3810289578066788,2.2698952572433506,-0.49794842054446536
34,run8best,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,17.335105775849968,2.1726149102644285,0.4122320395186236,0.5015613260370604,1.3737517849997571,
35,run8best,goal,basin,starboard,1.622891763736585,9.608986499702809,1,9.793027751799997,9.793027751799997,False,47.54757255408447,46.46518554554234,0.1963808264956854,0.2299292811360311,2.2939584527735857,-0.9771001736323038
36,run8best,goal,basin,starboard,2.3463067862190936,8.140740085111329,1,6.227836448908537,6.786473876931082,False,52.74655099576745,44.572525459780024,0.16099322812209407,0.1915745221092252,3.2772122017864835,-1.0
37,run8best,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,29.348854481026166,-0.0,0.41433050615276323,0.5094762125877758,1.5998451668332607,
38,run8best,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.898862039193283,-0.3890960363830207,False,24.827608091541435,29.958301309724106,0.28909474869908414,0.616345838411982,2.576396912876934,0.2333964937263065
39,run8best,goal,basin,port,0.21478633800013247,9.527681597408542,-1,8.005821279439768,4.8653226305076265,True,47.8300607833076,32.66652153461797,0.2306200661777169,0.4369234997157507,1.228099157588715,-0.738654026859685
20,reference,goal,basin,starboard,2.455380360551736,9.042169361535493,1,6.889275166733601,,True,13.859079404511078,24.877191230713436,0.3781689246716091,0.4761325497081439,2.6771492318794485,0.0
21,reference,goal,basin,starboard,0.3757033796243289,9.49896904568514,1,7.113890717132605,4.9893513039964,True,32.967597829446476,14.19307446739208,0.3062264252473632,0.31922334114159656,1.6125209733341188,-1.0
22,reference,goal,basin,port,1.4601377428364724,8.377208724734128,-1,6.038110664978421,1.9978902207646727,True,14.86937919408723,6.138597670839431,0.3554526485932747,0.38249766006034225,2.2565675256562048,-0.7321428571428571
23,reference,goal,basin,port,0.8128280920360667,10.13576215092496,0,,-7.782188705576533,,26.03297725371624,33.55626436938911,0.2738939211282775,0.2974615499043617,1.9993874936230274,
24,reference,goal,channel,starboard,2.4658059993829493,8.556858237844443,0,,3.053959934193376,,15.133115862972659,25.496803899356564,0.45680093761044194,0.5341313946463634,2.4163255001971,
25,reference,goal,basin,starboard,0.011672841727625172,9.689499897718894,1,8.201259793526605,5.383117142335886,True,35.4457876062676,23.26791198622641,0.27145734724574755,0.27145734724574755,1.1718015251079594,-0.7205882352941176
26,reference,goal,basin,port,2.4529873854013067,9.062939829678658,-1,6.985774541281743,1.8747604055252363,True,20.58900442568813,36.90912779026968,0.2666638510452624,0.48581801859549334,2.2217259647953025,-0.06666666666666667
27,reference,collision:target,channel,port,0.17000430075675282,11.63413261725211,-1,10.952395145768666,4.216509097880983,True,33.04342542045697,0.18785510680356765,0.31088995447773055,0.3143877267679307,1.479824050776271,-0.631578947368421
28,reference,collision:obstacle,basin,port,0.23622966892240083,8.507879150870341,-1,6.5867915562927015,4.160340615966486,True,48.81850162396745,32.49703777026298,0.17743284883934005,0.42490262519450034,1.1797802849979195,-0.18333333333333332
29,reference,goal,basin,starboard,1.5379687920128267,9.281948455447523,1,6.696675193763137,2.155379717599689,True,36.131066359957515,44.92591860499107,0.2109536014732758,0.30009451845328,2.4464205345557493,-0.7794117647058824
30,reference,goal,basin,port,2.226126868249491,9.64953455321088,-1,8.083901776555455,-4.1577878051600825,True,36.19163202933066,27.176687857729206,0.2686616673312465,0.29205632469025705,2.065030521917643,-0.7
31,reference,goal,basin,port,0.23366396928340888,10.766328830535238,-1,8.531553971623735,4.245457030796158,True,34.47159068481375,39.20748259922942,0.3081970279500651,0.3194627432914338,1.2634646239881016,-0.7763157894736842
32,reference,goal,basin,port,1.624241388782099,8.020618658983967,-1,6.654773527505109,,,4.5293521054240955,5.7726219427214005,0.48608552313300474,0.5448756144073621,1.6346337186459816,0.0
33,reference,collision:obstacle,basin,port,1.4394070464462696,10.383855597374302,-1,7.245092432499305,,False,23.427498341559726,13.149482617524342,0.34775204790748837,0.39656845212410086,1.9187002564163729,-0.5138888888888888
34,reference,collision:target,basin,port,0.9180185044120603,12.325303409659567,0,,,,28.61023866279419,1.1344052259545379,0.5114780340282551,0.5114780340282551,1.4125158834978528,
35,reference,collision:target,basin,starboard,1.622891763736585,9.608986499702809,0,,4.245382134726259,,2.488492724934247,22.065316091190482,0.4005306975110571,0.4005306975110571,1.6214568589746206,
36,reference,collision:obstacle,basin,starboard,2.3463067862190936,8.140740085111329,1,6.11858586377589,0.4385779014853533,False,16.860627174969636,14.910240864056561,0.38137515547695744,0.43453780411603626,2.733503833314234,-0.3888888888888889
37,reference,collision:target,basin,port,1.0854240390193897,8.18335307064365,0,,,,33.28013106108409,-0.0,0.5060980325822475,0.5060980325822475,1.4540190346416901,
38,reference,goal,basin,starboard,2.255702132700812,8.105535018521422,1,5.750396778972043,2.2495928486520076,True,31.32589258851874,37.79957089494815,0.2976749617717501,0.5096940764152985,1.8728174249589369,0.0
39,reference,collision:target,basin,port,0.21478633800013247,9.527681597408542,-1,7.626493887884505,7.422467030399197,False,34.19404577683184,14.160467231118787,0.29081398658753915,0.30245785494695077,1.25808616330891,-0.7941176470588235
