mode,set,scenario,true_range,pos_err,course_err,speed_err,dis_err,clears_disagree
centroid,head_on_width,0,14.194764322125202,0.7458029874431928,11.625519945405244,0.006202976011407235,2.732361173036959,True
centroid,head_on_width,0,13.67859688271096,0.7923927925396873,8.236950921191777,0.03986466650075049,1.8991089051643764,True
centroid,head_on_width,0,13.16282224299324,0.7855681853804544,5.561800046852426,0.013067014904000085,1.264588966487572,False
centroid,head_on_width,0,12.647412798035072,0.7718217211434495,0.0696238607797568,0.0060334723692467285,0.026029113600356257,False
centroid,head_on_width,0,12.132345776197893,0.7367089855205537,2.049872707702491,0.03626410985126616,0.05060283122409523,False
centroid,head_on_width,0,11.617603117759305,0.7631270915376569,3.8286661986713852,0.008321411352377128,0.3744279125417926,False
centroid,head_on_width,0,11.103171469163689,0.7454383785591295,4.994031834335431,0.012091817134195881,0.6584941014135175,False
centroid,head_on_width,0,10.589042312801167,0.7719294213650991,2.852458051364408,0.019319110501446857,0.5100215214126718,False
centroid,head_on_width,0,10.075212262852274,0.7811424953772357,1.4839537229055395,0.01901150102644511,0.14052939891046723,False
centroid,head_on_width,0,9.561683573105062,0.753511425804464,1.3799779889515946,0.01701290961377011,0.19869776656346314,False
centroid,head_on_width,0,9.048464925463074,0.7193369019714118,5.931375141598835,0.04130570388162369,0.9114052578169568,False
centroid,head_on_width,0,8.535572602594142,0.6873390697211009,2.2276013469723353,0.05281797458387,0.3489516620561493,False
centroid,head_on_width,0,8.02303220239629,0.7450877504396681,1.3698329216381921,0.029843694857066727,0.07113503534510521,False
centroid,head_on_width,0,7.510881138846358,0.7453098201839048,0.7605261606172746,0.01556042389543949,0.06772889693945482,False
centroid,head_on_width,0,6.999172316937289,0.7462415804059157,1.6049543765746819,0.00932066630063999,0.1637896410737246,False
centroid,head_on_width,0,6.487979612471181,0.7434900340527489,4.989173094067041,0.003552767550091984,0.056615314526953675,False
centroid,head_on_width,0,5.97740621434673,0.7078683749674078,5.741390683253542,0.032658005282732494,0.026580873668059057,False
centroid,head_on_width,0,5.467597665650844,0.7390057112296046,0.6703968776255067,0.01327548853189875,0.08632803069050313,False
centroid,head_on_width,0,4.958762922974478,0.76169087213773,1.4608385154361088,0.02853169411088774,0.14826229742699534,False
centroid,head_on_width,0,4.4512097222114315,0.715963633575419,0.7773255035737066,0.029751613557391088,0.09135811360004947,False
centroid,head_on_width,0,3.9454068358482806,0.6688409773479369,8.216069727973888,0.06284200144902152,0.3085802124978848,False
centroid,head_on_width,0,3.4421001015292836,0.5966773424246645,3.84472269504505,0.10372226345731067,0.28388026605050853,False
centroid,head_on_width,0,2.9425442835862383,0.5540000033135392,8.268048667898057,0.10079722165999788,0.48050672021312935,False
centroid,head_on_width,0,2.4490082031740483,0.3903838717619656,28.035562711413775,0.23781761593640888,0.11488105249804614,False
centroid,head_on_width,0,1.9660006089422581,0.30035209710552707,119.16037943774165,0.35527463869808235,1.399491229049604,True
centroid,head_on_width,0,1.5036675730075224,0.5829056215544206,159.801418037262,0.28627382096818876,1.2531065594977604,True
centroid,head_on_width,0,1.0886347378855739,0.900277017818384,159.801418037262,0.28627382096818876,1.0394488058801032,False
centroid,head_on_width,0,0.7983792896853941,1.2278424381474562,159.801418037262,0.28627382096818876,0.8269201395557817,False
centroid,head_on_width,0,0.7860031542208651,1.5591901731192146,159.801418037262,0.28627382096818876,0.595618539519876,False
centroid,head_on_width,0,3.4040652364341915,0.7062367574941805,7.813725243313456,0.02892617188751545,0.6850888959721617,False
centroid,head_on_width,0,3.9068603313076786,0.6844034340768188,0.7965215438465805,0.00687568026708979,0.6751883705738084,False
centroid,head_on_width,0,4.412172987194704,0.6747319039221737,2.6045698239365436,0.017338026143318364,0.6718852576384453,False
centroid,head_on_width,0,4.9192256805194745,0.6818737265379416,3.34321625389137,0.002886735732414991,0.6752719048298736,False
centroid,head_on_width,0,5.4275294007288375,0.7422142133290949,2.741470266426205,0.06077485390020276,0.7348118189887654,False
centroid,head_on_width,0,5.936761765206373,0.7706951577522658,3.691899514964774,0.05421089642449073,0.7684404442159662,False
centroid,head_on_width,0,6.446701892276166,0.7791107066865413,3.236590220570207,0.04013022955044149,0.7732509246797168,False
centroid,head_on_width,0,6.957193511462921,0.7771788093690519,7.362156684101336,0.017651087061905324,0.7647962857730537,False
centroid,head_on_width,0,7.468123027724386,0.8247882711799068,3.35105555442388,0.05640920645908365,0.8136831594900942,False
centroid,head_on_width,0,7.979405931386059,0.8337224403367253,3.5185507647170766,0.03523321376055549,0.8291854007937269,False
centroid,head_on_width,0,8.490978077954432,0.8663213400697686,0.6885501429173644,0.051430628781050425,0.8594994225186072,False
centroid,head_on_width,0,9.002789920505665,0.8614377550037182,3.7557091246353025,0.021664734193273028,0.8512048531390128,False
centroid,head_on_width,0,9.514802592696803,0.8452215834565056,1.0737968305228094,0.004934022439009589,0.8394376081231947,False
centroid,head_on_width,0,10.026985185977193,0.8232324802120924,2.3223074329604287,0.025192905950468636,0.8198791408567256,False
centroid,head_on_width,0,10.539312817474842,0.841441784354483,2.074383384940546,0.004157525733048784,0.8387985022247797,False
centroid,head_on_width,0,11.051765233486204,0.8068980960945148,2.748138074514543,0.03000295664775443,0.8013949183927878,False
centroid,head_on_width,0,11.56432578327905,0.8222026296449644,2.7138122556676194,0.0005467468635704797,0.8155158586493076,False
centroid,head_on_width,0,12.076980653682753,0.8638582814686375,5.03531025862199,0.03881279542464794,0.8528791099162785,False
centroid,head_on_width,0,12.589718290417041,0.8775798130211124,4.4425894461301425,0.032519498207130404,0.864221407471792,False
centroid,head_on_width,0,13.1025289551743,0.8069473922236818,3.149195489206818,0.0518407894545021,0.8019219557772299,False
centroid,head_on_width,0,13.615404382763053,0.7830528058403644,8.011507156812428,0.0589738577574479,0.782787290990548,False
centroid,head_on_width,0,14.128337512943752,0.7987055664644886,1.0115722590528264,0.00978482024465388,0.7969388432893858,False
centroid,head_on_width,0,14.641322278672396,0.8504650228643882,4.794687577560353,0.04104740794101369,0.8501276920689875,False
centroid,head_on_width,0,15.154353437403465,0.8754385110097337,1.4539692962972879,0.04691383334726468,0.87476803989723,False
centroid,head_on_width,0,15.667426435590688,0.8510619475675917,5.315922663408685,0.0015878560215612514,0.8470108581861755,False
centroid,head_on_width,0,16.180537299020045,0.8524606462695568,5.315922663408685,0.0015878560215612514,0.8460254591467322,False
centroid,head_on_width,0,16.693682543416838,0.854445440513015,5.315922663408685,0.0015878560215612514,0.8450735569061791,False
centroid,head_on_width,0,17.206859101092647,0.8570122582104948,5.315922663408685,0.0015878560215612514,0.8441521618879406,False
centroid,head_on_width,1,15.068317998271606,0.729240792665722,0.15798926917381095,0.007877145222281001,0.012667918847244275,False
centroid,head_on_width,1,14.474516504326676,0.7307369709509562,7.3750977209639075,0.002874657985775131,0.02589802786750539,False
centroid,head_on_width,1,13.88049920069878,0.7397091792710563,0.33432986053017544,0.013234157450403905,0.009540036858934675,False
centroid,head_on_width,1,13.286328038561548,0.6839512570795281,8.463959262729503,0.0385052190109173,1.8595282832728208,True
centroid,head_on_width,1,12.69206584717735,0.7164366329883607,8.941493021217411,0.012501761806738898,1.9204347722218642,True
centroid,head_on_width,1,12.097777774625476,0.7246842124904938,0.46691251188681804,0.014222322686502142,0.0739316809339462,False
centroid,head_on_width,1,11.503533039168465,0.7214111579365041,2.7694986667211765,0.00503716847522051,0.530405213565899,False
