policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,head_on,4.667290875464451,1.1610102603999974,187.80749831200077,,,,goal,False,False,60,57.85488164240141,-47.28051490740304,17,0,0,0,17,5.425397436128021,0.0,0.0,0.0,4.538843910793184,0.6365306173607427,0.834788552152669,1.383897512254828,0.21207511212854868,0,,False,head_on,23,0.0,False,0.0,development,0
model,head_on,9.256378717080882,0.20474741612103542,180.38068801318752,,,,goal,False,False,67,117.4248704009757,-17.220225273505857,8,0,1,0,3,3.2696464737979785,0.0,0.003863087406993839,0.0,0.22701513634237427,0.5899903981896358,0.6512015237118727,2.3587481019232523,1.2142133854146093,0,,False,head_on,28,0.0,False,0.0,development,1
model,head_on,9.263701505753867,0.897791774817988,172.71295063227146,,,,goal,False,False,65,90.2393828775041,-29.773352913113385,8,0,4,0,10,4.000257153457813,0.0,0.5888281977720127,0.0,1.7449552203373242,0.6119274679900848,0.7589709455728034,1.1476076694704884,1.0944350891992851,0,,False,head_on,33,0.0,False,0.0,development,2
model,head_on,8.158253975323385,1.8272577111061343,176.89685849442876,,,,goal,False,False,63,138.1441639572629,-6.459602990712676,8,0,0,0,2,1.2635116212426116,0.0,0.0,0.0,0.045604547902610565,0.602395877623932,0.6740712059926666,3.2976446440058025,0.8165461166883765,0,,False,head_on,27,0.0,False,0.0,development,3
model,head_on,9.79861013596842,0.7870190103627532,171.75048692996666,,,,goal,False,False,64,132.23992942196088,-11.838928011727983,8,0,0,0,10,1.391876952958544,0.0,0.0,0.0,1.0998082432407086,0.6060851199143757,0.6585849363259676,2.370342623604833,0.9798860028090668,0,,False,head_on,19,0.0,False,0.0,development,4
model,head_on,6.794447015498243,0.8224691630005858,186.22450347871333,,,,goal,False,False,63,100.99549845156226,-10.712834116440085,7,0,5,0,9,0.998066640498162,0.0,0.1873104595664707,0.0,1.1329081314521976,0.6346551177950788,0.8174063028052747,1.3636404260413721,1.2401954216074484,0,,False,head_on,27,0.0,False,0.0,development,5
model,head_on,9.352354251818824,0.74419208150055,189.8666552294396,,,,goal,False,False,68,125.65902277184341,-11.169227071433182,12,0,0,0,5,1.9902204019098266,0.0,0.0,0.0,0.29280801821767566,0.5830752829478304,0.6812949849347913,2.6466254377713745,1.0085339629021008,0,,False,head_on,24,0.0,False,0.0,development,6
model,head_on,9.226265367820247,0.8555041831564252,181.15020586074925,,,,goal,False,False,62,94.92674798244313,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6254133657218212,0.7744278093683159,2.2739756777466433,0.9735140979860984,0,,False,never,0,0.0,False,0.0,development,7
model,head_on,6.058594996054423,1.840716953859967,178.36331706632063,,,,goal,False,False,57,125.58990557434184,-3.7369761803208776,10,0,0,0,2,0.6511801528942172,0.0,0.0,0.0,0.11414098299877816,0.6710807892948941,0.74780885704818,2.918920700258038,0.5895677701107477,0,,False,head_on,20,0.0,False,0.0,development,8
model,head_on,9.200193065365328,1.0046474696443757,171.65872531824064,,,,goal,False,False,63,44.22121009705556,-5.746683793150862,5,0,0,0,2,1.010739672996572,0.0,0.0,0.0,0.1652272026261845,0.6243676192466168,0.8696210436257786,2.7333805457697156,1.7313236744441214,0,,False,head_on,23,0.0,False,0.0,development,9
