#{"t_start": 1787213349.9146369, "env_id": "None"}
r,l,t
-990.97864,70,180.389793
-973.0794,205,264.877839
-987.99976,78,265.654747
-972.47003,130,265.829717
-992.77325,166,266.058309
-986.83246,80,266.611991
-966.51843,219,267.214633
-980.76733,95,269.189774
-990.26575,72,269.982646
-972.2085,123,270.028295
-976.9017,179,270.65619
-977.80945,203,270.767271
-982.03644,205,270.919477
-964.4526,211,272.781186
-987.8129,179,272.869366
-977.6733,105,273.942204
-966.14075,131,274.201702
-990.53064,75,274.772041
97.05695,184,275.005527
106.18816,183,275.40288
-966.47736,130,276.198745
81.01724,199,276.337524
-962.1254,211,276.745903
-962.744,142,277.715879
-980.8733,99,277.917807
-986.73505,80,278.224705
-983.23694,173,278.252323
-971.35,132,278.302764
-982.4576,94,278.693486
97.96727,195,279.541925
-985.42694,84,280.156932
-973.4082,149,280.275998
-981.4678,94,280.377404
-990.16376,72,281.875466
-989.04535,186,282.235053
-963.0998,211,282.636882
-978.70764,100,282.731688
-976.83246,206,283.063955
-972.8816,120,283.086287
-959.31885,208,283.48486
95.01356,184,283.821636
-985.46783,106,284.398156
-978.2078,108,285.294476
-979.3407,99,285.566231
-978.00885,103,285.647085
-990.8535,70,286.236772
-977.27924,165,286.365699
-980.92236,98,286.399823
-963.2385,138,287.224415
-980.5796,97,287.991465
-960.9956,215,288.359626
-982.8296,91,288.896276
-985.53986,84,289.434958
-995.9656,139,289.49845
-994.1754,65,289.80458
-987.0319,81,290.7991
-984.0571,167,291.153833
-985.8925,191,291.153833
-977.5302,104,292.588231
-986.4409,210,293.25808
-978.26154,105,294.064402
-992.6965,66,296.599827
-974.1294,118,298.297713
-983.5505,217,298.911922
-966.8225,218,299.038075
-977.2276,180,299.528403
104.76713,182,299.629419
-962.1667,210,300.464106
-981.912,151,303.211076
-981.31287,206,303.394443
-981.56744,94,303.505254
-980.03564,146,304.724644
-983.3366,153,304.839635
-980.3252,142,305.004237
102.49098,187,305.369257
-988.6951,76,305.578882
-976.62823,107,306.465467
-972.4226,116,306.495687
-988.2756,77,306.871626
-974.1278,215,307.393351
-1001.7212,135,309.261113
-991.38477,175,309.739154
-966.0,142,310.426379
99.654785,188,310.484866
-967.52747,212,310.517256
-973.158,180,311.593259
100.33211,192,312.357552
-979.36786,101,312.670965
-980.8126,96,313.163494
-979.21655,99,313.29959
-982.5873,214,313.395331
-985.8283,83,314.749622
-962.19586,206,314.88004
-993.34174,72,314.987123
-988.0724,166,315.84931
-976.7517,105,315.921362
-997.175,164,316.498041
-966.64417,229,316.597914
-992.583,66,316.650511
-984.3431,168,317.693138
-979.1161,125,318.083781
-971.3334,118,318.922412
-978.9979,127,319.74807
-989.52795,151,319.804075
-966.1152,131,320.015663
-974.1302,213,320.192901
-978.00525,102,320.285484
-988.3723,80,320.954714
95.369774,188,321.447167
-993.5806,64,321.851497
-986.5241,81,322.113941
-974.5568,170,322.485344
-981.0956,96,322.875169
-979.1125,101,323.859922
-962.2021,149,323.982751
-965.9353,178,324.831987
-990.9701,70,410.192857
-991.37085,70,410.303205
-989.6171,157,410.331841
-972.2217,118,410.331841
-992.5546,66,410.894881
-972.65643,167,411.258405
82.836815,201,411.88326
-991.9907,71,412.179672
-980.7922,99,488.757246
-976.25037,106,489.111895
-981.98846,92,489.380852
-978.0783,230,489.652963
-970.08936,152,490.368827
-979.37866,99,490.921269
-992.5974,66,490.98827
-971.2509,163,491.796114
-980.508,98,492.223118
-983.7568,197,493.536793
-963.96783,138,493.692539
-993.3105,64,493.724025
-981.62946,105,494.135966
103.14016,188,494.282703
-983.23694,89,494.865788
-969.9477,188,496.036587
-985.34424,86,496.17641
-985.109,86,496.331076
-999.0154,182,496.458935
-976.99054,112,497.613602
-972.0378,117,497.91114
-986.8321,133,498.849192
-978.4272,186,499.24473
-973.70197,120,499.755597
-994.4417,142,500.214162
-982.5258,91,500.340994
-990.1572,72,501.649525
-961.76105,213,501.935408
-973.4651,212,502.216354
-997.45123,129,502.637781
-984.4407,133,503.886903
-978.12305,187,503.965872
-980.3249,133,504.02818
-957.91,240,504.189389
-986.5502,82,504.335173
-981.32666,97,504.436318
-980.5076,96,505.538608
-972.33093,137,506.399827
-982.09406,92,506.654753
-978.966,105,507.505456
-983.3631,91,508.286997
-968.26166,140,508.409727
-968.0633,152,508.584453
-988.1132,78,509.008801
-978.07874,192,509.782529
-986.1024,199,510.441364
-989.52924,76,510.585468
-993.8716,63,511.696008
-967.4867,181,511.860766
-973.4785,113,511.860766
-983.92224,133,512.696765
-988.5728,76,512.823277
-991.2698,89,513.358044
-969.8616,197,513.532205
-979.6525,211,515.240839
-986.3497,125,515.305789
-988.57886,76,515.424348
-965.7331,136,515.715314
-990.71564,137,516.463222
-967.3739,142,516.490842
-984.8582,174,516.650751
-986.8282,94,517.701639
-981.7839,96,517.811796
-977.54333,176,518.328284
-981.6185,95,519.534109
-981.26337,97,519.635091
-970.89764,129,521.305823
-984.67554,172,521.561712
-980.92847,99,521.846159
105.66655,208,522.525073
-966.6956,132,523.649802
-979.52124,99,523.725063
-974.9085,110,525.35164
83.14309,204,525.41204
-992.44934,66,525.850496
-986.3083,82,526.279042
94.565384,189,526.457834
-990.39764,148,526.603315
-990.2705,72,527.63099
-989.4869,74,527.631989
103.18443,192,528.168323
-985.2401,203,528.951538
-968.444,128,529.681412
-976.7633,107,529.874806
-992.6015,66,530.287561
-979.235,136,530.683536
-990.1647,72,532.671733
-990.97375,70,532.819497
-979.04974,100,533.051732
-967.40735,218,533.426607
90.20874,194,533.796653
-987.4025,155,534.05922
97.58741,221,534.563888
-984.7411,86,535.332083
-976.3373,107,535.745628
-981.1809,94,535.786242
91.44971,191,535.857976
-978.5651,108,536.67246
-992.90686,67,537.370581
-980.5882,96,538.10231
-977.18036,105,538.42758
-963.3976,213,539.040149
-991.8561,68,539.137172
92.66148,202,539.29295
-1003.68036,176,539.754511
-958.95404,212,539.941098
-986.65265,176,541.277598
-982.6382,91,542.223093
-992.73096,156,542.552285
-964.16394,138,543.705503
-979.7876,99,543.867218
-977.4005,173,543.892724
-981.01385,221,543.99657
-979.4197,185,544.060164
-969.1932,214,544.789263
-985.78455,83,544.83849
-990.16675,72,545.939259
-992.69586,66,630.504245
-977.1159,115,630.943163
102.118904,182,630.969831
-978.01984,103,631.299256
-985.91095,83,631.794661
-954.52783,206,632.87276
94.57123,199,633.035738
-960.81726,217,633.379887
-986.8802,82,633.380888
-982.00494,126,634.2226
-973.77216,154,634.920732
-991.1498,70,635.253735
93.91624,204,635.633584
103.40226,191,636.684296
-979.8854,144,637.687081
93.181274,193,637.875429
-975.30225,212,638.160815
-994.47327,136,638.410691
-987.6289,233,639.174515
-970.3994,209,639.986823
-990.4834,72,640.033796
98.6363,188,640.253974
-993.6683,63,640.844638
-996.2405,186,641.369083
-980.2142,184,642.535386
-993.4624,66,642.62595
-975.13635,162,642.773901
-979.11365,104,642.818364
-972.04315,228,643.926385
-972.9242,118,644.533083
-984.2961,172,644.845986
101.32279,188,645.043761
-978.5324,102,645.165026
-983.22296,89,646.867997
-992.7759,166,647.138634
-976.23914,169,647.277338
-973.62115,181,647.367186
-986.92896,157,649.616656
-959.8061,209,649.706853
-995.5733,180,650.042412
-980.7512,95,650.369473
-972.83,117,650.629949
-986.34235,122,651.300447
94.758125,205,651.468538
-991.65454,68,653.758429
-974.31226,111,654.805357
92.146545,192,655.021772
-977.96265,113,656.249381
-999.5541,183,657.599795
93.946075,195,657.745783
-981.20013,214,657.983695
-973.4284,114,658.370868
-973.4289,125,658.79453
-969.5678,158,658.928459
-967.37256,225,659.366714
-964.8682,134,659.881397
-985.6988,84,659.966409
-993.8402,63,659.993691
-985.9923,88,660.299558
-991.72516,68,660.647062
-988.30225,81,661.440246
-984.4721,90,662.149039
-993.7286,63,662.180613
-978.16455,102,662.392441
99.804695,189,662.424818
88.738914,196,663.879994
-981.19855,95,664.055646
100.380066,199,665.535272
-973.895,201,666.077483
-988.36365,77,666.541769
-975.2107,137,666.581517
-984.43756,87,667.09088
-989.0731,162,667.406039
-998.0596,173,668.056731
-967.60297,199,668.827234
-980.7528,103,669.003582
-979.10315,100,669.785095
-973.1213,122,670.382173
-992.62305,66,670.807239
-979.2119,99,671.037989
-982.0036,93,671.726778
-960.4476,190,671.967551
-989.5687,75,672.557234
103.026245,185,672.650064
-976.8616,105,672.826166
-989.3802,74,672.983919
85.36751,198,673.331594
-980.4012,99,673.974049
-992.62213,66,674.563933
-983.0149,96,674.759463
-967.65356,141,676.545696
-964.5255,136,676.680001
-984.7782,185,678.290804
-992.2868,133,678.615332
99.02753,183,678.615332
-989.9217,163,678.655482
-986.5192,81,679.086828
-980.3657,263,679.284635
-981.66675,96,679.328861
103.661545,190,679.811828
-977.9796,103,680.991943
-992.6166,66,681.305267
-979.627,98,681.482726
-963.14124,181,682.565488
-990.9639,168,682.904654
95.9474,198,683.21355
-980.3414,101,683.376945
-963.7724,204,683.404534
-983.38947,94,683.525339
88.9927,188,683.674438
-982.16626,131,684.750202
-989.57324,74,685.180841
-976.3886,106,685.756084
-970.80475,124,685.86996
-982.3979,131,687.109083
-980.8308,97,687.386504
104.46865,184,765.928192
-963.6992,173,765.928192
-980.1316,97,765.961284
-970.45056,123,765.98919
-974.5269,116,766.131927
-961.54504,212,766.26625
-991.85315,69,766.979203
-987.91833,78,767.027667
-979.56226,98,767.542799
-975.73956,110,767.815925
100.10219,187,767.84483
-993.3735,64,767.84483
94.36835,193,768.114153
-1007.90784,180,768.436647
-973.57043,113,768.58893
-952.828,207,768.874599
-977.5262,103,768.995003
-990.3606,72,769.146022
-981.4632,95,769.203574
-974.2445,116,769.519474
-975.5276,110,770.900835
-978.88824,205,770.934426
97.89503,186,771.33834
100.75972,194,772.013995
98.24502,188,772.230076
100.17966,211,772.501035
-971.09717,248,772.674201
-977.8374,102,772.807521
86.00103,194,772.877095
-985.20557,97,773.159595
-995.9182,169,774.084078
-982.179,92,774.513456
-968.88116,149,774.936942
-993.57697,65,775.364664
-966.2871,131,775.665307
-987.88153,155,775.7776
98.21214,189,775.844294
-978.27826,162,775.941909
100.10321,184,775.991173
-983.9277,88,777.169791
-971.76556,162,777.566083
-969.43353,123,777.599856
104.2198,195,777.728634
-971.67114,137,778.054218
90.58711,188,778.304924
-982.0988,155,778.37812
-985.43555,178,778.584595
-985.98145,86,778.86754
-965.6389,135,779.540561
-969.76904,127,779.581429
94.31551,198,780.092657
-981.81366,128,780.22972
99.32602,183,780.703745
-975.0932,176,780.828008
-979.9989,98,780.982025
-993.76697,170,781.009287
-987.04004,83,781.231111
-986.2189,175,781.342405
-980.42236,135,781.454079
-981.60693,94,782.354362
-981.426,119,782.544571
-989.05066,169,782.646156
-985.37634,171,783.16967
-971.6719,121,783.227479
-990.1586,72,783.406899
-976.99445,153,783.471264
98.32879,198,783.833862
-1017.933,197,784.181053
-985.0181,85,784.393097
97.83564,186,785.115936
95.92587,190,785.254745
-981.3544,158,785.309352
-985.56104,84,785.511371
-964.28906,139,785.676673
-990.0328,176,785.764894
96.67127,184,785.906874
-969.15985,160,786.247409
-982.5914,92,786.272581
-985.1877,84,786.370025
-969.80963,124,786.901124
-990.79724,127,787.579417
-984.3333,146,787.579417
-977.1069,104,787.754678
97.63699,188,788.187623
-964.35406,228,788.436762
-989.9583,74,788.50169
-1000.49255,174,788.548304
-986.57996,81,788.599489
92.89079,200,788.947055
102.4835,206,789.559344
-984.2078,89,789.724039
-993.2619,66,789.780096
-960.9024,178,790.108724
-966.6214,171,790.476592
-975.3514,156,790.543515
-980.63336,97,791.078821
95.262054,188,791.091798
-995.97986,188,791.143617
-976.3231,159,791.708007
-983.78906,90,791.762944
-993.4357,64,791.940154
-985.241,88,792.901128
95.864006,185,792.929252
-977.26514,104,793.059344
-992.0164,231,793.164525
-987.2047,266,793.23498
99.75774,186,793.495388
-992.84235,66,793.730628
-985.79297,201,793.745174
-975.5808,109,794.394811
-963.8541,219,794.681243
-977.78406,103,794.767737
-964.7808,150,795.004949
-980.2459,181,825.701437
-990.3456,72,825.853556
-970.7593,236,826.026825
-964.3237,182,826.184952
102.56096,191,826.356784
-981.29626,94,826.466211
-979.8952,97,827.177863
102.10197,186,827.236877
-974.10785,180,827.553748
-977.7325,104,827.889593
-970.87225,121,827.93512
103.82632,184,869.47427
95.059845,195,869.561702
-965.73834,153,869.645458
101.665184,211,869.683388
-982.9919,146,870.208778
98.97502,198,870.482435
93.61654,185,870.572671
-987.91534,78,870.885492
103.19921,190,870.976311
-979.26324,101,871.293172
-989.3464,74,872.096977
-970.85895,133,872.538609
-971.29663,118,873.057873
-999.53864,164,873.073335
-963.43506,237,873.458823
102.33347,214,873.698636
-971.70465,255,873.880026
-972.4848,221,874.378555
-993.8836,63,874.683799
-994.9386,218,875.462444
93.04173,190,875.522244
-1009.2017,165,875.671777
-978.5019,159,876.155382
-958.30304,236,876.778566
-967.2349,221,876.881131
-988.86475,164,877.105666
-976.40753,111,877.211837
-986.5875,208,877.429232
-979.339,149,877.687037
-986.8181,80,878.293521
101.39898,202,878.690445
-970.2481,132,878.690445
-978.8824,105,878.964854
-985.1414,160,879.165324
87.84655,209,879.278471
-991.3776,145,879.912655
-981.124,108,880.332239
80.37843,213,880.38567
-984.1564,141,880.796097
-982.46826,138,881.051663
-986.5535,86,881.137233
78.227264,243,881.852526
103.61172,204,882.376165
-982.0253,94,882.69392
-963.73706,239,882.984333
91.12917,214,883.760603
95.03743,215,883.837836
-980.3395,99,884.120267
102.070755,191,884.182039
-976.0544,137,884.212933
-983.49115,235,884.546043
-986.5314,81,884.930254
-989.8297,79,885.115793
-987.69226,83,885.240809
98.27439,189,885.698338
-984.9288,215,885.833672
93.94515,193,886.361041
-976.7968,106,886.669038
96.907455,192,886.68224
-981.28284,95,887.022608
-1003.66614,174,887.209068
93.22139,208,887.241648
100.07662,201,887.879634
-983.65546,90,888.326608
-972.82495,243,888.957036
-1011.5236,176,889.098131
-975.6609,216,889.283828
-984.49896,200,889.402251
-997.3456,159,889.444693
-991.3813,159,890.022996
-979.98486,97,890.3052
-957.30206,224,890.350646
-974.8148,149,890.368437
-987.45984,80,890.561243
-988.66473,105,891.003683
-967.3025,138,891.112524
-985.6349,85,891.671469
-993.7937,64,892.071701
100.504395,190,892.10246
-988.4302,76,892.14753
-972.59735,123,892.182587
-997.2877,166,892.831238
-987.921,78,893.183712
-986.34076,82,893.28176
-974.3898,225,893.323915
90.24395,197,893.42984
-965.0806,138,893.58986
-967.4553,132,893.995301
-993.62805,64,894.484918
100.354095,195,894.802584
-976.341,115,894.948645
-984.3051,124,895.042272
-969.1163,145,895.5842
104.689766,190,895.601434
-990.8692,71,895.618725
102.9978,190,895.966063
-977.652,141,896.116222
-973.8521,116,923.885439
-970.589,123,924.0539
-976.77466,106,924.387197
100.67009,191,924.58002
103.094124,198,924.847238
96.42837,223,925.040919
-991.841,68,925.418789
-998.4519,194,925.507109
96.03611,202,926.296929
-977.8572,109,926.903833
-990.58,91,927.333674
-988.81396,76,927.388837
-981.06866,122,927.575649
-989.506,160,927.604946
-990.3534,72,930.129544
-990.4023,182,930.980806
-972.86926,139,931.340325
-988.387,165,931.427486
82.087456,245,931.841994
103.95147,186,932.741427
106.217964,188,932.82486
-970.5113,124,933.834904
-976.4739,130,934.314122
-966.963,251,934.358256
99.91253,191,934.611084
-971.9003,128,935.49178
98.28602,198,935.583595
-965.85474,144,935.716047
101.58004,202,936.020024
-966.1227,166,936.966507
-981.3715,95,937.260032
-987.7982,177,937.575761
-991.585,182,937.625846
-983.40753,98,937.722285
106.276344,189,938.049163
-993.3636,66,938.177113
-990.16974,74,938.649102
102.437805,183,939.066509
104.639404,209,939.283007
-975.93115,116,939.742469
-977.22565,113,939.774001
-969.5225,127,940.238273
-985.2188,85,940.537725
104.88685,189,940.716314
-989.38446,74,940.792041
-984.3008,91,941.370169
-963.5857,223,941.501602
98.67011,207,941.611582
-991.2171,70,941.647155
96.81375,192,941.686418
101.10358,198,942.336499
-977.36993,111,943.034828
-975.1131,110,943.373955
-970.4558,140,943.612352
101.25947,212,943.702099
-948.3868,240,943.890644
101.87724,185,944.349375
-1009.1031,196,944.581047
100.58845,203,945.371874
-985.5562,173,945.472441
-998.63434,154,946.083672
-975.72076,109,946.103688
106.852455,211,946.606139
-992.56934,66,946.716771
-969.4614,132,946.766605
-982.50494,96,947.07676
-991.8301,68,947.188654
-991.5543,70,947.234128
87.65574,224,947.423943
-967.0326,268,947.741095
-983.7483,89,948.00892
-985.03796,101,948.510951
-979.01605,107,948.765755
-969.03516,161,949.109076
101.98732,199,949.781698
101.38401,189,950.262473
97.09527,185,950.545707
-960.10187,249,950.898691
-980.288,156,951.138227
-979.77814,153,951.29628
102.573456,219,951.314615
95.71584,188,951.384243
-971.5434,119,951.513668
-992.8758,67,952.320681
-984.7123,86,952.522572
-1007.2248,167,952.628381
-982.3885,98,952.668025
-981.14453,154,952.709157
-973.6013,114,953.055492
99.589905,196,953.798358
-982.5625,91,954.062816
-992.92633,66,954.179547
98.81956,210,954.241791
-965.8578,147,954.696376
94.20967,194,955.097289
-978.41797,112,955.27265
103.007065,190,955.375556
-975.6057,108,955.562445
97.754715,211,955.691859
-979.0567,99,955.948806
99.84246,196,956.751815
104.83381,186,956.791398
-972.7178,126,956.882009
-968.71454,132,957.401582
105.748886,193,957.885171
103.637535,186,957.902373
-980.26373,101,958.160893
105.481224,197,983.02425
-980.791,109,983.290998
-992.66736,164,983.321995
98.984245,229,983.482978
106.72495,197,983.708988
-970.7121,132,984.187977
-990.0382,161,985.253181
99.65542,209,986.05022
100.39195,207,987.153949
101.469345,199,987.913653
75.65206,203,988.394944
-988.6935,229,988.557437
97.650185,204,988.866598
-988.56354,112,989.877288
101.6332,191,990.269859
-974.2339,247,990.460299
95.82438,199,991.09169
-991.022,70,991.814431
98.495125,192,992.239359
90.59922,204,992.810006
92.57436,194,993.010651
-980.38196,129,993.05225
-990.86285,70,993.537354
-980.7302,132,993.638842
-983.31116,243,993.676146
95.60955,218,994.219564
-990.048,72,994.340722
-994.82166,100,994.649847
96.58852,221,995.794523
-986.7604,153,996.149621
96.26026,212,996.669437
95.046005,197,996.90554
-994.1051,170,996.989993
89.305115,213,997.157191
99.25692,198,997.487163
95.83701,232,998.155535
-975.8665,117,998.285232
-987.5456,80,998.538644
92.06627,199,998.60291
-961.6008,229,999.288568
-991.08307,70,999.492363
95.4217,194,999.561064
106.98707,216,999.757339
95.35133,199,999.771806
-969.45905,137,1000.03074
-993.7877,143,1000.368157
-977.08527,177,1000.437468
-990.6466,135,1001.126453
-982.9935,143,1001.446503
-980.402,138,1001.446503
-987.2465,131,1001.841578
-989.2013,112,1001.914105
-988.4173,123,1002.105961
98.59436,192,1002.308331
98.291626,213,1002.592002
-996.82385,173,1003.28244
-978.5258,146,1003.711837
103.88201,195,1003.864053
92.253654,204,1003.976467
-983.1259,135,1003.991987
-991.0427,70,1004.168372
105.38541,189,1004.441288
-996.2623,164,1004.615618
-993.90857,64,1004.784554
-962.07007,258,1005.047953
-983.6812,134,1005.403431
-982.67535,92,1005.625407
-982.0315,160,1005.903275
-991.76624,70,1006.313163
97.42918,214,1006.724848
97.20358,204,1006.778502
-997.4257,161,1006.856781
-989.6888,78,1007.345101
-990.7587,225,1007.562964
-995.4579,163,1007.788774
89.393234,231,1008.11685
-991.30023,175,1008.257902
-988.6894,79,1008.707725
-982.6036,150,1008.890752
-982.39294,100,1009.213932
107.43312,206,1009.722891
92.20058,233,1009.964541
-982.4328,147,1010.193175
-986.8062,138,1010.206969
94.56825,214,1010.348186
-984.33484,88,1011.184834
103.23126,198,1011.402512
97.7045,208,1011.69771
104.316216,201,1011.912335
99.93723,193,1012.275067
-985.6132,181,1012.525017
98.81692,188,1012.633437
-986.0093,116,1012.633437
-978.3419,115,1012.845987
107.6533,203,1012.961082
-987.64594,115,1013.127734
-993.6352,63,1013.305363
-979.43585,115,1013.328187
-990.3865,146,1040.930088
-979.18524,179,1041.054436
-981.121,163,1041.334911
-984.6003,150,1042.295738
94.08587,193,1042.353014
-985.87274,185,1042.371225
91.569084,187,1042.636046
91.053345,189,1042.927501
-978.7304,101,1043.071766
100.543816,226,1044.926861
97.708374,214,1045.0049
92.52844,187,1045.319371
98.69704,201,1045.463884
-964.93134,218,1045.747371
95.326126,201,1046.004574
99.741974,213,1082.291479
-979.0471,247,1082.370064
-976.46515,109,1082.472534
-985.27136,143,1082.991243
98.29951,192,1083.300267
-978.4257,116,1083.656152
93.25368,191,1083.776273
-992.7898,66,1084.210691
92.06287,188,1084.252544
-972.7793,229,1084.593233
-984.5421,137,1084.895642
96.21716,206,1085.091904
-977.73,111,1085.378862
72.00244,255,1085.544144
98.671585,187,1086.68657
-979.5857,111,1086.855107
-1005.2639,171,1087.058148
86.518654,215,1087.608765
97.29835,216,1087.986681
-989.0077,76,1088.083464
99.06214,201,1088.482326
93.65876,229,1088.61438
-987.0797,217,1088.879823
-979.6708,168,1089.044754
-984.2182,89,1090.21431
-989.52625,112,1090.308155
95.95074,191,1090.350656
105.20276,248,1090.364468
-979.54584,104,1090.52642
97.042725,192,1090.755172
99.63357,198,1090.935985
-996.93274,170,1090.981903
-975.473,140,1092.471732
-986.2261,105,1092.561413
-988.10284,117,1092.780987
-984.92255,168,1092.828504
94.06057,196,1093.28315
82.23703,222,1093.50918
-971.60394,210,1093.661745
