policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
compliant,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,collision:boundary,True,False,39,-430.50035795204474,-18.51967157718156,11,0,6,0,7,2.1376300181377332,0.0,1.280893733390936,0.0,0.739374566042757,0.5247821290967186,0.5572649370173868,1.821430676984167,0,,False,head_on,31,0.0,False,0.0,2
compliant,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,collision:boundary,True,False,106,-440.17421655725843,-17.748791880744392,6,0,7,0,6,1.7079069220686627,0.0,0.7513368079032025,0.0,1.4644089129006626,0.5064023812189733,0.5579682112984838,1.2325819621137366,0,,False,head_on,24,0.0,False,0.0,3
compliant,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,collision:boundary,True,False,100,-1186.3597045372655,-8.410480605812268,9,0,1,0,5,1.4015892523075448,0.0,0.06757634157790153,0.0,0.27318643937988313,0.5259100526460219,0.5615282713144726,2.726787076016533,0,,False,head_on,29,0.0,False,0.0,4
compliant,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,collision:target,True,True,31,-308.0138202316354,-25.93027106541443,7,0,11,0,6,2.6807163868755466,0.0,2.197555475332025,0.0,1.0554500531522628,0.5089104269280729,0.5578765815395261,1.8926864794505618,0,,False,head_on,22,0.0,False,0.0,5
compliant,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,collision:boundary,True,False,108,-1178.5679683974477,-19.475313079937003,7,0,7,0,7,2.032961917697033,0.0,0.6529999665472511,0.0,1.5691892683925746,0.49531720654590333,0.5575835827011653,1.3479916356101402,0,,False,head_on,26,0.0,False,0.0,6
compliant,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,collision:boundary,True,False,114,-762.2959339291449,-0.5994254519931382,1,0,0,0,3,0.006194759552782562,0.0,0.0,0.0,0.12639142049041432,0.5019865766653298,0.5625978327228442,4.286966076149917,0,,False,head_on,29,0.0,False,0.0,7
compliant,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,collision:target,True,True,25,-313.78623489483704,-26.704513299030488,7,0,17,0,1,2.384291805531683,0.0,3.9620045567637945,0.0,0.14201165717755543,0.5157079505208777,0.557847510425062,1.747470878946028,0,,False,head_on,20,0.0,False,0.0,8
compliant,head_on,7.715636756725871,0.7429086685850401,175.34012998128836,,,goal,False,False,82,74.97821635836891,-6.3987093074343235,7,0,0,0,4,1.023101070003575,0.0,0.0,0.0,0.2965242246481394,0.5154752755018984,0.5571736970491616,2.306371218628367,0,,False,head_on,23,0.0,False,0.0,9
compliant,head_on,7.643066319700785,1.7056406923796066,175.83686086831378,,,collision:target,True,True,29,-303.1744471413647,-21.129447639106218,6,0,16,0,2,2.120274082674111,0.0,2.868865158369328,0.0,0.06803919105328773,0.5280489639928884,0.5594307953305302,1.7987186676432636,0,,False,head_on,23,0.0,False,0.0,10
compliant,head_on,7.958885684444756,0.5220743990799206,173.00682712496027,,,collision:boundary,True,False,110,-815.2350484668557,-13.948560246600122,6,0,4,0,6,1.9014293200677213,0.0,0.43155117262150267,0.0,0.6628668646283316,0.5091030554859707,0.5580318232465658,1.4766650241712311,0,,False,head_on,26,0.0,False,0.0,11
compliant,crossing,9.556232149411287,0.23519249649824908,258.40989345087365,starboard,,collision:target,True,True,18,-315.9989216819972,-23.587831149575962,4,5,0,0,7,1.243752301339059,1.7312529611914995,0.0,0.0,1.9692344666777102,0.52304137971326,0.5573501625469612,1.3190058908786644,0,,False,crossing,16,0.0,False,0.0,12
compliant,crossing,5.7479461611789,1.333675450454277,114.37929260507168,port,,collision:target,True,True,19,-280.58779171535167,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5539272534159202,0.5578085634175971,1.404648834398822,0,,False,never,0,0.0,False,0.0,13
compliant,crossing,7.111260720178818,1.9159006827859524,210.17026842970967,starboard,,goal,False,False,72,105.89896812678428,-5.5561854343890875,4,0,0,0,0,1.1224617039169873,0.0,0.0,0.0,0.0,0.52721696561656,0.5572583526848081,1.2987442417534731,0,,False,crossing,16,0.0,False,0.0,14
compliant,crossing,7.777153961253272,0.2905126269988878,94.18057896264564,port,,collision:target,True,True,24,-304.223450927169,-13.933296062775266,2,6,0,0,7,0.5514203740211341,1.40326575767625,0.0,0.0,0.946133269082937,0.5203117257421805,0.5597989320959823,1.3200211834360442,0,,False,crossing,15,1.0,True,0.0,15
compliant,crossing,9.472351939506785,0.02908361676498966,91.03611382454581,port,,collision:target,True,True,25,-300.47693266410664,-8.897123177745701,0,3,0,0,5,0.0,1.1981555174501688,0.0,0.0,0.6591674147483032,0.5220912938652138,0.5577424381101519,1.4531022847705801,0,,False,crossing,12,1.0,True,0.0,16
compliant,crossing,6.791254452278463,1.3867036468224696,202.19120555738766,starboard,,collision:target,True,True,15,-300.400912283948,-8.521838038763287,0,0,0,0,6,0.0,0.0,0.0,0.0,1.8937417863918415,0.5252637689310025,0.5576976817533756,1.7793568884157602,0,,False,crossing,13,0.0,False,0.0,17
compliant,crossing,7.618572716555467,0.2983096088221926,73.39891847527933,port,,collision:target,True,True,15,-319.7256217468819,-21.697325926903204,0,6,0,0,6,0.0,2.9723705269276346,0.0,0.0,1.5520204041358698,0.522742738770382,0.5749801171906118,1.308276678161586,0,,False,crossing,13,1.0,True,0.0,18
compliant,crossing,8.61263148724731,1.063209475296138,68.91040871652827,port,,collision:target,True,True,15,-311.1779146346095,-22.06794925537998,0,10,0,0,7,0.0,3.0992945675858237,0.0,0.0,1.4947646990733672,0.5081791493120283,0.55802646072397,1.7201295767381097,0,,False,crossing,13,1.0,True,0.0,19
compliant,crossing,7.715636756725871,0.015920309608921934,125.05212011493529,port,,collision:target,True,True,13,-304.8510045637412,-14.129999503978125,0,5,0,0,7,0.0,0.31243969443998165,0.0,0.0,2.7963162258889365,0.5451815336451188,0.5602131379106087,1.6614595069344837,0,,False,crossing,10,1.0,True,0.0,20
compliant,crossing,7.643066319700785,0.9005926304107195,232.04698227358332,starboard,,collision:target,True,True,13,-295.4162706499141,-1.5452503097637362,0,5,0,0,0,0.0,0.3121717797502496,0.0,0.0,0.0,0.5145029139916475,0.5583654737770893,1.769710052510367,0,,False,crossing,12,0.0,False,0.0,21
compliant,crossing,7.958885684444756,2.3471367729985007,99.26568482874778,port,,goal,False,False,71,130.5966184396405,-2.7946827630916578,1,0,0,0,4,0.0076215947267777775,0.0,0.0,0.0,0.6126568598209129,0.5405479035634363,0.5614115975085451,3.431122819489642,0,,False,crossing,14,1.0,True,0.0,22
compliant,crossing,8.919597231476935,2.22514847495875,94.45670133270548,port,,collision:target,True,True,19,-306.86256478591343,-20.548274547129655,4,14,0,0,3,1.3403979674378457,2.642098922440488,0.0,0.0,0.18553665382931206,0.5270365097166616,0.5582951214492413,1.2525276908766163,0,,False,crossing,15,1.0,True,0.0,23
compliant,overtaking,9.556232149411287,0.16856401487441053,10.868192576999832,,,collision:boundary,True,False,106,-438.930820189677,-10.005826123705843,10,0,2,0,4,1.7021930158271616,0.0,0.2392400436046737,0.0,0.15971256408545897,0.504907664295217,0.5574761059513698,3.1471618802011134,0,,False,overtaking,27,0.0,False,0.0,24
compliant,overtaking,5.7479461611789,1.2248627607666025,-16.93834482636391,,,collision:boundary,True,False,31,-324.0170895980096,-6.746619919135755,7,0,5,0,0,0.32358904245998715,0.0,1.4291261552663383,0.0,0.0,0.5287310963162924,0.5624310310566242,4.501050367078311,0,,False,overtaking,28,0.0,False,0.0,25
compliant,overtaking,7.111260720178818,1.545817447677813,3.7007841951845677,,,collision:boundary,True,False,106,-618.2477936786713,-0.0019980599562337,1,0,0,0,0,0.000403648476006808,0.0,0.0,0.0,0.0,0.5049089775823659,0.5575654252902562,2.0129575503537565,0,,False,overtaking,28,0.0,False,0.0,26
compliant,overtaking,9.924433511599638,0.5577780141895179,11.720631678627527,,,collision:target,True,True,101,-378.80192555100604,-3.6478565087141517,11,0,1,0,0,0.6253772227224231,0.0,0.15339979339948817,0.0,0.0,0.513102370674808,0.5598211305413853,1.4626126228575795,0,,False,overtaking,30,0.0,False,0.0,27
compliant,overtaking,7.777153961253272,1.5401458527507434,7.176268164230322,,,collision:boundary,True,False,112,-1514.4677890896935,-21.48036869453483,19,0,4,0,0,3.4346153624727402,0.0,1.2441729584152132,0.0,0.0,0.4237122163701487,0.5591832065610497,2.9266785596799583,1,"8(e) in extremis: overtaking, compliant alteration inadmissible (DCPA 2.23 m, TCPA 4.1 s)",False,overtaking,52,0.0,False,0.0,28
compliant,overtaking,9.472351939506785,0.6293837659105992,10.760110377370978,,,collision:boundary,True,False,105,-985.5501570115524,-9.312368762995671,15,1,3,0,0,1.41076798459042,0.06484297605077989,0.5578040299504814,0.0,0.0,0.5031375202590818,0.5576128037205543,1.5850801011365614,0,,False,overtaking,37,0.0,False,0.0,29
compliant,overtaking,6.791254452278463,1.9286740819227624,7.381996928413358,,,collision:boundary,True,False,76,-636.4953251477174,-26.68035248975256,14,4,8,0,4,2.8057034261625615,0.9254367230276785,1.7346230244476164,0.0,0.4370146362776543,0.4104290662729552,0.5574812195117844,3.1463317104662067,1,"8(e) in extremis: overtaking, compliant alteration inadmissible (DCPA 1.54 m, TCPA 4.9 s)",False,overtaking,46,0.0,False,0.0,30
compliant,overtaking,7.618572716555467,0.80683254823558,-26.65182120749268,,,collision:boundary,True,False,115,-809.3771843094187,-10.703261475399282,11,0,1,0,5,1.708993028321647,0.0,0.25476090035609034,0.0,0.29480149865004535,0.5050177203384353,0.5693271108498733,2.8521908264975604,0,,False,overtaking,30,0.0,False,0.0,31
compliant,overtaking,8.61263148724731,0.5951515892589716,-22.89682838569677,,,collision:boundary,True,False,98,-996.4731531171918,-13.552187996827643,14,3,4,0,0,1.0606074136547297,0.8810284129590482,1.0947474041915113,0.0,0.0,0.5076088947579214,0.5573325206232917,3.358930464750109,0,,False,overtaking,39,0.0,False,0.0,32
compliant,overtaking,7.715636756725871,0.48053457069092276,-33.48340197482355,,,goal,False,False,82,-123.89563429430106,-19.153683642041287,6,13,2,0,0,1.0525425413306446,2.437198006518418,0.5220744250523417,0.0,0.0,0.5281229413343601,0.5671929941853862,1.4879347555636522,0,,False,overtaking,24,0.0,False,0.0,33
compliant,overtaking,7.643066319700785,1.4565110359186628,-15.877261576857428,,,collision:boundary,True,False,103,-866.121807701908,-10.988750170325734,10,0,5,0,7,1.466205441021919,0.0,0.7756103259441032,0.0,0.20863023641521428,0.5112487129525218,0.5577128000248335,2.7294883248136217,0,,False,overtaking,34,0.0,False,0.0,34
compliant,overtaking,7.958885684444756,0.20003527248455244,23.442474700345457,,,collision:boundary,True,False,110,-665.5928666399932,-7.98506077169178,8,0,0,0,1,1.5785744347813775,0.0,0.0,0.0,0.03802607100532438,0.508694089184155,0.5680624155727851,3.420432252810165,0,,False,overtaking,26,0.0,False,0.0,35
compliant,being_overtaken,9.556232149411287,1.92980163272497,-35.482184391358615,,False,collision:target,True,True,10,-297.0957770909219,-7.695369603277826,0,0,0,4,0,0.0,0.0,0.0,1.9000912600685989,0.0,0.5056677609434093,0.5569323376762263,1.8800583326571232,0,,False,being_overtaken,8,0.0,False,0.0,36
compliant,being_overtaken,5.7479461611789,1.2685701234754871,-4.975120506914713,,False,collision:target,True,True,67,-238.78651377730537,-16.287733602384804,0,1,1,12,3,0.0,0.37522841595785156,0.1031912828944926,1.7867519097120335,1.5161153534754515,0.5509500670117401,0.5583531206401346,1.2710959153269723,0,,False,being_overtaken,31,0.0,False,0.0,37
compliant,being_overtaken,7.111260720178818,0.5943612042954601,11.74966659039302,,True,collision:target,True,True,16,-282.0911908444021,-1.4944186601516674,0,0,0,10,0,0.0,0.0,0.0,0.3689922617658437,0.0,0.544609334476795,0.5587791694444242,1.9088943529784617,0,,False,being_overtaken,14,0.0,False,0.0,38
compliant,being_overtaken,9.924433511599638,0.247382364945814,2.173404297588206,,True,collision:target,True,True,13,-286.4430446258105,-1.740203325342012,0,0,0,7,0,0.0,0.0,0.0,0.4296798334177807,0.0,0.5490214165219626,0.5571351031491147,1.864283490241531,0,,False,being_overtaken,12,0.0,False,0.0,39
compliant,being_overtaken,7.777153961253272,1.1352069073367477,-20.99286861655304,,False,collision:target,True,True,13,-295.1456947380938,-10.593445066669052,0,0,0,7,0,0.0,0.0,0.0,2.6156654485602595,0.0,0.5388476026673543,0.5579197321294505,1.8911178746589383,0,,False,being_overtaken,11,0.0,False,0.0,40
compliant,being_overtaken,9.472351939506785,0.33829237792301214,-9.672518700272335,,True,collision:target,True,True,14,-286.4576058620064,-2.610471763985828,0,0,0,6,0,0.0,0.0,0.0,0.6445609293792168,0.0,0.5302417286237058,0.5577276632206498,1.8756030435754434,0,,False,being_overtaken,12,0.0,False,0.0,41
compliant,being_overtaken,6.791254452278463,1.4553176893876154,8.612014291766783,,False,collision:target,True,True,11,-287.0656243953579,-0.003693174471031219,0,0,0,3,0,0.0,0.0,0.0,0.0009118949311188195,0.0,0.535343576618373,0.5578572745810693,1.8758000116854128,0,,False,being_overtaken,9,0.0,False,0.0,42
compliant,being_overtaken,7.618572716555467,0.0524706874686347,-13.038802994098347,,True,collision:target,True,True,14,-302.5527334654848,-19.411578435280312,0,0,0,6,0,0.0,0.0,0.0,4.792982329698842,0.0,0.54173784217465,0.5581355527898708,1.479714534453384,0,,False,being_overtaken,13,0.0,False,0.0,43
compliant,being_overtaken,8.61263148724731,0.3303938638096535,-12.938720162676333,,True,collision:target,True,True,20,-312.7019913853202,-35.42722042895363,0,0,0,11,0,0.0,0.0,0.0,8.747461834309538,0.0,0.5560711177049014,0.5580077385391942,0.894510584758632,0,,False,being_overtaken,18,0.0,False,0.0,44
