scenario,policy,class,mode,slant,w_eff_at_cpa,n_obstacles,layout_redraws,layout_thinned,feasible,outcome,steps,min_target_range,wall_s
27,reference,crossing,channel,0.0,6.924787073852162,2,0,0,True,collision:target,23,1.404052280800352,27.827231407165527
28,reference,crossing,basin,-6.314457709114938,9.25615492557701,3,0,0,True,collision:obstacle,92,1.1797802849979195,109.61380553245544
29,reference,crossing,basin,-3.5006387316710077,9.217198206135695,2,0,0,True,goal,113,2.4464205345557493,125.79429221153259
30,reference,crossing,basin,1.2540318950318274,9.202204024537643,2,0,0,True,goal,95,2.065030521917643,106.79526710510254
31,reference,crossing,basin,-1.9901097838549926,9.205552454429636,2,0,0,True,goal,92,1.2634646239881016,107.25584530830383
32,reference,crossing,basin,0.3190687311401172,9.200142654891936,0,0,0,True,goal,70,1.6346337186459816,50.42034077644348
33,reference,crossing,basin,5.752376597574879,9.246562343954048,1,0,0,True,collision:obstacle,31,1.9187002564163729,36.769274950027466
34,reference,crossing,basin,-4.191033590600253,9.224667440555244,0,0,0,True,collision:target,23,1.3146323032008032,29.2193443775177
35,reference,crossing,basin,-4.171708857616648,9.224439980944133,1,0,0,True,collision:target,20,1.5861080050136371,19.953369855880737
36,reference,crossing,basin,-7.594162483206879,9.281407130030928,3,0,0,True,collision:obstacle,30,2.733503833314234,36.99920725822449
37,reference,crossing,basin,9.090608154277248,9.317024449463851,0,0,0,True,collision:target,15,1.3878970325441524,13.540066719055176
38,reference,crossing,basin,1.9263711857456087,9.205202320612552,1,0,0,True,goal,81,1.8728174249589369,92.65286469459534
39,reference,crossing,basin,2.316338378887101,9.207523370043628,2,0,0,True,collision:target,20,1.1947856361632123,25.703232526779175
40,reference,overtaking,channel,0.0,5.219867500885175,0,0,0,True,goal,88,1.3403525226496282,106.75937724113464
41,reference,overtaking,basin,6.326963762710786,9.256378717080882,0,0,0,True,goal,62,2.497043833256721,77.45140933990479
42,reference,overtaking,basin,6.7230971164802975,9.263701505753865,0,0,0,True,goal,60,2.4909716307362273,74.48098111152649
43,reference,overtaking,channel,0.0,8.889623185127105,0,0,0,True,goal,53,2.5106371450744933,71.26901245117188
44,reference,overtaking,channel,0.0,9.729595130631104,0,0,0,True,goal,67,2.540248732371019,94.84821462631226
45,reference,overtaking,channel,0.0,7.668335709652903,0,0,0,True,goal,55,2.5859804763872645,80.98048329353333
46,reference,overtaking,basin,10.356089278203571,9.352354251818824,0,0,0,True,goal,71,2.265733144895618,73.65476727485657
47,reference,overtaking,basin,-4.324336545654178,9.226265367820247,0,0,0,True,goal,53,2.6414058961829947,65.75855541229248
48,reference,overtaking,channel,0.0,5.121410538256702,0,0,0,True,goal,56,1.9370846078575996,75.87157607078552
49,reference,overtaking,basin,0.37118644200870426,9.200193065365328,1,0,0,True,goal,65,1.6959665367164403,69.26290130615234
50,reference,overtaking,basin,9.901480496250201,9.339107090376732,0,0,0,True,goal,56,2.59030889530654,62.10194754600525
51,reference,overtaking,basin,-1.1701536087827094,9.20191899482069,0,0,0,True,goal,64,2.3568069715133833,79.62987661361694
52,reference,overtaking,channel,0.0,7.124057313930022,0,0,0,True,goal,83,1.6077532390259546,101.03911709785461
53,reference,overtaking,basin,0.936171788061447,9.201228208159641,1,0,0,True,collision:target,85,1.3055545062776237,101.51370573043823
54,reference,overtaking,basin,8.580724896282886,9.304144726251462,0,0,0,True,goal,56,2.575256906618329,69.07591700553894
55,reference,overtaking,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,55,2.5872459529744645,65.48897647857666
56,reference,overtaking,basin,12.581281105048335,9.426345612222729,0,0,0,True,goal,58,2.705487540045686,62.16146445274353
57,reference,overtaking,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,55,2.654954830962137,63.58539009094238
58,reference,overtaking,basin,-1.9690042796056655,9.205435251508588,0,0,0,True,goal,78,1.942727802840898,92.28998923301697
59,reference,overtaking,channel,0.0,3.8981553342240094,0,0,0,True,collision:target,100,1.9539484069649915,129.3914942741394
60,reference,being_overtaken,basin,8.053841092030304,9.29164488754975,0,0,0,True,goal,45,2.0242152117175958,44.178096771240234
61,reference,being_overtaken,basin,6.326963762710786,9.256378717080883,0,0,0,True,goal,45,1.9146562377835836,42.947988510131836
62,reference,being_overtaken,basin,6.7230971164802975,9.263701505753865,0,0,0,True,goal,43,1.8340949640982511,49.30191516876221
63,reference,being_overtaken,basin,-1.087523873901802,9.20165750697397,2,0,0,True,goal,61,1.459022095101014,61.624462842941284
64,reference,being_overtaken,basin,-12.395881636398036,9.419592259148494,0,0,0,True,goal,48,1.6343810961362821,39.367722034454346
65,reference,being_overtaken,basin,0.9828875290229955,9.201353859109183,0,0,0,True,goal,46,1.6287843508958255,44.99702024459839
66,reference,being_overtaken,basin,10.356089278203571,9.352354251818824,0,0,0,True,goal,45,2.029124132083992,46.27254796028137
67,reference,being_overtaken,basin,-4.324336545654178,9.226265367820247,0,0,0,True,goal,45,1.7995980419701485,51.091591596603394
68,reference,being_overtaken,basin,4.467347368212032,9.228035830753342,0,0,0,True,goal,47,1.4496986230623126,54.63468384742737
69,reference,being_overtaken,basin,0.37118644200870426,9.200193065365328,0,0,0,True,collision:target,14,1.8379877525293213,14.256069421768188
70,reference,being_overtaken,basin,9.901480496250201,9.339107090376732,0,0,0,True,goal,45,1.464772235040663,40.37120509147644
71,reference,being_overtaken,basin,-1.1701536087827094,9.20191899482069,0,0,0,True,goal,47,1.75236960118095,45.8873975276947
72,reference,being_overtaken,basin,-4.056083464274456,9.223101176511953,0,0,0,True,goal,55,1.316743661532103,50.99532389640808
73,reference,being_overtaken,basin,0.936171788061447,9.201228208159641,0,0,0,True,goal,59,1.3955138915252943,57.28271794319153
74,reference,being_overtaken,basin,8.580724896282886,9.304144726251462,0,0,0,True,goal,47,2.058813174126196,50.20738983154297
75,reference,being_overtaken,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,44,1.801942873084344,48.49629473686218
76,reference,being_overtaken,basin,12.581281105048335,9.426345612222727,0,0,0,True,goal,45,1.643066039431715,48.05801033973694
77,reference,being_overtaken,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,47,1.9902558019344634,48.535128116607666
78,reference,being_overtaken,basin,-1.9690042796056655,9.205435251508588,0,0,0,True,goal,45,1.5337743299051476,41.60262703895569
79,reference,being_overtaken,basin,9.944671151023847,9.3403387698431,1,0,0,True,goal,48,2.0560030928203,53.163540840148926
80,reference,null,basin,8.053841092030304,9.29164488754975,3,0,0,True,goal,83,10.715552148033245,86.51172709465027
81,reference,null,basin,6.326963762710786,9.256378717080883,0,0,0,True,goal,70,10.028918562925861,64.43055653572083
82,reference,null,basin,6.7230971164802975,9.263701505753867,3,0,0,True,goal,84,11.385368303023993,98.16886115074158
83,reference,null,basin,-1.087523873901802,9.20165750697397,3,0,0,True,goal,106,8.18457192879745,114.90623807907104
84,reference,null,basin,-12.395881636398036,9.419592259148496,3,0,0,True,goal,99,8.157651086908084,107.31909561157227
85,reference,null,basin,0.9828875290229955,9.201353859109183,2,0,0,True,goal,69,8.690656623910543,69.83497047424316
86,reference,null,basin,10.356089278203571,9.352354251818824,1,0,0,True,goal,52,3.269135569496912,58.56387758255005
87,reference,null,basin,-4.324336545654178,9.226265367820247,3,0,0,True,goal,69,8.168921476911182,78.17440414428711
88,reference,null,basin,4.467347368212032,9.228035830753342,3,0,0,True,goal,81,9.038514649662861,91.9767336845398
89,reference,null,basin,0.37118644200870426,9.200193065365328,2,0,0,True,goal,90,8.128742164561348,95.24801182746887
90,reference,null,basin,9.901480496250201,9.339107090376732,2,0,0,True,goal,86,10.203170214038435,86.44850015640259
91,reference,null,basin,-1.1701536087827094,9.20191899482069,1,0,0,True,goal,53,5.626968430502925,64.98458886146545
92,reference,null,basin,-4.056083464274456,9.223101176511953,1,0,0,True,goal,70,6.332945552307866,80.7344217300415
93,reference,null,basin,0.936171788061447,9.201228208159641,2,0,0,True,goal,81,13.090446954289698,81.69220185279846
94,reference,null,basin,8.580724896282886,9.304144726251462,1,0,0,True,goal,71,9.508694999668275,64.47132396697998
95,reference,null,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,49,3.85972540166778,55.77666449546814
96,reference,null,basin,12.581281105048335,9.426345612222727,0,0,0,True,goal,62,5.895623137363328,57.81359839439392
97,reference,null,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,72,8.414113750243656,61.40545678138733
98,reference,null,basin,-1.9690042796056655,9.205435251508588,3,0,0,True,goal,78,8.188037644553447,87.15552425384521
99,reference,null,basin,9.944671151023847,9.3403387698431,0,0,0,True,goal,73,10.387838271825894,59.13517093658447
100,reference,no_target,basin,8.053841092030304,9.29164488754975,2,0,0,True,goal,82,inf,85.44597840309143
101,reference,no_target,basin,6.326963762710786,9.256378717080883,1,0,0,True,goal,79,inf,69.91992974281311
102,reference,no_target,basin,6.7230971164802975,9.263701505753867,0,0,0,True,goal,70,inf,2.980072259902954
103,reference,no_target,basin,-1.087523873901802,9.20165750697397,3,0,0,True,goal,88,inf,85.88382315635681
104,reference,no_target,basin,-12.395881636398036,9.419592259148496,3,0,0,True,goal,104,inf,106.82575011253357
105,reference,no_target,basin,0.9828875290229955,9.201353859109183,3,0,0,True,goal,101,inf,107.98168396949768
106,reference,no_target,basin,10.356089278203571,9.352354251818824,2,0,0,True,goal,83,inf,83.63219141960144
107,reference,no_target,basin,-4.324336545654178,9.226265367820247,3,0,0,True,collision:boundary,79,inf,81.11519742012024
108,reference,no_target,basin,4.467347368212032,9.228035830753342,1,0,0,True,goal,75,inf,72.61107778549194
109,reference,no_target,basin,0.37118644200870426,9.200193065365328,2,0,0,True,goal,80,inf,77.19067072868347
110,reference,no_target,basin,9.901480496250201,9.339107090376732,2,0,0,True,goal,99,inf,88.21691823005676
111,reference,no_target,basin,-1.1701536087827094,9.20191899482069,2,0,0,True,goal,76,inf,63.88554120063782
